subject_id,workflow_id,task,data.value
82941753,18136,T7,[{'03993d432fa92': 3}]
82941753,18136,T13,
82941753,18136,T19,
82941753,18136,T25,
82941753,18136,T31,
82941753,18136,T37,
82941753,18136,T43,
82941753,18136,T49,
82941753,18136,T55,
82941753,18136,T61,
82941753,18136,T67,
82941753,18136,T73,
82941753,18136,T79,
82941848,18136,T1,[{'7df24e749bb17': 2}]
82941848,18136,T7,[{'49ee5b7efe63c': 2}]
82941848,18136,T13,[{'0c53014992914': 2}]
82941848,18136,T19,
82941848,18136,T25,
82941848,18136,T31,
82941848,18136,T37,
82941848,18136,T43,
82941848,18136,T49,
82941848,18136,T55,
82941848,18136,T61,
82941848,18136,T67,
82941848,18136,T73,
82941848,18136,T79,
82941849,18136,T1,[{'7df24e749bb17': 3}]
82941849,18136,T7,[{'49ee5b7efe63c': 3}]
82941849,18136,T13,[{'c4b45b5a80482': 3}]
82941849,18136,T19,[{'29902756f9508': 3}]
82941849,18136,T25,[{'ca0a33ac04c84': 3}]
82941849,18136,T31,[{'fe3c9f98f43dd': 3}]
82941849,18136,T37,
82941849,18136,T43,
82941849,18136,T49,
82941849,18136,T55,
82941849,18136,T61,
82941849,18136,T67,
82941849,18136,T73,
82941849,18136,T79,
82941850,18136,T1,[{'7df24e749bb17': 3}]
82941850,18136,T7,[{'49ee5b7efe63c': 3}]
82941850,18136,T13,[{'c4b45b5a80482': 3}]
82941850,18136,T19,[{'29902756f9508': 3}]
82941850,18136,T25,[{'ca0a33ac04c84': 3}]
82941850,18136,T31,[{'fe3c9f98f43dd': 3}]
82941850,18136,T37,
82941850,18136,T43,
82941850,18136,T49,
82941850,18136,T55,
82941850,18136,T61,
82941850,18136,T67,
82941850,18136,T73,
82941850,18136,T79,
82941851,18136,T1,
82941851,18136,T7,
82941851,18136,T13,
82941851,18136,T19,
82941851,18136,T25,
82941851,18136,T31,
82941851,18136,T37,
82941851,18136,T43,
82941851,18136,T49,
82941851,18136,T55,
82941851,18136,T61,
82941851,18136,T67,
82941851,18136,T73,
82941851,18136,T79,
82941852,18136,T1,[{'9f71969064233': 3}]
82941852,18136,T7,[{'bf6c2bf09f513': 3}]
82941852,18136,T13,
82941852,18136,T19,
82941852,18136,T25,
82941852,18136,T31,
82941852,18136,T37,
82941852,18136,T43,
82941852,18136,T49,
82941852,18136,T55,
82941852,18136,T61,
82941852,18136,T67,
82941852,18136,T73,
82941852,18136,T79,
82941853,18136,T1,
82941853,18136,T7,
82941853,18136,T13,
82941853,18136,T19,
82941853,18136,T25,
82941853,18136,T31,
82941853,18136,T37,
82941853,18136,T43,
82941853,18136,T49,
82941853,18136,T55,
82941853,18136,T61,
82941853,18136,T67,
82941853,18136,T73,
82941853,18136,T79,
82941854,18136,T1,[{'7df24e749bb17': 3}]
82941854,18136,T7,[{'49ee5b7efe63c': 3}]
82941854,18136,T13,
82941854,18136,T19,
82941854,18136,T25,
82941854,18136,T31,
82941854,18136,T37,
82941854,18136,T43,
82941854,18136,T49,
82941854,18136,T55,
82941854,18136,T61,
82941854,18136,T67,
82941854,18136,T73,
82941854,18136,T79,
82941855,18136,T1,
82941855,18136,T7,
82941855,18136,T13,
82941855,18136,T19,
82941855,18136,T25,
82941855,18136,T31,
82941855,18136,T37,
82941855,18136,T43,
82941855,18136,T49,
82941855,18136,T55,
82941855,18136,T61,
82941855,18136,T67,
82941855,18136,T73,
82941855,18136,T79,
82941856,18136,T1,[{'2ff4544f62747': 3}]
82941856,18136,T7,[{'03993d432fa92': 3}]
82941856,18136,T13,[{'2b395fc4e7a': 3}]
82941856,18136,T19,[{'cb229a1ba0adb': 3}]
82941856,18136,T25,[{'5cf2b8800b176': 3}]
82941856,18136,T31,
82941856,18136,T37,
82941856,18136,T43,
82941856,18136,T49,
82941856,18136,T55,
82941856,18136,T61,
82941856,18136,T67,
82941856,18136,T73,
82941856,18136,T79,
82941857,18136,T1,
82941857,18136,T7,
82941857,18136,T13,
82941857,18136,T19,
82941857,18136,T25,
82941857,18136,T31,
82941857,18136,T37,
82941857,18136,T43,
82941857,18136,T49,
82941857,18136,T55,
82941857,18136,T61,
82941857,18136,T67,
82941857,18136,T73,
82941857,18136,T79,
82941858,18136,T1,[{'2ff4544f62747': 3}]
82941858,18136,T7,[{'03993d432fa92': 3}]
82941858,18136,T13,
82941858,18136,T19,
82941858,18136,T25,
82941858,18136,T31,
82941858,18136,T37,
82941858,18136,T43,
82941858,18136,T49,
82941858,18136,T55,
82941858,18136,T61,
82941858,18136,T67,
82941858,18136,T73,
82941858,18136,T79,
