subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,column_name,data_min,data_max,units,front,back,Comments
63341233,T1,"[['21.2*', '21.2', '21.2*C'], ['C', '*C', '']]",3,1,21.2* C,Temperature_Surface,21.2,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_027.jpg,
63341234,T3,"[['12.0', '12.0*C', '12.0*', '12.0°C'], ['*C', '', 'C', '']]",4,1,12.0 *C,Temperature_Deep Water,12,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_021.jpg,
63341234,T1,"[['22.1', '21.2*C', '22.1*', '22.1°C'], ['*C', '', 'C', '']]",4,1,22.1 *C,Temperature_Surface,22.1,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_021.jpg,
63341235,T3,"[['21.2*C.', '21.2*C', '21.2*', '21.2*C'], ['', '', 'C', ''], ['(Warm', '(Warm)', '(Warm)', '(warm)']]",4,1.666666667,21.2*C C (Warm),Temperature_Deep Water,21.2,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_VanEtten_SUMM_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_VanEtten_SUMM_030.jpg,
63341236,T1,"[['22.9*C', '22.9°C', '22.9*', '22.9*C'], ['', '', 'C', '']]",4,1.5,22.9*C C,Temperature_Surface,22.9,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Harding_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Harding_SUMM_010.jpg,
63341238,T3,"[['', '', ""13'"", ''], ['', '', '-', ''], [""13'-22.5"", ""13'-22.5"", '22.5', ""13'-22.5""]]",4,1.666666667,13' - 13'-22.5,Temperature_Deep Water,22.5,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Paint_36-2067_1937_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Paint_36-2067_1937_SUMM_001_02.jpg,
63341244,T1,"[['17.3*', '17.3*C', '17.3°C', '17.3*C'], ['C', '', '', '']]",4,1.5,17.3*C C,Temperature_Surface,17.3,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_B.jpg,
63341249,T3,"[['21.2*C', '21.1°C.', '21.1*C']]",3,1,21.2*C,Temperature_Deep Water,21.1,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_LittleWhiteGoat_SUMM_20191202102826217_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_LittleWhiteGoat_SUMM_20191202102826217_0002.jpg,
63341279,T1,"[['73*F', '73*', '73°F', '73*F'], ['', 'F', '', '']]",4,1.5,73*F F,Temperature_Surface,73,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_BYRON_SUMM_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_BYRON_SUMM_0003_2.jpeg,
63341281,T3,"[['47.5*F.', '47.5*', '47.5', '47.5*F'], ['', 'F', '*C', '']]",4,1,47.5*F. F,Temperature_Deep Water,47.5,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_BADGER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_BADGER_SUMM_0001_2.jpeg,
63341282,T1,"[['70*F', '70*', '70*F', '70*F.'], ['', 'F', '', '']]",4,1.5,70*F F,Temperature_Surface,70,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_DEER_SUMM_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_DEER_SUMM_0003_2.jpeg,
63341284,T3,"[['22.2*C', '22.2*C', '22.2*', '22.2°C'], ['', '', 'C', '']]",4,1.5,22.2*C C,Temperature_Deep Water,22.2,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_TOMLITTLE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_TOMLITTLE_SUMM_0001_2.jpeg,
63341284,T1,"[['27.6*C', '27.6*C', '27.6*', '27.6°C.'], ['', '', 'C', '']]",4,1.5,27.6*C C,Temperature_Surface,27.6,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_TOMLITTLE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_TOMLITTLE_SUMM_0001_2.jpeg,
63341286,T1,"[['20.5°C', '20.5', '20.5C', '20.5'], ['', 'C.', '', 'C']]",4,1.5,20.5 C.,Temperature_Surface,20.5,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_STONER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_STONER_SUMM_0001_2.jpeg,
63341296,T3,"[['-', '--']]",2,1,-,Temperature_Deep Water,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_MUD30N9WS24-25_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_MUD30N9WS24-25_SUMM_0001_2.jpeg,
63341298,T3,"[['12.6*C', '12.6*C', '12.6°C', '12.6°'], ['', '', '', 'C']]",4,1.5,12.6*C C,Temperature_Deep Water,12.6,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_CRAIG_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_CRAIG_SUMM_0002_2.jpeg,
63341312,T1,"[['20.5°', '20.5*C', '20.5*C', '20.5*'], ['', '', '', 'C']]",4,1.5,20.5*C C,Temperature_Surface,20.5,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mackinac_Whitefish_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mackinac_Whitefish_SUMM_003.jpg,
63341317,T1,"[['Hight', 'High', 'High'], ['78', '78*', '75*'], ['*', '', ''], ['(Air', '(Air', '(air'], ['temp', 'temp', 'temp'], ['89', '89*)', '89*)'], ['*)', '', '']]",3,1.714285714,High 78 * (Air temp 89*) *),Temperature_Surface,78,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Dicksons_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Dicksons_SUMM_006.jpg,
63341327,T1,"[['24.4*C', '24.4', '24.4*C', '24.4*'], ['', '*C', '', 'C']]",4,1.5,24.4*C *C,Temperature_Surface,24.4,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_WhiteGoatLittle_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_WhiteGoatLittle_SUMM_007.jpg,
63341328,T1,"[['25.7*C', '25.7°C', '25.7*', '25.7*C'], ['', '', 'C', '']]",4,1.5,25.7*C C,Temperature_Surface,25.7,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Witch_SUMM_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Witch_SUMM_032.jpg,
63341329,T1,"[['70°F', '70*F', '70*F', '70*'], ['', '', '', 'F']]",4,1.5,70*F F,Temperature_Surface,70,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_DIAMOND_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_DIAMOND_SUMM_0002_2.jpeg,
63341341,T3,"[['8.7*C', ',8.7*C', '8.7*', '8.7*C.'], ['', '', 'C', ''], ['(Cold)', '(cold)', '(Cold)', '(Cold)']]",4,1.666666667,8.7*C C (Cold),Temperature_Deep Water,8.7,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_NERO_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_NERO_SUMM_0001_2.jpeg,
63341345,T3,"[['9.8*C', '9.8*', '9.8°C', '9.8°C'], ['', 'C', '', '']]",4,1.5,9.8°C C,Temperature_Deep Water,9.8,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/VanBuren_North_SUMM_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/VanBuren_North_SUMM_002.jpeg,
63341345,T1,"[['27.0*C', '27.0*', '27.0°C', '27.0°C'], ['', 'C', '', '']]",4,1.5,27.0°C C,Temperature_Surface,27,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/VanBuren_North_SUMM_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/VanBuren_North_SUMM_002.jpeg,
63341364,T1,"[['26.8*', '26.8*C', '26.8*c', '26.8°C'], ['C', '', '', '']]",4,1,26.8* C,Temperature_Surface,26.8,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CASS_BIRCH_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/CASS_BIRCH_SUMM_0001_2.jpeg,
63341365,T3,"[['47.5*F', '47.5*F.', '47.5*F', '47.5*'], ['', '', '', 'F']]",4,1.5,47.5*F F,Temperature_Deep Water,47.5,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_BamfieldDam_SUMM_Doc0056.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_BamfieldDam_SUMM_Doc0055.jpg,
63341366,T1,"[['73', '73*F', '73°F', '73*'], ['F', '', '', 'F']]",4,1.5,73 F,Temperature_Surface,73,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_Clear_SUMM_Doc0365.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_Clear_SUMM_Doc0364.jpg,
63341369,T3,"[['9.8*C', '9.8°C', '9.8*C', '9.8'], ['', '', '', '*C']]",4,1.5,9.8*C *C,Temperature_Deep Water,9.8,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_BIGSILVER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_BIGSILVER_SUMM_0001_2.jpeg,
63341369,T1,"[['22*C.', '22°C', '22*C', '22'], ['', '', '', '*C']]",4,1,22*C. *C,Temperature_Surface,22,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_BIGSILVER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_BIGSILVER_SUMM_0001_2.jpeg,
