subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,dam_effect_fish,dam_outlet,URL_front,URL_back,column_name
63264317,T25,"[['no', 'No', 'No', 'no']]",4,2,no,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140509982_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140509982_0002.jpg,Dam in outlet
63264317,T27,"[['none', 'none', 'none']]",3,3,none,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140509982_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140509982_0002.jpg,Dam effect on fish movements
63264318,T25,"[['no', 'no', 'no', 'no']]",4,4,no,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0002.jpg,Dam in outlet
63264322,T25,"[['No', 'no', 'No', 'No'], ['', '', '', '-'], ['(a', '(a', '(a', 'a'], ['waterfall)', 'waterfall)', 'waterfall)', 'waterfall']]",4,2.5,no - (a waterfall),,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Dam in outlet
63264322,T27,"[['Stops', 'Stops', 'Stops', 'Stops'], ['fish', 'fish', 'fish', 'fish'], ['from', 'from', 'from', 'from'], ['entering', 'entering', 'entering', 'enter'], ['Grand', 'Grand', 'Grand', 'Grand'], ['Sable', 'Sable', 'Sable', 'Sable'], ['Lake', 'Lake', 'Lake', 'Lake'], ['from', 'from', 'from', 'from'], ['Superior', 'Superior', 'Superior', 'Superior.']]",4,3.777777778,stops fish from entering grand sable lake from superior,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Dam effect on fish movements
63264323,T25,"[['Sluceway', 'Sluiceway', 'Sluceway', 'Sluceway']]",4,3,sluceway,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0002.jpg,Dam in outlet
63264323,T27,"[['none', 'none', 'none', 'none'], ['now', 'now', 'now', 'now']]",4,4,none now,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0002.jpg,Dam effect on fish movements
63264324,T25,"[['no', 'no', 'No', 'no']]",4,3,no,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Osterhaut_SUMM_20200219140457487_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Osterhaut_SUMM_20200219140457487_0002.jpg,Dam in outlet
63264325,T25,"[['Yes', 'Yes', 'Yes', 'Yes']]",4,4,yes,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0002.jpg,Dam in outlet
63264325,T27,"[['Has', 'Has', 'Has', 'Has'], ['sluice', 'sluice', 'sluice', 'sluice'], ['which', 'which', 'which', 'which'], ['may', 'may', 'may', 'may'], ['permit', 'permit', 'permit', 'permit'], ['fish', 'fish', 'fish', 'fish'], ['to', 'to', 'to', 'to'], ['go', 'go', 'go', 'go'], ['upstream.', 'upstream', 'upstream', 'upstream.']]",4,3.777777778,has sluice which may permit fish to go upstream.,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0002.jpg,Dam effect on fish movements
63264326,T25,"[['no', 'no', 'no']]",3,3,no,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0002.jpg,Dam in outlet
63264327,T25,"[['4-Mile', '4-Mile', '4-Mile', '4'], ['Dam', 'Dam', 'Dam', '']]",4,3,4-mile dam,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0002.jpg,Dam in outlet
63264327,T27,"[['Prevents', 'Prevents', 'Prevents', '5'], ['fish', 'fish', 'fish', ''], ['moving', 'moving', 'moving', ''], ['upstream', 'upstream', 'upstream', '']]",4,3,prevents fish moving upstream,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0002.jpg,Dam effect on fish movements
63264328,T25,"[['yes', 'yes', 'yes', 'yes']]",4,4,yes,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_02.jpg,Dam in outlet
63264328,T27,"[['blocks', 'blocks', 'blocks', 'blocks'], ['fish', 'fish', 'fish', 'fish'], ['movement', 'movement', 'movement', 'movement']]",4,4,blocks fish movement,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_02.jpg,Dam effect on fish movements
63264333,T25,"[['Yes', 'Yes', 'Yes', 'Yes']]",4,4,yes,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Deer_002_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Deer_002_SUMM_0002.jpg,Dam in outlet
63264333,T27,"[['None', 'None', 'None', 'None'], ['-', '-', '-', '-'], ['could', 'could', 'could', 'could'], ['go', 'go', 'go', 'go'], ['up', 'up', 'up', 'up'], ['or', 'or', 'or', 'or'], ['down', 'down', 'down', 'down'], ['stream', 'stream', 'stream', 'stream']]",4,4,none - could go up or down stream,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Deer_002_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Deer_002_SUMM_0002.jpg,Dam effect on fish movements
63264337,T25,"[['None', 'None', 'none']]",3,2,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Geneserath_012_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Geneserath_012_SUMM_0002.jpg,Dam in outlet
63264339,T25,"[['None', 'None', 'None', 'None']]",4,4,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Hoffman_SUMM_20191125112552851_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Hoffman_SUMM_20191125112552851_0002.jpg,Dam in outlet
63264342,T25,"[['No', 'No', 'No']]",3,3,no,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0002.jpg,Dam in outlet
63264343,T25,"[['No', 'No', 'No']]",3,3,no,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2p2.jpg,Dam in outlet
63264344,T25,"[['none', 'none', 'none', 'none']]",4,4,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix3.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix3p2.jpg,Dam in outlet
63264346,T25,"[['Earthen', 'Earthen', 'Earthen', 'Earthen'], ['dam,', 'dam,', 'dam,', 'dam,'], ['broken', 'broken', 'broken', 'broken'], ['through', 'through', 'through', 'through']]",4,4,"earthen dam, broken through",,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0002.jpg,Dam in outlet
63264346,T27,"[['Fish', 'Fish', 'Fish', 'None'], ['can', 'can', 'can', '-'], ['now', 'now', 'now', ''], ['go', 'go', 'go', ''], ['up', 'up', 'up', ''], ['or', 'or', 'or', ''], ['down', 'down', 'down', 'broken'], ['stream', 'stream', 'stream', 'through']]",4,3,fish can now go up or down stream,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0002.jpg,Dam effect on fish movements
63264347,T25,"[['yes', 'Yes', 'yes', 'yes']]",4,3,yes,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0002.jpg,Dam in outlet
63264347,T27,"[['numerous', 'Numerous', 'numerous', 'numerous'], ['small', 'small', 'small', 'small'], ['streams', 'streams', 'streams', 'streams']]",4,3.666666667,numerous small streams,NA,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0002.jpg,Dam effect on fish movements
63264348,T25,"[['Yes', 'Yes', 'Yes', 'Yes']]",4,4,yes,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0002.jpg,Dam in outlet
63264348,T27,"[['Prevents', 'Prevents', 'Prevents', 'prevents'], ['upstream', 'upstream', 'upstream', 'upstream'], ['movement.', 'movement', 'movement', 'movement']]",4,3.333333333,prevents upstream movement,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0002.jpg,Dam effect on fish movements
63264349,T25,"[['On', 'On', 'On', 'On'], ['Cheboygan', 'Cheboygan', 'Cheboygan', 'Cheboygan'], ['River', 'River', 'River', 'River'], ['at', 'at', 'at', 'at'], ['Cheboygan', 'Cheboygan', 'Cheboygan', 'Cheboygan']]",4,4,on cheboygan river at cheboygan,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_217.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_218.jpg,Dam in outlet
63264349,T27,"[['Stopis', 'Stops', 'Stops', 'Stops'], ['fish', 'fish', 'fish', 'fish'], ['from', 'from', 'from', 'from'], ['traveling', 'traveling', 'travelling', 'traveling'], ['upstream', 'upstream', 'upstream', 'upstream'], ['from', 'from', 'from', 'from'], ['Lake', 'Lake', 'Lake', 'Lake'], ['Huron.', 'Huron.', 'Huron.', 'Huron.']]",4,3.75,stops fish from traveling upstream from lake huron.,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_217.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_218.jpg,Dam effect on fish movements
63264350,T25,"[['Yes', 'Yes', 'Yes', 'yes']]",4,3,yes,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_109.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_110.jpg,Dam in outlet
63264350,T27,"[['Has', 'Has', 'Has', 'Has'], ['a', 'a', 'a', 'a'], ['fish', 'fish', 'fish', 'fish'], ['ladder,', 'ladder,', 'ladder,', 'ladder,'], ['but', 'but', 'but', 'but'], ['fish', 'fish', 'fish', 'fish'], ['cannot', 'cannot', 'cannot', 'cannot'], ['climb', 'climb', 'climb', 'climb'], ['it', 'it', 'it', 'it'], ['(Reported', '(Reported', '(Reported', '(Reported'], ['by', 'by', 'by', 'by'], ['Will', 'Will', 'Will', 'Will'], ['Greg,', 'Greg,', 'Greg,', 'Greg,'], ['Onaway,', 'Onaway,', 'Onaway,', 'Onaway,'], ['Mich.)', 'Mich.)', 'Mich.)', 'MI)']]",4,3.933333333,"has a fish ladder, but fish cannot climb it (reported by will greg, onaway, mich.)",yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_109.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_110.jpg,Dam effect on fish movements
63264351,T25,"[['None', 'None', 'None']]",3,3,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_115.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_116.jpg,Dam in outlet
63264352,T25,"[['None', 'None', 'None', 'None']]",4,4,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_041.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_042.jpg,Dam in outlet
63264353,T25,"[['None', 'None', 'None', 'None']]",4,4,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Douglas_SUMM_049.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Douglas_SUMM_050.jpg,Dam in outlet
63264354,T27,"[['Stops', 'stops', 'Stops', 'Stops'], ['fish', 'fish', 'fish', 'fish'], ['moving', 'moving', 'moving', 'moving'], ['upstream.', 'upstream', 'upstream', 'upstream']]",4,3.5,stops fish moving upstream,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg,Dam effect on fish movements
63264355,T25,"[['makeshift', 'Makeshift', 'Makeshift', 'Makeshift'], ['wooden', 'wooden', 'wooden', 'wooden'], ['splash', 'splash', 'splash', 'splash'], ['board', 'board', 'board', 'board']]",4,3.75,makeshift wooden splash board,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_024.jpg,Dam in outlet
63264355,T27,"[['NONE', 'None', 'None', 'None']]",4,3,none,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_024.jpg,Dam effect on fish movements
63264357,T25,"[['at', 'at', 'at', 'at'], ['Cheboygan', 'Cheboygan', 'Cheboygan', 'cheboygan']]",4,3.5,at cheboygan,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_220.jpg,Dam in outlet
63264357,T27,"[['Stops', 'Stops', 'Stops', 'stops'], ['fish', 'fish', 'fish', 'fish'], ['moving', 'moving', 'moving', 'moving'], ['upstream', 'upstream.', 'upstream.', 'upstream']]",4,3.25,stops fish moving upstream,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_220.jpg,Dam effect on fish movements
63264358,T25,"[['Makeshift', 'Makeshift', 'Makeshift'], ['wooden', 'wooden', 'wooden'], ['splash', 'splash', 'splash'], ['board', 'board', 'board']]",3,3,makeshift wooden splash board,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_024.jpg,Dam in outlet
63264358,T27,"[['None', 'None', 'None']]",3,3,none,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_024.jpg,Dam effect on fish movements
63264359,T25,"[['none', 'none', 'none']]",3,3,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Dam in outlet
63264363,T25,"[['none', 'none']]",2,2,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_032.jpg,Dam in outlet
63264364,T25,"[['', '', '', 'land'], ['landlocked', 'landlocked', 'landlocked', 'locked']]",4,2,land landlocked,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_028.jpg,Dam in outlet
63264367,T25,"[['landlocked', 'landlocked', 'Landlocked', 'landlocked']]",4,3,landlocked,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_028.jpg,Dam in outlet
63264368,T25,"[['X', 'X', 'X']]",3,3,x,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Arbutus_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Arbutus_005.jpg,Dam in outlet
63264368,T27,"[['X', 'X', 'X']]",3,3,x,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Arbutus_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Arbutus_005.jpg,Dam effect on fish movements
