subject_id,task,answer1,review1,answer2,review2,answer3,review3,answer4,review4,answer
63265774,Intensity of Fishing - Winter,None,2, reportednone,2,NA,NA,NA,NA,None
63265780,Intensity of Fishing - Summer,moderatetofairlyheavy,2, Heavy,2,NA,NA,NA,NA,heavy
63265780,Intensity of Fishing - Winter,lightnotobserved,2, Light,2,NA,NA,NA,NA,light
63265810,Intensity of Fishing - Summer,Light,1, lightrestrictedbyowners,2, lightrestictedbyowners,1,NA,NA,light
63265822,Intensity of Fishing - Summer,Medium,2, probablymedium,2,NA,NA,NA,NA,medium 
63265825,Intensity of Fishing - Summer,None,2, Field Left Blank,2,NA,NA,NA,NA,NA
63265827,Intensity of Fishing - Summer,leftblank,1, Light,2, Field Left Blank,1,NA,NA,light
63265883,Intensity of Fishing - Winter,nodata,1, Field Left Blank,2, None,1,NA,NA,NA
63265884,Intensity of Fishing - Winter,None,1, Field Left Blank,2,NA,NA,NA,NA,NA
63265899,Intensity of Fishing - Summer,lighttomedlast3yearscosideredheavybefore,1, lighttomedlast3yearsconsideredheavybefore,2, Medium,1,NA,NA,medium 
63265920,Intensity of Fishing - Summer,None,1, leftblank,1, Field Left Blank,2,NA,NA,NA
63265920,Intensity of Fishing - Winter,None,1, leftblank,1, Field Left Blank,2,NA,NA,NA
63265922,Intensity of Fishing - Summer,Field Left Blank,2, Light,2,NA,NA,NA,NA,light
63265945,Intensity of Fishing - Winter,Heavy,2, heavyterrific,2,NA,NA,NA,NA,heavy
63265947,Intensity of Fishing - Summer,medium,2, Medium,2,NA,NA,NA,NA,medium 
63265955,Intensity of Fishing - Summer,lighttomedium,2, Medium,1, Light,1,NA,NA,medium 
63265962,Intensity of Fishing - Summer,Medium,2, lighttomedium,2,NA,NA,NA,NA,medium 
63265972,Intensity of Fishing - Summer,None,1, Field Left Blank,2, Light,1,NA,NA,NA
63266023,Intensity of Fishing - Winter,None,1, unknown,2, Field Left Blank,1,NA,NA,NA
63266040,Intensity of Fishing - Winter,,2, Field Left Blank,2,NA,NA,NA,NA,NA
63266048,Intensity of Fishing - Winter,Medium,1, mediumtolight,2, Light,1,NA,NA,medium 
63266050,Intensity of Fishing - Winter,Light,2, light,2,NA,NA,NA,NA,light
63266053,Intensity of Fishing - Winter,Field Left Blank,2, ,2,NA,NA,NA,NA,NA
63266056,Intensity of Fishing - Winter,,2, Field Left Blank,2,NA,NA,NA,NA,NA
63266059,Intensity of Fishing - Winter,,2, Light,1, Field Left Blank,1,NA,NA,NA
63266061,Intensity of Fishing - Winter,probablymorethansummer,2, Field Left Blank,1, Medium,1,NA,NA,medium 
63266068,Intensity of Fishing - Summer,Medium,2, mediumlight,1, mediumlightlep,1,NA,NA,medium 
63266068,Intensity of Fishing - Winter,None,1, Field Left Blank,1, ,2,NA,NA,NA
