subject_id,review,review2,review3,review4,column_name,month1,month2,month3,month4,date,front,back,Comments
58687292,2,2,NA,NA,begin_date_day,4,18,NA,NA,4,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p3.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p4.jpg,
58687293,1,1,NA,NA,end_date_day,16,15,NA,NA,16,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_130_SUMM_0002.jpg,
58687310,2,2,NA,NA,begin_date_day,16,15,NA,NA,15,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_015.jpg,*date has been scratched off and edited
58687313,2,1,NA,NA,begin_date_year,1942,1912,NA,NA,1942,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,
58687335,2,1,1,NA,end_date_year,1960,1970,Same as Begin Date (Year),NA,1960,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Garlinghouse_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Garlinghouse_014.jpg,
58687340,2,2,NA,NA,end_date_day,5,3,NA,NA,3,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_008.jpg,
58687355,2,1,NA,NA,begin_date_month,July,August,NA,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Deadmans_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Deadmans_SUMM_008.jpg,
58687398,1,2,NA,NA,begin_date_month,April,August,NA,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Streaked_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Streaked_SUMM_010.jpg,
58687439,2,2,NA,NA,begin_date_year,1961,1951,NA,NA,1961,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_FingerBig_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_FingerBig_SUMM_009.jpg,
58687443,1,1,NA,NA,end_date_day,27,16,NA,NA,27,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Gogebic_SUMM_044.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Gogebic_SUMM_045.jpg,
58687458,2,1,NA,NA,begin_date_year,1937,1932,NA,NA,1937,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_011.jpg,*Year is cut off but it is most likely 1937
58687458,2,1,NA,NA,begin_date_month,September,November,NA,NA,September,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_011.jpg,
58687470,1,1,NA,NA,end_date_year,1968,1965,NA,NA,1965,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Marell_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Marell_SUMM_006.jpg,
58687470,1,1,1,NA,end_date_month,May,June,August,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Marell_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Marell_SUMM_006.jpg,
58687485,1,1,NA,NA,begin_date_day,18,28,NA,NA,28,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Osprey_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Osprey_SUMM_003.jpg,
58687508,1,1,1,NA,end_date_year,1938,1948,Same as Begin Date (Year),NA,1938,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Sucker_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Sucker_SUMM_011.jpg,
58687521,2,2,NA,NA,begin_date_year,1953,1963,NA,NA,1963,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Wilson_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Wilson_SUMM_006.jpg,
58687522,2,1,NA,NA,begin_date_day,21,22,NA,NA,21,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Arbutus_SUMM_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Arbutus_SUMM_022.jpg,
58687538,1,2,NA,NA,begin_date_month,January,May,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Chandler_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Chandler_SUMM_007.jpg,
58687538,1,2,NA,NA,begin_date_day,5,1,NA,NA,1,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Chandler_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Chandler_SUMM_007.jpg,
58687544,1,2,1,NA,end_date_month,Same as Begin Date (Month),May,June,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Fife_SUMM_062.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Fife_SUMM_063.jpg,
58687547,1,1,NA,NA,end_date_day,27,26,NA,NA,27,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Green_SUMM_001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Green_SUMM_002.jpg,
58687553,2,1,NA,NA,end_date_month,June,July,NA,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Long_SUMM_025.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Long_SUMM_026.jpg,
58687553,2,1,NA,NA,end_date_day,11,29,NA,NA,29,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Long_SUMM_025.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Long_SUMM_026.jpg,
58687564,2,1,1,NA,begin_date_day,28,23,3,NA,28,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Roots_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Roots_SUMM_008.jpg,*Day is blurry
58687570,2,1,NA,NA,end_date_month,July,June,NA,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_014.jpg,
58687570,2,1,NA,NA,end_date_day,2,22,NA,NA,2,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_014.jpg,
58687571,2,1,NA,NA,begin_date_year,1950,1959,NA,NA,1950,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_012.jpg,
58687571,2,1,NA,NA,begin_date_day,20,29,NA,NA,20,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Silver_SUMM_012.jpg,
58687575,1,1,1,NA,end_date_year,Same as Begin Date (Year),1968,1960,NA,1968,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Twin25N_09W_S14_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Twin25N_09W_S14_SUMM_005.jpg,
58687606,2,1,1,NA,end_date_month,August,December,Same as Begin Date (Month),NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Crystal_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Crystal_SUMM_008.jpg,
58687606,2,1,NA,NA,end_date_day,12,9,NA,NA,12,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Crystal_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Crystal_SUMM_008.jpg,
58687626,1,2,1,NA,end_date_year,1948,1949,Same as Begin Date (Year),NA,1949,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Stonington_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Stonington_SUMM_009.jpg,
58687629,2,1,NA,NA,end_date_day,14,16,NA,NA,14,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Toivola_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Toivola_SUMM_006.jpg,
58687637,2,1,NA,NA,end_date_month,July,August,NA,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Ionia_Long_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Ionia_Long_SUMM_016.jpg,
58687637,2,1,NA,NA,end_date_day,29,1,NA,NA,1,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Ionia_Long_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Ionia_Long_SUMM_016.jpg,
58687642,2,1,1,NA,end_date_year,1949,Same as Begin Date (Year),1947,NA,1949,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Hale_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Hale_SUMM_004.jpg,
58687661,1,2,1,NA,end_date_year,1994,Same as Begin Date (Year),1949,NA,1949,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Camp_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Camp_SUMM_014.jpg,
58687666,2,1,NA,NA,begin_date_year,1943,1944,NA,NA,1943,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Clear_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Clear_SUMM_007.jpg,
58687666,2,1,NA,NA,begin_date_month,September,August,NA,NA,September,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Clear_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Clear_SUMM_007.jpg,
58687666,2,1,NA,NA,begin_date_day,8,20,NA,NA,8,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Clear_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Clear_SUMM_007.jpg,
58687674,1,1,NA,NA,begin_date_year,1950,1990,NA,NA,195,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Emily_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Emily_SUMM_009.jpg,*Last digit of the year is cutoff. It is most likely 1959 but not sure
58687674,1,1,NA,NA,end_date_year,1950,1990,NA,NA,1959,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Emily_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Emily_SUMM_009.jpg,*Last digit of the year is cutoff. It is most likely 1959 but not sure
58687678,2,1,NA,NA,begin_date_year,1948,1949,NA,NA,1948,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Fire_SUMM_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Fire_SUMM_015.jpg,
58687696,2,1,NA,NA,begin_date_day,26,23,NA,NA,26,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Stanley_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Stanley_SUMM_016.jpg,
58687703,2,1,1,NA,end_date_month,June,July,Same as Begin Date (Month),NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Wildwood_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Wildwood_SUMM_006.jpg,
58687705,2,1,NA,NA,end_date_day,2,22,NA,NA,2,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Isabella_Coldwater_SUMM_024.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Isabella_Coldwater_SUMM_025.jpg,
58687721,2,1,NA,NA,end_date_day,30,29,NA,NA,30,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_Prison_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_Prison_SUMM_007.jpg,
58687779,1,2,NA,NA,end_date_month,July,August,NA,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Rainbow_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Rainbow_SUMM_019.jpg,
58687779,1,2,NA,NA,end_date_day,21,19,NA,NA,19,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Rainbow_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Rainbow_SUMM_019.jpg,
58687795,1,2,NA,NA,begin_date_day,16,19,NA,NA,19,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Blue10N_9W_S10-15_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Blue10N_9W_S10-15_SUMM_012.jpg,
58687923,2,1,NA,NA,begin_date_year,1963,1966,NA,NA,1963,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Watts_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Watts_SUMM_018.jpg,
58687923,2,1,NA,NA,begin_date_month,July,September,NA,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Watts_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Watts_SUMM_018.jpg,
58687923,2,1,NA,NA,begin_date_day,11,7,NA,NA,11,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Watts_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Watts_SUMM_018.jpg,
58687934,1,1,NA,NA,end_date_month,July,June,NA,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Belle_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Belle_SUMM_001_B.jpg,
58687934,1,1,NA,NA,end_date_day,6,30,NA,NA,6,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Belle_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Belle_SUMM_001_B.jpg,
58687939,2,1,NA,NA,begin_date_day,27,7,NA,NA,27,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_B.jpg,
58687952,2,1,NA,NA,begin_date_year,1948,1964,NA,NA,1948,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Manistee_Portage_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Manistee_Portage_SUMM_001_B.jpg,*Survey date is missing but rubber stamp on front page shows 1948
58687952,2,1,NA,NA,begin_date_month,October,June,NA,NA,October,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Manistee_Portage_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Manistee_Portage_SUMM_001_B.jpg,*Survey date is missing but rubber stamp on front page shows October
58687952,2,1,NA,NA,begin_date_day,22,1,NA,NA,22,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Manistee_Portage_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Manistee_Portage_SUMM_001_B.jpg,*Survey date is missing but rubber stamp on front page shows 22nd
58687979,1,2,1,NA,end_date_month,Same as Begin Date (Month),June,July,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Rush_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Rush_SUMM_001_B.jpg,
58687982,1,2,NA,NA,begin_date_day,16,15,NA,NA,15,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Newaygo_Sylvan_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Newaygo_Sylvan_SUMM_001_B.jpg,
58687994,1,1,NA,NA,end_date_day,24,27,NA,NA,27,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_CAMPBELL_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_CAMPBELL_SUMM_0001_2.jpg,
58688029,1,1,NA,NA,begin_date_year,1861,1938,NA,NA,1938,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_2.jpg,
58688029,1,1,1,NA,begin_date_month,February,March,July,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_2.jpg,
58688029,1,1,NA,NA,begin_date_day,2,28,NA,NA,28,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_2.jpg,
58688029,1,1,NA,NA,end_date_day,1,29,NA,NA,29,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0002_2.jpg,
58688046,2,1,NA,NA,begin_date_month,July,February,NA,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_DIAMOND_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_DIAMOND_SUMM_0001_2.jpg,
58688046,2,1,NA,NA,begin_date_day,7,28,NA,NA,7,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_DIAMOND_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_DIAMOND_SUMM_0001_2.jpg,
58688060,2,2,NA,NA,begin_date_month,July,June,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Schoolcraft_Indian_75-69_1937_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Schoolcraft_Indian__75-69_1937_SUMM_001_02.jpg,
58688060,2,2,NA,NA,begin_date_day,10,18,NA,NA,18,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Schoolcraft_Indian_75-69_1937_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Schoolcraft_Indian__75-69_1937_SUMM_001_02.jpg,
58688065,2,2,NA,NA,begin_date_year,1938,1958,NA,NA,1938,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Barton_SUMM_20200203131647465_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Barton_SUMM_20200203131647465_0002.jpg,
58688072,2,1,NA,NA,begin_date_day,15,16,NA,NA,15,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Cavanaugh_SUMM_20200218114608565_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Cavanaugh_SUMM_20200218114608565_0002.jpg,
58688086,2,1,NA,NA,begin_date_year,1936,1986,NA,NA,1936,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_SUMM_936_1a.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_SUMM_936_1b.jpg,
