subject_id,task,data.aligned_text,data.number_views,data.consensus_score,column_name,data.consensus_text,data,data_binary,URL_front,URL_back
63264413,T25,[['none']],1,1,Dam in outlet,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clinton_Burke_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clinton_Burke_038.jpg
63264419,T25,"[['seepage'], ['through'], ['marsh']]",1,1,Dam in outlet,seepage through marsh,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clinton_Rose_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clinton_Rose_009.jpg
63264425,T25,"[['', '', 'Stream', ''], ['', '', 'to', ''], ['Yes', 'Yes', 'the', 'Yes'], ['', '', 'Shiawasse', ''], ['', '', 'River', '']]",4,1.4,Dam in outlet,Stream to Yes Shiawasse River,Yes,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Genesse_Lobdell_SUMM_001_01_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Genesse_Lobdell_SUMM_001_01_B.jpg
63264447,T25,"[[""3'"", ""3'"", '3', ''], ['', '', 'feet', 'yes']]",4,1.5,Dam in outlet,3' feet,3',yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Birch_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Birch_SUMM_007.jpg
63264495,T27,"[['has', 'fluctuates', 'has', 'has'], ['', 'level', '', ''], ['', '+2', '', ''], ['', '1/2', '', ''], ['fishway', 'feet', 'fishway', 'fishway']]",4,1.8,Dam effect on fish movements,has level +2 1/2 fishway,has fishway,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_LacVieuxDesert_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_LacVieuxDesert_SUMM_019.jpg
63264507,T27,"[['impassable', 'Impassable', 'Impassable', 'Very'], ['', '', '', 'little'], ['', '', '', '(one'], ['', '', '', 'foot'], ['', '', '', 'at'], ['', '', '', 'most)']]",4,1.166666667,Dam effect on fish movements,Impassable little (one foot at most),Impassable,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Misty_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Misty_SUMM_004.jpg
63264516,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mule_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mule_SUMM_004.jpg
63264559,T27,[['--']],1,1,Dam effect on fish movements,--,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_039.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Boardman_SUMM_040.jpg
63264567,T25,[['-']],1,1,Dam in outlet,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_ChristmasTree_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_ChristmasTree_SUMM_007.jpg
63264582,T27,"[['No'], ['effect']]",1,1,Dam effect on fish movements,No effect,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Green_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Green_SUMM_004.jpg
63264587,T27,[['---']],1,1,Dam effect on fish movements,---,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_004.jpg
63264596,T27,[['--']],1,1,Dam effect on fish movements,--,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_SabinPond_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_SabinPond_SUMM_004.jpg
63264612,T25,[['-']],1,1,Dam in outlet,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_ElevenMile_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_ElevenMile_SUMM_006.jpg
63264639,T25,[['none']],1,1,Dam in outlet,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Webber_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Webber_SUMM_006.jpg
63264646,T27,"[['None'], ['-'], ['overflow'], ['from'], ['Round'], ['Lake'], ['in'], ['exceptionally'], ['high'], ['water.'], ['Remains'], ['of'], ['old'], ['connecting'], ['channel']]",1,1,Dam effect on fish movements,None - overflow from Round Lake in exceptionally high water. Remains of old connecting channel,None - overflow from Round Lake in exceptionally high water. Remains of old connecting channel,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Floyd_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Floyd_SUMM_007.jpg
63264647,T25,[['--']],1,1,Dam in outlet,--,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_BassBig_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_BassBig_SUMM_010.jpg
63264647,T27,[['--']],1,1,Dam effect on fish movements,--,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_BassBig_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_BassBig_SUMM_010.jpg
63264652,T25,[['-']],1,1,Dam in outlet,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Jose_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Jose_SUMM_007.jpg
63264652,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Jose_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Jose_SUMM_007.jpg
63264657,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Loon_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Loon_SUMM_010.jpg
63264658,T25,[['-']],1,1,Dam in outlet,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_005.jpg
63264658,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_005.jpg
63264685,T27,"[['None', 'None', 'Raise', 'none'], ['', '', 'lake', ''], ['', '', 'approximately', ''], ['', '', ""1'"", '']]",4,1.25,Dam effect on fish movements,None lake approximately 1',none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Gabbit_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Gabbit_SUMM_004.jpg
63264714,T25,"[['', 'stream', ''], ['', 'to', ''], ['', 'Little', ''], ['none', 'Portage', 'none'], ['', 'Lake', '']]",3,1.2,Dam in outlet,stream to Little none Lake,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PondLily1S_2E_S32_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PondLily1S_2E_S32_SUMM_006.jpg
63264728,T25,[['permanent']],1,1,Dam in outlet,permanent,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle_SUMM_019.jpg
63264733,T27,[['---']],1,1,Dam effect on fish movements,---,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_027.jpg
63264742,T27,[['---']],1,1,Dam effect on fish movements,---,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Lost_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Lost_SUMM_007.jpg
63264744,T25,[['none']],1,1,Dam in outlet,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Sherman_SUMM_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Sherman_SUMM_015.jpg
63264765,T27,[['--']],1,1,Dam effect on fish movements,--,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Black10N_9W_S15_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Black10N_9W_S15_SUMM_010.jpg
63264767,T27,"[['-', '--']]",2,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Blue10N_9W_S10-15_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Blue10N_9W_S10-15_SUMM_012.jpg
63264777,T27,"[['FIsh', 'Fish'], ['can', 'can'], ['easily', 'easily'], ['move', 'move'], ['between', 'between'], ['these', 'these'], ['two', 'two'], ['lakes.', 'lakes.']]",2,1.875,Dam effect on fish movements,FIsh can easily move between these two lakes.,FIsh can easily move between these two lakes.,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Frant_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Frant_SUMM_006.jpg
63264784,T25,[['---']],1,1,Dam in outlet,---,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Maston_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Maston_SUMM_011.jpg
63264796,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Scotch_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Scotch_SUMM_003.jpg
63264801,T27,[['-----']],1,1,Dam effect on fish movements,-----,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Silver_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Silver_SUMM_018.jpg
63264825,T25,[['none']],1,1,Dam in outlet,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_003.jpg
63264825,T27,[['none']],1,1,Dam effect on fish movements,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_003.jpg
63264830,T25,[['None']],1,1,Dam in outlet,None,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Harper_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Harper_SUMM_012.jpg
63264843,T25,[['none']],1,1,Dam in outlet,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Oxbow_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Oxbow_SUMM_004.jpg
63264843,T27,[['none']],1,1,Dam effect on fish movements,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Oxbow_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Oxbow_SUMM_004.jpg
63264845,T25,[['None']],1,1,Dam in outlet,None,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Paradise_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Paradise_SUMM_014.jpg
63264873,T25,[['None']],1,1,Dam in outlet,None,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Grass_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Grass_SUMM_004.jpg
63264878,T27,"[['Flooding', ''], ['of', ''], ['marshy', ''], ['border', 'none'], ['intermittent', '']]",2,1,Dam effect on fish movements,Flooding of marshy border intermittent,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Indian_SUMM_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Indian_SUMM_013.jpg
63264898,T27,[['No']],1,1,Dam effect on fish movements,No,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Livingston_Strawberry_47-101_1973_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Livingston_Strawberry_47-101_1973_SUMM_001_02.jpg
63264912,T27,[['Sm']],1,1,Dam effect on fish movements,Sm,Ss,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Twin_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Twin_SUMM_001_B.jpg
63264913,T25,[['-']],1,1,Dam in outlet,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Pretty_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Pretty_SUMM_001_B.jpg
63264913,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Pretty_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Pretty_SUMM_001_B.jpg
63264914,T27,"[['Water'], ['level'], ['below'], ['normal']]",1,1,Dam effect on fish movements,Water level below normal,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Syphon_SUMM_002_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Syphon_SUMM_002_B.jpg
63264938,T27,"[['Probably'], ['intermittent']]",1,1,Dam effect on fish movements,Probably intermittent,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Linnbeck_SUMM_20191204122632435_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Linnbeck_SUMM_20191204122632435_0002.jpg
63264940,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Missaukee_Missaukee_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Missaukee_Missaukee_SUMM_001_B.jpg
63264943,T25,[['None']],1,1,Dam in outlet,None,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Muskegon_EastTwin_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Muskegon_EastTwin_SUMM_001_B.jpg
63264957,T25,"[['none', 'None.', 'None']]",3,1,Dam in outlet,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_HEITMAN(MUD)_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OCEANA_HEITMAN(MUD)_SUMM_0001_2.jpg
63264960,T25,[['-']],1,1,Dam in outlet,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_AMBROSE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_AMBROSE_SUMM_0001_2.jpeg
63264960,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_AMBROSE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_AMBROSE_SUMM_0001_2.jpeg
63264965,T25,[['None.']],1,1,Dam in outlet,None.,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAU_JEWETT_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAU_JEWETT_SUMM_0001_2.jpeg
63264965,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAU_JEWETT_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAU_JEWETT_SUMM_0001_2.jpeg
63264972,T25,"[['Permanent', 'Small', 'small', 'Small'], ['dam.', 'temporary', 'temporary', 'temporary'], ['Outlet', 'state', 'stake', 'stake'], ['drains', 'and', 'and', 'and'], ['into', 'sheet', 'sheet', 'sheet'], ['Gamble', 'metal', 'metal', 'metal'], ['Cr.', '', '', ''], ['to', '', '', ''], ['Devoe', '', '', ''], ['L.', '', '', ''], ['to', '', '', ''], ['Rifle', '', '', ''], ['River', '', '', ''], ['drainage.', '', '', 'dam']]",4,1.714285714,Dam in outlet,Small temporary stake and sheet metal Cr. to Devoe L. to Rifle River drainage.,Small temporary stake and sheet metal Cr. to Devoe L. to Rifle River drainage.,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_GROUSEHAVEN_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_GROUSEHAVEN_SUMM_0001_2.jpeg
63264973,T25,"[['Devoe', 'Devoe', ""19'"", 'Devoe'], ['Dam-old', 'Dam-old', 'wide', 'Dam'], ['', '', 'average', '-'], ['', '', '18""', 'old'], ['logging', 'logging', 'deep,', 'logging'], ['dam.', 'dam.', 'at', 'dam.'], ['', '', 'road', ''], ['', '', 'bridge', ''], ['', '', 'and', ''], ['', '', '400', ''], ['', '', 'yards', ''], ['Concrete.', 'Concrete.', 'long', 'Concrete.']]",4,1.75,Dam in outlet,"Devoe Dam-old average 18"" logging dam. road bridge and 400 yards Concrete.","Devoe Dam-old average 18"" logging dam. road bridge and 400 yards Concrete.",yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_DEVOE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_DEVOE_SUMM_0001_2.jpeg
63264975,T25,"[['-', 'none'], ['', 'apparent']]",2,1,Dam in outlet,#NAME?,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_2.jpeg
63264975,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_2.jpeg
63264978,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_JOHNSON_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_JOHNSON_SUMM_0001_2.jpeg
63264984,T25,[['-']],1,1,Dam in outlet,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_2.jpeg
63264984,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_2.jpeg
63264992,T25,"[['Intermittent'], ['if'], ['present']]",1,1,Dam in outlet,Intermittent if present,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_HEMLOCK_SUMM_0001_2.jpg
63264998,T25,"[['To'], ['Cascade'], ['creek;'], ['out'], ['of'], ['west'], ['end'], ['of'], ['lake']]",1,1,Dam in outlet,To Cascade creek; out of west end of lake,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_STONCO_SUMM_0002_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_STONCO_SUMM_0002_2.jpg
63265000,T25,[['---']],1,1,Dam in outlet,---,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_TANLUND_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_TANLUND_SUMM_0001_2.jpg
