subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,min,max,units,URL_front,URL_back,column_name,notes
63264318,T23,"[['10.4', '10.4°C', '10.4*C', '10.4*C'], ['degrees', '', '', ''], ['C', '', '', '']]",4,1.333333333,10.4*C degrees C,10.4,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0002.jpg,Temperature_Bottom,
63264320,T15,"[['', '', '62', ''], ['', '', '-', ''], ['62-70*F', '62-70*F', '70*F', '62-70*F']]",4,1.666666667,62 - 62-70*F,62,70,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0014.jpg,Temperature_Surface,
63264322,T15,"[['71-73*', '71', '71-73', '71-73*F'], ['F.', '-', 'F', ''], ['', '72', '', ''], ['', '*F', '', '']]",4,1,71-73* F. 72 *F,71,73,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Temperature_Surface,
63264322,T23,"[['11.4*', '11.4', '11.4', '11.4*C'], ['C.', '*C', 'C', '']]",4,1.5,11.4 C.,11.4,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Temperature_Bottom,
63264326,T15,"[['25.3*C', '25.3*', '25.3*C', '25.3C'], ['', 'C', '', '']]",4,1.5,25.3*C C,25.3,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0002.jpg,Temperature_Surface,
63264326,T23,"[['24.6*C', '24.6*', '24.6*C', '24.6C'], ['', 'C', '', '']]",4,1.5,24.6*C C,24.6,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0002.jpg,Temperature_Bottom,
63264327,T15,"[['68*F', '68*F', '68°', '68'], ['', '', 'F.', '']]",4,1.5,68*F F.,68,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0002.jpg,Temperature_Surface,
63264327,T23,"[['18.8*C', '18.8*C', '18.7°', '18'], ['', '', 'C.', '']]",4,1.5,18.8*C C.,18.8,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_FourMileImpoundment_SUMM_20200219151735462_0002.jpg,Temperature_Bottom,
63264328,T15,"[['26.1*', '26.1*C', '26.1*C', '26.1C'], ['C', '', '', '']]",4,1.5,26.1*C C,26.1,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_02.jpg,Temperature_Surface,
63264330,T19,"[['9.1-9.6', '9.6', '9.6-9.1'], ['', '-', ''], ['', '9.1', ''], ['ppm', 'ppm', 'ppm']]",3,1.5,9.1-9.6 - 9.1 ppm,9.6,9.1,ppm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3p2.jpeg,Dissolved oxygen above thermocline,
63264330,T23,"[['66*', '66*', '66', '66*'], ['', '', 'degrees', ''], ['', '', 'F', '']]",4,1.666666667,66* degrees F,66,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3p2.jpeg,Temperature_Bottom,
63264335,T19,"[['8.36-8.32', '8.36-8.32', '8.36', '8.36-8.32'], ['', '', '-', ''], ['', '', '8.32', '']]",4,1.666666667,8.36-8.32 - 8.32,8.36,8.32,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_002_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_002_SUMM_0002.jpg,Dissolved oxygen above thermocline,
63264336,T15,"[['65*', '65°', '65*F', '65']]",4,1,65*,65,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_003_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_003_SUMM_0002.jpg,Temperature_Surface,
63264336,T23,"[['64*', '64°', '64*F', '64']]",4,1,64*,64,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_003_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_003_SUMM_0002.jpg,Temperature_Bottom,
63264337,T23,"[['46*', '46°F.', '46', '46*F'], ['F', '', '*F', '']]",4,1,46* F,46,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Geneserath_012_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Geneserath_012_SUMM_0002.jpg,Temperature_Bottom,
63264342,T15,"[['72-69', '72', '72-69*F', '72'], ['', '-', '', '-'], ['', '69*F', '', '69'], ['', '', '', 'degrees'], ['F', '', '', 'F']]",4,1.6,72 - 69*F degrees F,72,69,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0002.jpg,Temperature_Surface,
63264342,T23,"[['69', '69*F', '69*F', '69'], ['', '', '', 'degrees'], ['F', '', '', 'F.']]",4,1.333333333,69 degrees F,69,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0002.jpg,Temperature_Bottom,
63264343,T15,"[['23.2C*-24.0C*', '23.2', '23.2*C', '23.2*C'], ['', 'C', '', ''], ['', '-', '-', '-'], ['', '24.0', '24.0*C', '24.0*C'], ['', 'C', '', '']]",4,1.8,23.2*C C - 24.0*C C,23.2,24,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2p2.jpg,Temperature_Surface,
63264343,T23,"[['75.8*F-58.0*F', '47.5', '75.8*F', '47.5*F'], ['', '', '-', ''], ['', 'F', '58.0*F', '']]",4,1,75.8*F-58.0*F - F,47.5,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2p2.jpg,Temperature_Bottom,
63264344,T23,"[['', '49-50F;', '49', '49-50'], ['', '', '-', ''], ['', '', '50*F;', 'F;'], ['', 'south', 'south', 'south'], ['', 'arm,', 'arm,', 'arm,'], ['68-54*', '69-56F', '69', '69-56'], ['F.', '', '-', 'F'], ['', '', '56*F', '']]",4,1.5,"49-50F; - 50*F; south arm, 68-54* F. 56*F",49,50,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix3.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix3p2.jpg,Temperature_Bottom,
63264345,T23,"[['5.8-8.5*', '5.8-8.5*C', '5.8-8.5*', '5.8'], ['', '', '', '-'], ['', '', '', '8.5*'], ['C.', '', 'C.', 'C']]",4,1.5,5.8-8.5* - 8.5* C.,5.8,8.5,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0002.jpg,Temperature_Bottom,
63264346,T15,"[['64°F', '64', '64*F', '64'], ['', '*F', '', 'F']]",4,1.5,64 *F,64,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0002.jpg,Temperature_Surface,
63264346,T19,"[['8.5-8.0', '8.5', '8.5-8.0', '8.5-8.0'], ['', '-', '', ''], ['', '8.0', '', '']]",4,1.666666667,8.5-8.0 - 8.0,8.5,8,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0002.jpg,Dissolved oxygen above thermocline,
63264346,T23,"[['17,6°', '17.6', '17.6*C', '17.6C'], ['C', '*C', '', '']]",4,1,"17,6° C",17.6,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Susan_008_SUMM_0002.jpg,Temperature_Bottom,
63264348,T15,"[['70-72*F', '70-72*F', '70', '70-72'], ['', '', '-', ''], ['', '', '72*', ''], ['', '', 'F', 'F']]",4,1.5,70-72*F - 72* F,70,72,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0002.jpg,Temperature_Surface,
63264348,T23,"[['46-48', '46-48*F', '46', '46-48'], ['', '', '-', ''], ['', '', '48', '']]",4,1.333333333,46-48 - 48,46,48,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0002.jpg,Temperature_Bottom,
63264349,T15,"[['73.9-79.2', '73.9-79.2*F', '73.9', '73-79*F'], ['degrees', '', '-', ''], ['', '', '79.2*', ''], ['F', '', 'F', '']]",4,1.25,73.9-79.2 degrees 79.2* F,73.9,79.2,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_217.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_218.jpg,Temperature_Surface,
63264349,T23,"[['59.9-73.6', '59.9-73.6*F', '59.9', '59.9-61.4*F'], ['degrees', '', '-', ''], ['', '', '73.6*', ''], ['F', '', 'F', '']]",4,1.25,59.9-73.6 degrees 73.6* F,59.9,73.6,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_217.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Burt_SUMM_218.jpg,Temperature_Bottom,
63264351,T15,"[['73.0°F.', '73.0*F.', '73*F', '73.0*'], ['', '', '', 'F']]",4,1,73.0°F. F,73,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_115.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_116.jpg,Temperature_Surface,
63264351,T23,"[['71.4°F.', '71.4*F.', '71.4*F', '71.4*'], ['', '', '', 'F']]",4,1,71.4°F. F,71.4,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_115.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Cochran_SUMM_116.jpg,Temperature_Bottom,
63264354,T15,"[['66°F', '66*-74*F', '66-74*F', '66*'], ['', '', '', 'F'], ['to', '', '', 'to'], ['74°F', '', '', '74*'], ['', '', '', 'F']]",4,1.2,66°F F to 74°F F,66,74,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg,Temperature_Surface,
63264354,T19,"[['7.5-8.9', '7.5-8.9ppm', '7.5-8.9', '7.5'], ['', '', '', '-'], ['', '', '', '8.9'], ['ppm', '', 'ppm', 'ppm']]",4,1.75,7.5-8.9 - 8.9 ppm,7.5,8.9,ppm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg,Dissolved oxygen above thermocline,
63264354,T20,"[['7.6-8.9', '7.6-8.9ppm', '7.6-8.9', '7.6'], ['', '', '', '-'], ['', '', '', '8.9'], ['ppm', '', 'pp,', 'ppm']]",4,1.5,7.6-8.9 - 8.9 ppm,7.6,8.9,ppm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg,Dissolved oxygen below thermocline,
63264354,T23,"[['48°', '1.8*-1.9*F', '48-49*F', '48*'], ['to', '', '', 'to'], ['49°F', '', '', '49*'], ['', '', '', 'F']]",4,1.25,48° to 49°F F,48,49,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg,Temperature_Bottom,
63264354,T24,"[['7.5-8.4', '7.5-8.4ppm', '7.5-8.4', '7.5'], ['', '', '', '-'], ['', '', '', '8.4'], ['ppm', '', 'ppm', 'ppm']]",4,1.75,7.5-8.4 - 8.4 ppm,7.5,8.4,ppm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg,Dissolved oxygen in thermocline,
63264355,T15,"[['73', '73*F', '73F', '73'], ['', '', '', 'F']]",4,1.5,73 F,73,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_024.jpg,Temperature_Surface,
63264355,T20,"[['9.9', '-']]",2,1,9.9,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_024.jpg,Dissolved oxygen below thermocline,
63264356,T15,"[['21.8', '21.8*C', '21.8C', '21.8'], ['C', '', '', 'C.']]",4,1.5,21.8 C,21.8,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_028.jpg,Temperature_Surface,
63264356,T20,"[['0.0', '', '', ''], ['-', '', '', ''], ['15.6', '0.0-15.6', '0.0-15.6', '0.0-15.6']]",4,1.666666667,0.0 - 0.0-15.6,0,15.6,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_028.jpg,Dissolved oxygen below thermocline,
63264357,T15,"[['66*F', '66*F', '66-74*F', '66'], ['to', 'to', '', 'to'], ['74*F', '74*F.', '', '74'], ['', '', '', 'F']]",4,1.75,66*F to 74*F F,66,74,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_220.jpg,Temperature_Surface,
63264357,T23,"[['48*', '18*', '', '48'], ['to', 'to', '', 'to'], ['49*', '49*F.', '48-49*F', '49'], ['F', '', '', 'F']]",4,1.75,48* to 49* F,48,49,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_SUMM_220.jpg,Temperature_Bottom,
63264358,T15,"[['73*F', '73', '73'], ['', 'degrees', ''], ['', 'F.', '*F']]",3,1.333333333,73 degrees F.,73,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_024.jpg,Temperature_Surface,
63264359,T15,"[['70*', '70F', '70', '70*F'], ['', '', 'degrees', ''], ['F', '', 'Fahrenheit', '']]",4,1,70* degrees F,70,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Temperature_Surface,
63264359,T19,"[['8.8', '8.8-8.6', '8.8', '8.8-8.9'], ['', 'p.p.m.', '', ''], ['', '13.0', '', ''], ['-', '-', '-', ''], ['8.9', '', '8.9', ''], ['ppm', '', 'ppm', 'ppm'], ['', '15.6', '13.0-15.6', ''], ['', '(through', '(through', ''], ['', 'thermocline)', 'thermocline)', '']]",4,1.888888889,8.8 p.p.m. 13.0 - 8.9 ppm 15.6 (through thermocline),8.8,8.9,ppm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Dissolved oxygen above thermocline,
63264359,T23,"[['43*', '43F', '43', '43*F'], ['', '', 'degrees', ''], ['F', '', 'F.', '']]",4,1,43* degrees F,43,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Temperature_Bottom,
63264359,T24,"[['13.0', '13.0-15.6'], ['-', ''], ['15.6', ''], ['(through', ''], ['thermocline)', '']]",2,1,13.0 - 15.6 (through thermocline),13,15.6,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Dissolved oxygen in thermocline,
63264363,T19,"[['8.8-8.9ppm', '8.8-8.9', '8.8', '8.8'], ['', '', '-', '-'], ['', '', '8.9', '8.9'], ['', 'p.p.m.,', 'p.p.m.', 'ppm'], ['', '13.0-15.6', '', '13.0'], ['', '', '', '-'], ['', '', '', '15.6'], ['', '(through', '', '(through'], ['', 'thermocline)', '', 'thermocline)']]",4,1.555555556,"8.8 - 8.9 p.p.m., 13.0-15.6 - 15.6 (through thermocline)",8.8,8.9,ppm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_032.jpg,Dissolved oxygen above thermocline,
63264364,T15,"[['72*', '72*F', '72*F', '72F'], ['F.', '', '', '']]",4,1.5,72*F F.,72,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_028.jpg,Temperature_Surface,
