subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,column_name,front,back,data_min,data_max,units
63341311,T12,"[['very', 'Very', 'Very', 'very'], ['small', 'small', 'small', 'small'], ['at', 'at', 'at', 'at'], ['present', 'present', 'present', 'present'], ['8/13/36', '8/13/36', '8/13/36', '8/13/36']]",4,3.6,very small at present 8/13/36,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_ManistiqueBig_SUMM_047.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_ManistiqueBig_SUMM_048.jpg,NA,,
63341312,T12,"[['24', '24', '24', '24'], ['inches', 'inches', 'inches', 'inches']]",4,4,24 inches,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mackinac_Whitefish_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mackinac_Whitefish_SUMM_003.jpg,2,,feet
63341316,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Chief_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Chief_SUMM_007.jpg,NA,,
63341317,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Dicksons_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Dicksons_SUMM_006.jpg,NA,,
63341319,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Lake_Spring_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Lake_Spring_SUMM_006.jpg,NA,,
63341320,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Pine_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Manistee_Pine_SUMM_018.jpg,NA,,
63341321,T12,"[['See', 'See', 'See', 'See'], ['attached', 'attached', 'attached', 'attached'], ['description/', 'description', 'description', 'description'], ['', 'of', '', ''], ['', 'dam', '', '']]",4,2.6,see attached description of dam,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Independence_SUMM_118.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Independence_SUMM_119.jpg,NA,,
63341323,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Harlow_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Harlow_SUMM_004.jpg,NA,,
63341324,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Squaw_SUMM_106.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Squaw_SUMM_107.jpg,NA,,
63341326,T12,"[['About', 'About', 'About', 'About'], ['2', '2', '2', '2'], ['feet', 'feet', 'feet', 'feet'], ['maximum', 'maximum', 'maximum', 'maximum']]",4,4,about 2 feet maximum,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Bass_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Bass_SUMM_009.jpg,2,,feet
63341327,T12,"[['None', 'None', 'None', 'None']]",4,4,none,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_WhiteGoatLittle_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_WhiteGoatLittle_SUMM_007.jpg,NA,,
63341330,T12,"[['13-14', '13-14', '13-14', '13-14'], ['feet', 'feet', 'feet', 'feet']]",4,4,13-14 feet,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Hamlin_SUMM_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Hamlin_SUMM_051.jpg,13,14,feet
63341333,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Gun_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Mason_Gun_SUMM_014.jpg,NA,,
63341334,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_JEWETT_SUMM_0009_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_JEWETT_SUMM_0009_2.jpeg,NA,,
63341337,T12,"[['Less', 'Less', 'Less', 'Less'], ['than', 'than', 'than', 'than'], ['2', '2', '2', '2'], ['ft', 'ft.', 'ft.', 'ft.']]",4,3.75,less than 2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_GROUSEHAVEN_SUMM_0008_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_GROUSEHAVEN_SUMM_0008_2.jpeg,2,,feet
63341338,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_JEWETT_SUMM_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_JEWETT_SUMM_0010_2.jpeg,NA,,
63341339,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_LODGE_SUMM_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_LODGE_SUMM_0004_2.jpeg,NA,,
63341340,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_SCAUP_SUMM_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_SCAUP_SUMM_0004_2.jpeg,NA,,
63341347,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_TwinSouth_SUMM_026.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_TwinSouth_SUMM_025.jpeg,NA,,
63341355,T12,"[['About', 'About', 'About', 'About'], ['3', '3', '3', '3'], ['feet', 'feet', 'feet', 'feet']]",4,4,about 3 feet,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Pickerel_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Pickerel_SUMM_003.jpeg,3,,feet
63341357,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Ford_SUMM_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Ford_SUMM_009.jpeg,NA,,
63341359,T12,"[['About', 'About', 'About', 'About'], ['2', '2', '2', '2'], ['ft.', 'ft.', 'ft.', 'ft.']]",4,4,about 2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Grass_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Grass_SUMM_003.jpeg,2,,feet
63341360,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Ford_SUMM_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Ford_SUMM_005.jpeg,NA,,
63341361,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_DevilsSoup_SUMM_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_DevilsSoup_SUMM_023.jpeg,NA,,
63341370,T12,"[['3', '3', '3', '3'], ['to', 'to', 'to', 'to'], ['3', '3', '3', '3'], ['1/2', '1/2', '1/2', '1/2'], ['ft.', 'ft.', 'ft.', 'ft.']]",4,4,3 to 3 1/2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_GREEN_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_GREEN_SUMM_0001_2.jpeg,3,3.5,feet
63341371,T12,"[['3', '3', '3½', '3.5'], ['1/2', '1/2', '', ''], ['ft.', 'foot', 'ft.', 'ft']]",4,2,3 1/2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_MILL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/WASHTENAW_MILL_SUMM_0001_2.jpeg,3.5,,feet
