"subject_id","URL.4","URL.8","task","Full.Task","data.value"
58642677,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Arbutus_GROW_097.jpg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 3}]"
58642677,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Arbutus_GROW_097.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'V / 5': 3}]"
58642685,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642685,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'V / 5': 3}]"
58642685,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_003.jpg",NA,"T13","Third row age group [Dropdown]","[{'VI / 6': 3}]"
58642685,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_003.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'VII / 7': 2, 'VIII / 8': 1}]"
58642685,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_003.jpg",NA,"T25","5th row age group [Dropdown]","[{'VIII / 8': 3}]"
58642693,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_PortlandImpoundment_GROW_001.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642695,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'IV / 4': 3}]"
58642695,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'VI / 6': 2, 'IV / 4': 1}]"
58642709,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Fire_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642709,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Fire_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'IV / 4': 3}]"
58642711,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Hagerman_GROW_076.jpg",NA,"T1","First row age group [Dropdown]","[{'0 / 0': 3}]"
58642711,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Hagerman_GROW_076.jpg",NA,"T7","Second row age group [Dropdown]","[{'I / 1': 3}]"
58642711,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Hagerman_GROW_076.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642714,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Indian_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642714,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Indian_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642714,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Indian_GROW_003.jpg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 3}]"
58642715,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Iron_GROW_070.jpg",NA,"T1","First row age group [Dropdown]","[{'0 / 0': 3}]"
58642715,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Iron_GROW_070.jpg",NA,"T7","Second row age group [Dropdown]","[{'I / 1': 3}]"
58642715,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Iron_GROW_070.jpg",NA,"T13","Third row age group [Dropdown]","[{'II / 2': 3}]"
58642715,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Iron_GROW_070.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'III / 3': 3}]"
58642717,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_MichigammeReservoir_GROW_064.jpg",NA,"T1","First row age group [Dropdown]","[{'0 / 0': 3}]"
58642723,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Herrick_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642723,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Herrick_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'V / 5': 3}]"
58642731,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle_GROW_014.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642732,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642732,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642732,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642738,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Manistee_GROW_002.jpg",NA,"T1","First row age group [Dropdown]","[{'IX / 9 ': 3}]"
58642747,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Bass_GROW_103.jpg",NA,"T1","First row age group [Dropdown]","[{'IV / 4': 3}]"
58642753,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Long_GROW_002.jpg",NA,"T1","First row age group [Dropdown]","[{'V / 5': 3}]"
58642753,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Long_GROW_002.jpg",NA,"T7","Second row age group [Dropdown]","[{'VI / 6': 3}]"
58642767,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642767,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 2, 'II / 2': 1}]"
58642767,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 3}]"
58642768,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Spring_GROW_046.jpg",NA,"T1","First row age group [Dropdown]","[{'IV / 4': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'IV / 4': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T25","5th row age group [Dropdown]","[{'V / 5': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T31","6th row age group [Dropdown]","[{'VI / 6': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T37","7th row age group [Dropdown]","[{'VII / 7': 3}]"
58642769,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,"T43","8th row age group [Dropdown]","[{'VIII / 8': 3}]"
58642770,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg",NA,"T1","First row age group [Dropdown]","[{'0 / 0': 2}]"
58642770,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 2}]"
58642771,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642773,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313151302630_0002.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642773,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313151302630_0002.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642773,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313151302630_0002.jpeg",NA,"T13","Third row age group [Dropdown]","[{'V / 5': 3}]"
58642774,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg",NA,"T1","First row age group [Dropdown]","[{'0 / 0': 3}]"
58642774,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642786,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0002.jpeg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642786,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0002.jpeg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642786,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0002.jpeg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642786,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0002.jpeg",NA,"T19","Fourth row age group [Dropdown]","[{'V / 5': 3}]"
58642787,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0003.jpeg",NA,"T1","First row age group [Dropdown]","[{'V / 5': 3}]"
58642804,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Appleton_GROW_005.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642804,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Appleton_GROW_005.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642804,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Appleton_GROW_005.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642804,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Appleton_GROW_005.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'IV / 4': 3}]"
58642804,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Appleton_GROW_005.jpg",NA,"T25","5th row age group [Dropdown]","[{'V / 5': 3}]"
58642807,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Long8N_10E_S18_FISHc_002.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 5}]"
58642807,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Long8N_10E_S18_FISHc_002.jpg",NA,"T7","Second row age group [Dropdown]","[{'IV / 4': 5}]"
58642808,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642808,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642808,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_ChemungLake_GROW_007.jpg",NA,"T13","Third row age group [Dropdown]","[{'V / 5': 3}]"
58642810,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Lime_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642810,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Lime_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'V / 5': 3}]"
58642810,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Lime_GROW_003.jpg",NA,"T13","Third row age group [Dropdown]","[{'VII / 7': 3}]"
58642811,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Indian_GROW_024.jpg",NA,"T1","First row age group [Dropdown]","[{'V / 5': 2}]"
58642820,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642829,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_34.jpeg",NA,"T1","First row age group [Dropdown]","[{'IV / 4': 3}]"
58642829,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_34.jpeg",NA,"T7","Second row age group [Dropdown]","[{'VI / 6': 3}]"
58642829,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_34.jpeg",NA,"T13","Third row age group [Dropdown]","[{'VII / 7': 3}]"
58642834,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Macatawa_GROW_226.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642834,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Macatawa_GROW_226.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642834,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Macatawa_GROW_226.jpeg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 3}]"
58642834,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Macatawa_GROW_226.jpeg",NA,"T19","Fourth row age group [Dropdown]","[{'V / 5': 3}]"
58642841,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/RiceLittle_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'VI / 6': 3}]"
58642845,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Roscommon_James_GROW_2.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642845,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Roscommon_James_GROW_2.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642845,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Roscommon_James_GROW_2.jpeg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 3}]"
58642847,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_18.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642847,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_18.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642847,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_18.jpeg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 3}]"
58642847,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_18.jpeg",NA,"T19","Fourth row age group [Dropdown]","[{'V / 5': 3}]"
58642847,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_18.jpeg",NA,"T25","5th row age group [Dropdown]","[{'VI / 6': 3}]"
58642849,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642849,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642849,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 3}]"
58642849,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg",NA,"T19","Fourth row age group [Dropdown]","[{'V / 5': 3}]"
58642849,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg",NA,"T25","5th row age group [Dropdown]","[{'VI / 6': 3}]"
58642850,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Gemini_GROW_50.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642850,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Gemini_GROW_50.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
58642850,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Gemini_GROW_50.jpeg",NA,"T13","Third row age group [Dropdown]","[{'IV / 4': 1, 'VI / 6': 2}]"
58642852,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Klondyke_GROW_18.jpeg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642852,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Klondyke_GROW_18.jpeg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642852,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Klondyke_GROW_18.jpeg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642852,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Klondyke_GROW_18.jpeg",NA,"T19","Fourth row age group [Dropdown]","[{'IV / 4': 3}]"
58642852,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Klondyke_GROW_18.jpeg",NA,"T25","5th row age group [Dropdown]","[{'V / 5': 2, 'VI / 6': 1}]"
58642853,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Townline_GROW_16.jpeg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642853,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Townline_GROW_16.jpeg",NA,"T7","Second row age group [Dropdown]","[{'IV / 4': 3}]"
58642853,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Townline_GROW_16.jpeg",NA,"T13","Third row age group [Dropdown]","[{'V / 5': 3}]"
58642853,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Townline_GROW_16.jpeg",NA,"T19","Fourth row age group [Dropdown]","[{'VI / 6': 3}]"
58642855,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StClair_StJohns_GROW_2.jpeg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642855,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StClair_StJohns_GROW_2.jpeg",NA,"T7","Second row age group [Dropdown]","[{'III / 3': 3}]"
