subject_id,task,date,review,date2,review2,date3,review3,date4,review4,date_new,column_name,url_front,url_back
82939722,T1,13,1,NA,NA,NA,NA,NA,NA,13,begin_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_014.jpg,NA
82939722,T3,May,1,NA,NA,NA,NA,NA,NA,May,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_014.jpg,NA
82939722,T4,24,1,NA,NA,NA,NA,NA,NA,24,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_014.jpg,NA
82939723,T5,1996,1,1992,1, None,1,NA,NA,1992,end_date_year,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_015.jpg,NA
82939723,T3,April,1, May,1,NA,NA,NA,NA,May,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_015.jpg,NA
82939723,T4,1,1,28,1,NA,NA,NA,NA,28,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_015.jpg,NA
82939724,T0,May,1, April,1,NA,NA,NA,NA,May,begin_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_016.jpg,NA
82939724,T1,15,1,1,1,NA,NA,NA,NA,15,begin_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_016.jpg,NA
82939724,T2,1991,1, None,1,1996,1,NA,NA,1991,begin_date_year,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_016.jpg,NA
82939724,T3,May,1,NA,NA,NA,NA,NA,NA,May,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_016.jpg,NA
82939724,T4,21,1,NA,NA,NA,NA,NA,NA,22,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Ionia_Woodard_GROW_016.jpg,NA
82939727,T1,14,1,1,1,10,1,NA,NA,14,begin_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Lapeer_Algoe_GROW_010.jpg,NA
82939727,T3,June,1,NA,NA,NA,NA,NA,NA,June,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Lapeer_Algoe_GROW_010.jpg,NA
82939727,T4,31,1,NA,NA,NA,NA,NA,NA,3,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Lapeer_Algoe_GROW_010.jpg,NA
82939730,T1,13,1,3,1,NA,NA,NA,NA,13,begin_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/VanBuren_Fourteen_GROW_5.jpeg,NA
82939731,T0,April,1, May,1,NA,NA,NA,NA,May,begin_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/VanBuren_Fourteen_GROW_7.jpeg,NA
82939731,T1,1,1,12,1,NA,NA,NA,NA,12,begin_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/VanBuren_Fourteen_GROW_7.jpeg,NA
82939731,T2,None,1,1996,1,1992,1,NA,NA,1992,begin_date_year,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/VanBuren_Fourteen_GROW_7.jpeg,NA
82939731,T3,May,1,NA,NA,NA,NA,NA,NA,May,end_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/VanBuren_Fourteen_GROW_7.jpeg,NA
82939731,T4,19,1,NA,NA,NA,NA,NA,NA,19,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/VanBuren_Fourteen_GROW_7.jpeg,NA
82941851,T0,March,1, August,1,NA,NA,NA,NA,August,begin_date_month,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_033.jpeg
82941852,T4,26,1,25,1,NA,NA,NA,NA,26,end_date_day,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_9.jpeg
