subject_id,review,review2,review3,review4,column_name,month1,month2,month3,month4,date,URL_front,URL_back,Comments
58642799,1,2,NA,NA,begin_date_day,1,14,NA,NA,14,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,,"*Date shows May 14, Ju 3, 1991"
58642799,1,2,NA,NA,begin_date_year,1996,1991,NA,NA,1991,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,,
58642799,1,1,NA,NA,end_date_month,June,April,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,,"*Date shows May 14, Ju 3, 1991"
58642799,1,1,NA,NA,end_date_day,3,1,NA,NA,3,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,,"*Date shows May 14, Ju 3, 1991"
58642799,1,1,NA,NA,end_date_year,1991,1996,NA,NA,1991,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,,
58642805,1,1,1,NA,end_date_month,Same as Begin Date (Month),June,July,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_013.jpg,,"*Date shows May 14, Ju 3, 1991"
58642853,1,1,NA,NA,begin_date_month,December,January,NA,NA,January,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Townline_GROW_16.jpeg,,*Date cut off - Looks like January but not sure
58642853,2,1,NA,NA,begin_date_day,24,3,NA,NA,24,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Townline_GROW_16.jpeg,,
58746050,1,1,NA,NA,end_date_month,May,April,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_007.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_006.jpeg,
58746050,1,1,NA,NA,end_date_day,31,27,NA,NA,31,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_007.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_006.jpeg,
58746054,2,1,NA,NA,begin_date_month,April,June,NA,NA,April,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_002.jpeg,
58746054,2,1,NA,NA,begin_date_day,26,1,NA,NA,26,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_002.jpeg,*Date shows 4/26-27/94
58746060,2,1,NA,NA,end_date_month,June,December,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg,
58746060,2,1,NA,NA,end_date_day,7,15,NA,NA,7,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_035.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_034.jpeg,
58746071,2,1,NA,NA,begin_date_month,May,November,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Reynolds_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Reynolds_GROW_004.jpeg,
58746084,2,1,NA,NA,begin_date_month,September,March,NA,NA,September,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_BigCedar_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_BigCedar_GROW_002.jpeg,
58746084,2,1,NA,NA,begin_date_day,27,7,NA,NA,27,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_BigCedar_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_BigCedar_GROW_002.jpeg,
58746098,2,1,NA,NA,end_date_month,September,October,NA,NA,October,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_009.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_008.jpeg,
58746098,2,1,NA,NA,end_date_day,25,9,NA,NA,9,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_009.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_008.jpeg,
58746102,1,1,2,NA,begin_date_year,1985,1884,1984,NA,1984,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Tuscola_Murphy_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Tuscola_Murphy_GROW_004.jpeg,
58746113,1,2,NA,NA,end_date_day,2,15,NA,NA,15,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Long_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Long_GROW_011.jpeg,"*Date shows as 10/1-2, 15/92"
58746116,2,1,NA,NA,begin_date_month,June,March,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_001.jpeg,
58746116,2,1,NA,NA,begin_date_day,6,29,NA,NA,6,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_001.jpeg,
58746116,2,1,NA,NA,begin_date_year,1990,1991,NA,NA,1990,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_001.jpeg,
58746117,2,1,NA,NA,begin_date_month,September,October,NA,NA,September,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_003.jpeg,
58746117,2,1,NA,NA,begin_date_day,29,13,NA,NA,29,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_003.jpeg,*Date shows as 09/29-30/92
58746117,1,1,1,NA,end_date_month,October,September,Same as Begin Date (Month),NA,October,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_003.jpeg,
58746117,1,1,1,NA,end_date_day,13,30,Same as Begin Date (Day),NA,13,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Palmer_GROW_003.jpeg,
58746124,1,2,1,NA,end_date_month,November,May,Same as Begin Date (Month),NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_023.jpeg,
58746124,1,2,1,NA,end_date_year,1961,Same as Begin Date (Year),1960,NA,1960,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Leidy_GROW_023.jpeg,
58746140,2,1,NA,NA,begin_date_year,1984,1884,NA,NA,1984,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,
58746183,1,2,NA,NA,begin_date_year,1908,1984,NA,NA,1984,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_054.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_053.jpeg,"*Date shows only 8 for the year but based on date on page 2, it should be 1984"
58746183,1,2,1,NA,end_date_year,1908,1984,Same as Begin Date (Year),NA,1984,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_054.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_053.jpeg,"*Date shows only 8 for the year but based on date on page 2, it should be 1984"
58746188,1,1,NA,NA,end_date_month,July,August,NA,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Red_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Red_GROW_001.jpeg,
58746218,1,1,2,NA,end_date_month,January,Same as Begin Date (Month),June,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_LittleBoot_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_LittleBoot_GROW_005.jpeg,
58746231,1,2,NA,NA,begin_date_year,1886,1986,NA,NA,1986,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_013.jpeg,
58746236,1,1,2,NA,end_date_year,1862,Same as Begin Date (Year),1962,NA,1962,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_226.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_225.jpeg,
58746239,1,1,1,NA,end_date_month,December,Same as Begin Date (Month),January,NA,January,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_212.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_211.jpeg,
58746239,1,1,1,NA,end_date_day,1,Same as Begin Date (Day),12,NA,12,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_212.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_211.jpeg,
58746239,1,1,1,NA,end_date_year,1867,Same as Begin Date (Year),1967,NA,1967,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_212.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_211.jpeg,
58746240,1,1,NA,NA,end_date_day,19,13,NA,NA,19,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_126.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_125.jpeg,*Date on the card is 5/28-30 & 6/19-13/80
58746241,2,1,NA,NA,end_date_day,13,30,NA,NA,13,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_124.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_123.jpeg,*Date on the card is 5/28-30 & 6/9-13/80
58746245,2,1,NA,NA,end_date_month,May,June,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_008.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_007.jpeg,
58746245,2,1,NA,NA,end_date_day,27,10,NA,NA,10,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_008.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_007.jpeg,
58746247,2,1,1,NA,end_date_year,Same as Begin Date (Year),1978,1878,NA,1978,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Herman_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Herman_GROW_013.jpeg,
58746249,1,1,NA,NA,end_date_month,June,May,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_009.jpeg,
58746249,1,1,NA,NA,end_date_day,10,27,NA,NA,10,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_009.jpeg,
58746293,1,2,NA,NA,begin_date_month,November,June,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Corner_GROW_158.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Corner_GROW_157.jpeg,
58746293,1,2,NA,NA,begin_date_day,12,11,NA,NA,11,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Corner_GROW_158.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Corner_GROW_157.jpeg,
58746352,2,1,NA,NA,begin_date_month,June,February,NA,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_084.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_083.jpeg,
58746352,2,1,NA,NA,begin_date_day,6,21,NA,NA,6,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_084.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_083.jpeg,
58746352,2,1,NA,NA,begin_date_year,1983,1984,NA,NA,1983,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_084.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_083.jpeg,
58746352,1,1,NA,NA,end_date_day,9,11,NA,NA,11,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_084.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_083.jpeg,
58746376,2,1,NA,NA,begin_date_year,1987,1887,NA,NA,1987,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_005.jpeg,
58746387,2,1,NA,NA,begin_date_day,10,7,NA,NA,10,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_015.jpeg,
58746410,2,1,1,NA,end_date_month,June,November,Same as Begin Date (Month),NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_138.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_137.jpeg,
58746411,2,2,NA,NA,end_date_month,April,January,NA,NA,April,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_126.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_125.jpeg,
58746411,2,2,NA,NA,end_date_year,1974,1975,NA,NA,1974,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_126.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_125.jpeg,
58746415,2,2,NA,NA,begin_date_month,May,March,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_110.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_109.jpeg,
58746415,2,2,NA,NA,begin_date_year,1976,1977,NA,NA,1976,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_110.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Grand_GROW_109.jpeg,
58746427,2,1,NA,NA,begin_date_year,1978,1878,NA,NA,1978,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Ferdleman_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Ferdleman_GROW_021.jpeg,
58746429,2,2,NA,NA,begin_date_year,1976,1978,NA,NA,1978,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Ferdleman_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Ferdleman_GROW_011.jpeg,*Year is not very legible but looks like 1978 and back side of card was reviewed in 1979
58746432,2,1,1,NA,end_date_month,June,Same as Begin Date (Month),July,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_086.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_085.jpeg,
58746447,1,1,NA,NA,end_date_month,March,April,NA,NA,March,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_BearDen_GROW_042.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_BearDen_GROW_041.jpeg,
58746447,1,1,NA,NA,end_date_day,3,27,NA,NA,3,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_BearDen_GROW_042.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_BearDen_GROW_041.jpeg,
58746484,1,2,NA,NA,begin_date_month,March,May,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_021.jpeg,
58746484,1,2,NA,NA,begin_date_day,12,28,NA,NA,28,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_021.jpeg,
58746484,1,2,NA,NA,begin_date_year,1981,1980,NA,NA,1980,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_021.jpeg,
58746484,1,1,1,NA,end_date_month,March,May,Same as Begin Date (Month),NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_021.jpeg,
58746484,1,2,NA,NA,end_date_day,12,30,NA,NA,30,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_021.jpeg,
58746484,1,1,1,NA,end_date_year,1981,1980,1860,NA,1980,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_TwentySeven_GROW_021.jpeg,
58746502,2,1,NA,NA,begin_date_month,February,March,NA,NA,February,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_124.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_123.jpeg,
58746502,2,1,NA,NA,begin_date_day,8,13,NA,NA,8,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_124.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_123.jpeg,
58746508,2,1,NA,NA,end_date_day,20,29,NA,NA,29,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_068.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_067.jpeg,
58746512,2,1,NA,NA,begin_date_month,May,January,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_058.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_057.jpeg,
58746512,2,1,NA,NA,begin_date_day,9,5,NA,NA,9,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_058.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_057.jpeg,
58746512,2,1,NA,NA,begin_date_year,1978,1979,NA,NA,1978,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_058.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_057.jpeg,
58746521,2,2,NA,NA,begin_date_month,November,May,NA,NA,,,,
58746521,2,2,NA,NA,begin_date_day,7,30,NA,NA,,,,
58746528,2,2,NA,NA,begin_date_month,January,July,NA,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Opal_GROW_015.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Opal_GROW_0100.jpeg,
58746528,2,2,NA,NA,begin_date_day,20,17,NA,NA,17,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Opal_GROW_015.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Opal_GROW_0100.jpeg,
