subject_id,URL 4,URL 8,task,Full Task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T75,13th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T76,13th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T80,14th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T81,14th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T82,14th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T86,15th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T87,15th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T88,15th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T92,16th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T93,16th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T94,16th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T98,17th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T99,17th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T100,17th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T104,18th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T105,18th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T106,18th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T110,19th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T111,19th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T112,19th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T116,20th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T117,20th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T118,20th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T122,21st row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T123,21st row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T124,21st row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T2,First row Number of Fish [Text],"[['2', '2', '2']]",3.0,3.0,2,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T3,First row Length Range [Text],"[['10.4-11.1', '10.4-11.1', '10.4-11.1']]",3.0,3.0,10.4-11.1,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T4,First row Mean Length [Text],"[['10.8', '10.0', '10.8']]",3.0,2.0,10.8,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T8,Second row Number of Fish [Text],"[['4', '4', '4']]",3.0,3.0,4,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T9,Second row Length Range [Text],"[['13.7-16.2', '13.7-16.2', '13.7-16.2']]",3.0,3.0,13.7-16.2,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T10,Second row Mean Length [Text],"[['14.8', '14.8', '14.8']]",3.0,3.0,14.8,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T14,Third row Number of Fish [Text],"[['3', '3', '3']]",3.0,3.0,3,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T15,Third row Length Range [Text],"[['17.0-18.0', '17.0-18.0', '17.0-18.0']]",3.0,3.0,17.0-18.0,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T16,Third row Mean Length [Text],"[['17.5', '17.5', '17.5']]",3.0,3.0,17.5,"[False, False, False]","[2404094, 1484814, 1691537]"
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T20,Fourth row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T21,Fourth row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T22,Fourth row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T26,5th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T27,5th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T28,5th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T32,6th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T33,6th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T34,6th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T38,7th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T39,7th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T40,7th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T44,8th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T45,8th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T46,8th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T50,9th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T51,9th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T52,9th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T56,10th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T57,10th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T58,10th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T62,11th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T63,11th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T64,11th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T68,12th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T69,12th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T70,12th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T74,13th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T75,13th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T76,13th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T80,14th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T81,14th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T82,14th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T86,15th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T87,15th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T88,15th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T92,16th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T93,16th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T94,16th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T98,17th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T99,17th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T100,17th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T104,18th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T105,18th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T106,18th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T110,19th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T111,19th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T112,19th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T116,20th row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T117,20th row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T118,20th row Mean Length [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T122,21st row Number of Fish [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T123,21st row Length Range [Text],,,,,,
58642620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg,,T124,21st row Mean Length [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T2,First row Number of Fish [Text],"[['11', '11', '11']]",3.0,3.0,11,"[False, False, False]","[1325481, 2017299, 2404094]"
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T3,First row Length Range [Text],"[['14.0-21.5', '14.0-21.5', '14.0-21.5']]",3.0,3.0,14.0-21.5,"[False, False, False]","[1325481, 2017299, 2404094]"
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T4,First row Mean Length [Text],"[['17.0', '17.0', '17.0']]",3.0,3.0,17.0,"[False, False, False]","[1325481, 2017299, 2404094]"
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T8,Second row Number of Fish [Text],"[['2', '2', '2']]",3.0,3.0,2,"[False, False, False]","[1325481, 2017299, 2404094]"
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T9,Second row Length Range [Text],"[['23.3-25.0', '23.3-25.0', '23.3-25.0']]",3.0,3.0,23.3-25.0,"[False, False, False]","[1325481, 2017299, 2404094]"
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T10,Second row Mean Length [Text],"[['24.2', '24.2', '24.2']]",3.0,3.0,24.2,"[False, False, False]","[1325481, 2017299, 2404094]"
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T14,Third row Number of Fish [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T15,Third row Length Range [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T16,Third row Mean Length [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T20,Fourth row Number of Fish [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T21,Fourth row Length Range [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T22,Fourth row Mean Length [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T26,5th row Number of Fish [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T27,5th row Length Range [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T28,5th row Mean Length [Text],,,,,,
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T32,6th row Number of Fish [Text],,,,,,
