subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,type,column_name,URL_front,URL_back
59962300,T4,"[['9.3', '', '9.3'], ['', '9.3(4.3)', '(4.3)']]",3,1.5,9.3 9.3(4.3),9.3,Text,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_2.jpeg
59962300,T10,"[['15.2', '', '15.2'], ['', '15.2(27.2)', '(27.2)']]",3,1.5,15.2 15.2(27.2),15.2,Text,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_2.jpeg
59962300,T16,"[['16.6', '16.6(30)', '16.6'], ['', '', '(30)']]",3,1.5,16.6 (30),16.6,Text,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_2.jpeg
59962300,T21,[['--']],1,1,--,NA,Text,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_ANNA_GROW_0001_2.jpeg
59962934,T9,"[['15.2-11.6', '15.2-16.9']]",2,1,15.2-11.6,15.2 - 16.9,Text,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_LeelanauSouth_GROW_151.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_LeelanauSouth_GROW_152.jpg
59963064,T3,"[['--', '-']]",2,1,--,NA,Text,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Luce_BelleI_FISHs_043.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Luce_BelleI_FISHs_044.jpg
59963323,T4,"[['18.4', '8.2', '18.4'], ['', '', '(3#)']]",3,1.5,18.4 (3#),18.4,Text,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Mackinac_PointPatterson_GROW_001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Mackinac_PointPatterson_GROW_002.jpg
59963372,T4,"[['20.8', '20.8', ''], ['(4.3)', '', '20.8(4.3)']]",3,1.5,20.8 (4.3),20.8,Text,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_GreenwoodReservoir_GROW_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_GreenwoodReservoir_GROW_013.jpg
59963403,T8,[['1']],1,1,1,NA,Text,Second row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_TroutBig_GROW_060.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_TroutBig_GROW_061.jpg
59963403,T10,[['11.9']],1,1,11.9,NA,Text,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_TroutBig_GROW_060.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_TroutBig_GROW_061.jpg
59963922,T4,[['22.0']],1,1,22,NA,Text,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/NEWAYGO_CRYSTAL_GROW_0005_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/NEWAYGO_CRYSTAL_GROW_0005_2.jpeg
59964431,T3,[['...']],1,1,...,NA,Text,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_GEORGE_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_GEORGE_GROW_0001_2.jpeg
59964433,T3,[['...']],1,1,...,NA,Text,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_GEORGE_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_GEORGE_GROW_0002_2.jpeg
59964433,T9,[['...']],1,1,...,NA,Text,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_GEORGE_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/OGEMAW_GEORGE_GROW_0002_2.jpeg
61362066,T3,[['-']],1,1,-,NA,Text,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/MONTCALM_NEVINS_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/MONTCALM_NEVINS_GROW_0002_2.jpeg
