card_name,age_group,number_of_fish,length_range,mean_length,comments
KALKASKA_LOG_GROW_028,6,2,5.4 - 7.8,6.6,
KALKASKA_PERCH_GROW_008,1,3,2.0 - 2.5,2.2,
KALKASKA_PERCH_GROW_008,2,10,3.4 - 3.9,3.6,
KALKASKA_PERCH_GROW_008,3,10,4.0 - 4.9,4.6,
KALKASKA_PERCH_GROW_008,4,8,5.0 - 5.9,5.3,
KALKASKA_PERCH_GROW_010,1,12,1.9 - 3.2,2.6,
KALKASKA_PERCH_GROW_010,2,15,3.2 - 5.0,4,
KALKASKA_PERCH_GROW_011,3,11,4.7 - 6.3 ,5.4,
KALKASKA_PERCH_GROW_011,4,7,5.4 - 6.8,6,
KALKASKA_PERCH_GROW_011,5,3,6.0 - 6.7,6.4,
KENT_LINCOLN_GROW_073,3,1,3.7,NA,
KENT_LONG_GROW_060,3,1,5.4,5.4,
KENT_LONG_GROW_060,5,1,8,8,
KENT_PINEISLANDBIG_GROW_097,3,2,5,5,
KENT_PINEISLANDBIG_GROW_097,4,2,5.2 - 7.6,6.4,
KENT_PINEISLANDBIG_GROW_097,5,13,5.3 - 7.0,6.1,
KENT_PINEISLANDBIG_GROW_097,6,5,5.7 - 7.4,6.5,
LAKE_IDLEWILD_GROW_053,3,1,4.2,4.2,
LAKE_PARADISE_GROW_018,4,4,4.0 - 5.3,4.6,
LAKE_PARADISE_GROW_018,5,2,4.3 - 5.4,4.9,
LAPEER_PERO_FISHC_024,3,1,NA,5.1,
LAPEER_TWINS_FISHC_007,3,2,4.3 - 6.3,4.9,
LEELANAU_LIME_GROW_062,4,1,4.5,4.5,
LIVINGSTON_SILVER_GROW_028,2,4,1.8 - 4.1,3.5,
MARQUETTE_BASS45N_26W_S29_GROW_020,1,1,4.1,4.1,
MASON_FORD_GROW_045,3,2,4.0 - 4.1,4,
MASON_FORD_GROW_045,4,3,4.4 - 5.2,4.7,
MASON_FORD_GROW_045,5,1,NA,5.4,
MECOSTA_MECOSTA_GROW_108,3,4,4.5 - 5.7,5.2,
MECOSTA_MECOSTA_GROW_112,7,1,7.1,NA,
MONTCALM_HALFMOON_GROW_0001_1,4,1,5.7,NA,
MONTCALM_HALFMOON_GROW_0001_1,5,2,6.0 - 6.6,6.3,
MONTCALM_HALFMOON_GROW_0001_1,7,1,7.6,NA,
NEWAYGO_BAPTIST_GROW_0001_1,6,1,5.6,5.6,
NEWAYGO_BUB_GROW_0001,3,1,NA,5,
NEWAYGO_BUB_GROW_0001,4,2,5.7 - 6.6,6.2,
NEWAYGO_CONDON_GROW_0003_1,3,1,4.6 - 6.7,5.4,potential typo on card; range provided for one fish
NEWAYGO_CONDON_GROW_0003_1,4,3,5.2,5.2,
NEWAYGO_CONDON_GROW_0004_1,3,7,3.0 - 5.0,3.2,
NEWAYGO_CONDON_GROW_0004_1,4,12,4.5 - 6.7,4.6,
NEWAYGO_CONDON_GROW_0004_1,5,6,4.2 - 7.5,4.3,
NEWAYGO_ROBINSON_GROW_0002_2,2,1,5.2,5.2,
NEWAYGO_ROBINSON_GROW_0002_2,4,1,6.1,6.1,
NEWAYGO_ROBINSON_GROW_0003_2,2,1,3.8,3.8,
NEWAYGO_ROBINSON_GROW_0003_2,3,1,6.4,6.4,
NEWAYGO_ROBINSON_GROW_0003_2,5,1,6.7,6.7,
NEWAYGO_ROBINSON_GROW_0003_2,8,1,8,8,
NEWAYGO_SAWKAW_GROW_0001_1,2,4,3.3 - 4.8,4,
NEWAYGO_SAWKAW_GROW_0001_1,3,14,3.5 - 5.6,4.7,
NEWAYGO_SAWKAW_GROW_0001_1,4,6,5.1 - 5.7,5.3,
NEWAYGO_SAWKAW_GROW_0001_1,5,3,5.1 - 6.2,5.5,
NEWAYGO_SAWKAW_GROW_0001_1,6,1,6.5,6.5,
NEWAYGO_SAWKAW_GROW_0002_1,3,2,4.3 - 5.5,4.9,
NEWAYGO_SAWKAW_GROW_0002_1,4,2,5.4 - 5.5,5.4,
NEWAYGO_SIS_GROW_0001,3,1,NA,6.1,
NEWAYGO_SIS_GROW_0001,5,1,NA,7.3,
OCEANA_HIGHTOWER_GROW_0002_1,3,1,6.8,6.8,
OCEANA_HIGHTOWER_GROW_0002_1,5,1,6.5,6.5,
OCEANA_LITTLECAMPBELL_GROW_0001_1,7,1,5.2,5.2,
OCEANA_MCLAREN_GROW_0001_3,2,1,4.2,4.2,
OCEANA_MCLAREN_GROW_0001_3,3,1,4.8,4.8,
OCEANA_MCLAREN_GROW_0001_3,4,2,5.8 - 6.0,5.9,
OGEMAW_BUSH_GROW_0002_2,1,3,3.0 - 3.2,3.1,
OGEMAW_LAKEGEORGE_GROW_0003_1,3,1,5.5,5.5,
OSCEOLA_SUNRISE_GROW_0001_1,3,1,4.2,4.2,
OSCODA_PERRY_GROW_0002_2,2,1,5.3,5.3,
OSCODA_SMITH_GROW_0005_2,3,1,3.5,3.5,
OSCODA_SMITH_GROW_0005_2,4,2,4.0 - 4.2,4.1,
OSCODA_SMITH_GROW_0006_2,6,1,6.3,6.3,
OSCODA_SMITH_GROW_0007_1,2,4,3.3 - 4.1,3.7,
OSCODA_SMITH_GROW_0007_1,4,2,4.7 - 5.0,4.8,
OSCODA_SMITH_GROW_0007_1,5,1,5.1,5.1,
OSCODA_SMITH_GROW_0007_1,6,1,6.2,6.2,
OTSEGO_DIXON_GROW_036,1,7,2.7 - 3.8,3.2,
OTSEGO_DIXON_GROW_036,2,5,3.6 - 4.6,3.9,
OTSEGO_DIXON_GROW_036,4,4,5.5 - 6.1,5.6,
OTSEGO_DOUGLAS_GROW_021,3,1,4.7,4.7,
ROSCOMMON_DUNHAM_GROW_004,2,6,4.3 - 6.7 ,5,
ROSCOMMON_DUNHAM_GROW_004,3,1,NA,6.9,
ROSCOMMON_DUNHAM_GROW_004,4,3,6.9 - 7.8,7.5,
