card_name,age_group,number_of_fish,length_range,mean_length,comments
Kalkaska_GuernseyBig_GROW_071,4,6,5.1-6.0,5.6,
Kalkaska_GuernseyBig_GROW_071,5,2,6.3-6.4,6.4,
Kent_Bass_GROW_066,4,1,,188,mm
Kent_Bass_GROW_066,7,1,,218,
Kent_Long_GROW_031,5,3,4.4-4.8,4.6,
Kent_Long_GROW_031,6,4,5.2-5.6,5.4,
Kent_Long_GROW_031,8,1,6.1,,
Kent_Pine_GROW_023,3,1,,4.5,
Kent_Pine_GROW_023,4,1,,5.6,
Livingston_Teahan_GROW_004,1,1,,4.7,
Livingston_Teahan_GROW_004,2,19,4.0-5.7,4.8,
Livingston_Teahan_GROW_004,3,2,5.0-6.2,5.6,
Luce_Pike_FISHs_025,2,1,4.7,4.7,
Luce_Pike_FISHs_025,5,3,6.5-6.7,6.6,
Luce_Pike_FISHs_025,6,2,7.2,7.2,
Luce_Pike_FISHs_025,7,1,7.8,7.8,
Mackinac_Brevort_GROW_364,2,3,4.6-5.0,4.9,
Marquette_ShagBig_GROW_022,3,2,6.7-6.9,6.8,
Marquette_ShagBig_GROW_022,4,9,6.8-7.8,7.2,
Marquette_ShagBig_GROW_022,5,2,7.7-7.8,7.8,
MONTCALM_CLIFFORDT11N7WS3031_GROW_0004_1,2,2,5.0-5.6,5.3,
MONTCALM_CLIFFORDT11N7WS3031_GROW_0004_1,3,1,5.7,5.7,
MONTCALM_CLIFFORDT11N7WS3031_GROW_0004_1,4,1,6.2,6.2,
MONTCALM_COWDEN_GROW_0003_2,3,1,6.6,6.6,
MONTCALM_COWDEN_GROW_0003_2,4,1,8.2,8.2,
MONTCALM_COWDEN_GROW_0005_1,3,3,4.7-5.6,5.2,
MONTCALM_COWDEN_GROW_0005_1,4,1,6.3,6.3,
MONTCALM_COWDEN_GROW_0009_1,5,2,6.9-7.1,7,
MONTCALM_COWDEN_GROW_0009_1,6,1,7.9,7.9,
MONTCALM_COWDEN_GROW_0009_1,7,2,7,7,
MONTCALM_RAINBOW_GROW_0003_1,3,3,4.5-5.0,5,
MONTCALM_RAINBOW_GROW_0003_1,4,3,6.3-7.1,6.7,
MONTCALM_RAINBOW_GROW_0003_1,5,1,7.1,7.1,
MONTCALM_RAINBOW_GROW_0003_1,6,1,9,9,
MONTCALM_RAINBOW_GROW_0003_1,8,1,8.3,8.3,
OGEMAW_LAKEGEORGE_GROW_0010_2,3,4,6.2-6.5,6.3,
Otsego_Dixon_GROW_036,1,15,1.8-3.5,2.9,
Otsego_Dixon_GROW_036,3,1,5.2,5.2,
Otsego_Dixon_GROW_036,4,2,5.7-6.0,5.9,
Otsego_Dixon_GROW_036,5,1,6.6,6.6,
Otsego_Round_GROW_010,2,9,6.4-7.7,7,
Ottawa_Crockery_70-164_1977_GROW_001_01,4,1,6.7,6.7,duplicate - remove this one with weird naming convention? 
Ottawa_Crockery_70-164_1977_GROW_001_01,5,2,6.8,6.8,duplicate - remove this one with weird naming convention? 
Ottawa_Crockery_GROW_34,4,1,6.7,6.7,duplicate 
Ottawa_Crockery_GROW_34,5,2,6.8,6.8,duplicate 
Schoolcraft_Ross_GROW_080,0,1,2.4,2.4,
VanBuren_Round_GROW_028,2,11,4.3-5.7,4.99,
VanBuren_Round_GROW_028,3,38,4.4-7.4,6.48,
VanBuren_Round_GROW_028,4,30,4.4-7.8,6.15,
VanBuren_Round_GROW_028,5,1,7.3,7.3,
Washtenaw_Barton_GROW_20200203132921652_0006,1,1,2.2,2.2,
WASHTENAW_SALINEMILLS_GROW_0001_1,1,1,4.4,4.4,
WASHTENAW_SALINEMILLS_GROW_0001_1,2,2,5.2,5.2,
WASHTENAW_SALINEMILLS_GROW_0001_1,3,4,6.5-7.2,7,
WASHTENAW_SALINEMILLS_GROW_0001_1,4,1,6.8,6.8,
