"subject_id","task","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text"
58642440,"T11","[['Jar', 'Jar'], ['23', '#23'], ['in', 'in'], ['part', 'part']]",2,1.75,"Jar 23 in part"
58642440,"T12","[['Lamprey', 'Lamprey', 'Lamprey', 'Lamprey'], ['attached', 'attached', 'attached', 'attached'], ['to', 'to', 'to', 'to'], ['', '48', '4#8', '4#'], ['8', '', '', '8'], ['oz.', 'oz.', 'oz.', 'oz.'], ['rainbow', 'rainbow', 'rainbow', 'rainbow'], ['trout', 'trout', 'trout', 'trout']]",4,3.375,"Lamprey attached to 48 8 oz. rainbow trout"
58642441,"T5","[['125""', ""125'"", '125', ""125'""], ['', '', 'feet', '']]",4,1.5,"125' feet"
58642441,"T7","[['Entire', 'Entire', 'Entire', 'entire'], ['part', 'part', 'part', 'part'], ['of', 'of', 'of', 'of'], ['mid-lake', 'mid-lake', 'mid-lake', 'mid-lake']]",4,3.75,"Entire part of mid-lake"
58642441,"T8","[['unknown', 'unknown', 'unknown', 'unknown']]",4,4,"unknown"
58642441,"T9","[['varied', 'varied', 'varied', 'varied'], ['with', 'with', 'with', 'with'], ['net', 'net', 'set', 'set']]",4,3.33333333333333,"varied with net"
58642441,"T10","[['Entire', 'Entire', 'Entire', 'entire'], ['Lake', 'lake', 'lake', 'lake'], ['for', 'for', 'for', 'for'], ['Overnight', 'overnight', 'overnight', 'overnight'], ['period', 'period', 'period', 'period']]",4,3.4,"Entire lake for overnight period"
58642441,"T11","[['none']]",1,1,"none"
58642441,"T12","[['None']]",1,1,"None"
58642441,"T18","[['3', '3', '3', '3'], ['experimental', 'experimental', 'experimental', 'experimental'], ['gill', 'gill', 'gill', 'gill'], ['nets', 'nets', 'nets', 'nets']]",4,4,"3 experimental gill nets"
58642441,"T19","[['5', '5', '5', '5'], ['sizes', 'sizes', 'sizes', 'sizes']]",4,4,"5 sizes"
58642442,"T5","[['30', '30', '30', ""30'""], ['feet', 'feet', 'feet', '']]",4,3,"30 feet"
58642442,"T7","[['two', 'Two', 'Two', 'two'], [""100'"", ""100'"", ""100'"", ""100'""], ['sweeps,', 'sweeps,', 'sweeps,', 'sweeps,'], ['one', 'one', 'one', 'one'], [""200'"", ""200'"", ""200'"", ""200'""], ['sweep', 'sweep', 'sweep', 'sweep']]",4,3.66666666666667,"two 100' sweeps, one 200' sweep"
58642442,"T8","[['79', '79F', '79F', '79'], ['F', '', '', 'F']]",4,2,"79 F"
58642442,"T9","[['0-3', '0-3', '0-3', ""0-3'""], ['ft', 'ft', 'ft', '']]",4,3,"0-3 ft"
58642442,"T10","[['east', 'East', 'East', 'East'], ['end', 'end', 'end', 'end'], ['of', 'of', 'of', 'of'], ['lake', 'lake.', 'lake', 'lake']]",4,3.5,"East end of lake"
58642442,"T11","[['5', '5', '5', '5']]",4,4,"5"
58642442,"T12","[['fish', 'Fish', 'Fish', 'Fish'], ['sample', 'sample', 'sample', 'sample'], ['preserved', 'preserved', 'preserved', 'preserved'], ['for', 'for', 'for', 'for'], ['future', 'future', 'future', 'future'], ['identification.', 'identification.', 'identification.', 'identification.'], ['(Apparently', '(Apparently', '(Apparently', '(Apparently'], ['lost', 'lost', 'lost', 'lost'], ['in', 'in', 'in', 'in'], ['transit.', 'transit.', 'transit', 'transit.'], ['C.M.T.)', 'C.M.T.)', 'C.M.T.)', 'C.M.T.)']]",4,3.81818181818182,"Fish sample preserved for future identification. (Apparently lost in transit. C.M.T.)"
58642442,"T17","[['', '7', '7', '7:00'], ['7pm', 'P.M.', 'P.M.', 'pm']]",4,2,"7 P.M."
58642442,"T18","[['common', 'common', 'common', 'common'], ['minnow', 'minnow', 'minnow', 'minnow'], ['seine', 'seine', 'seine', 'seine']]",4,4,"common minnow seine"
58642442,"T19","[['6', '6', '6', '6'], ['per', 'per', 'per', 'per'], ['inch', 'inch', 'inch', 'inch']]",4,4,"6 per inch"
58642443,"T5","[['30', '30', '30', ""30'""], ['feet', 'feet', 'feet', '']]",4,3,"30 feet"
58642443,"T7","[['3000', '3000', '3000', '3000'], ['sq.', 'sq.', 'sq.', 'square'], ['feet', 'feet', 'feet', 'feet']]",4,3.66666666666667,"3000 sq. feet"
58642443,"T8","[['64', '64', '64', '64'], ['degree', '', '', ''], ['F', 'F', 'F', 'F']]",4,3,"64 degree F"
58642443,"T9","[['1', '1', '1', ""1-3'""], ['to', 'to', 'to', ''], ['3', '3', '3', ''], ['feet', 'feet', 'feet', '']]",4,3,"1 to 3 feet"
58642443,"T10","[['Along', 'Along', 'Along', 'Along'], ['north', 'north', 'north', 'north'], ['and', 'and', 'and', 'and'], ['east', 'east', 'east', 'east'], ['shores', 'shore', 'shores', 'shores']]",4,3.8,"Along north and east shores"
58642443,"T12","[['No', 'No', 'No', 'No'], ['fish', 'fish', 'fish', 'fish'], ['taken', 'taken', 'taken', 'taken'], ['in', 'in', 'in', 'in'], ['seining', 'seining', 'seining', 'seining.']]",4,3.8,"No fish taken in seining"
58642443,"T17","[['11:00', '11:00', '11:00', '11:00'], ['A.M.', 'a.m.', 'A.M.', 'am'], ['to', 'to', 'to', '-'], ['1:30', '1:30', '1:30', '1:30'], ['P.M', 'p.m', 'P.M.', 'pm']]",4,2.8,"11:00 A.M. to 1:30 P.M"
58642443,"T18","[['bag', 'bag', 'bag', 'bag'], ['seine', 'seine', 'seine', 'seine']]",4,4,"bag seine"
58642443,"T19","[['1/4', '1/4', '1/4', '1/4""'], ['inch', 'inch', 'inch', '']]",4,3,"1/4 inch"
58642444,"T12","[[""(cont'd)"", ""(cont'd)"", ""(cont'd)"", ""(cont'd)""], ['good', 'good', 'good', 'good'], ['now', 'now', 'now', 'now'], ['but', 'but', 'but', 'but'], ['could', 'could', 'could', 'could'], ['suffer', 'suffer', 'suffer', 'suffer'], ['setback.', 'setback.', 'setback', 'setback.'], ['Weeds', 'Weeds', 'Weeds', 'Weeds'], ['already', 'already', 'already', 'already'], ['problem', 'problem', 'problem', 'problem'], ['in', 'in', 'in', 'in'], ['lower', 'lower', 'lower', 'lower'], ['end.', 'end.', 'end.', 'end.'], ['Sand', 'Sand', 'San', 'Sand'], ['and', 'and', 'and', 'and'], ['rocks', 'rocks', 'rocks', 'rocks'], ['are', 'are', 'are', 'are'], ['developing', 'developing', 'developing', 'developing'], ['algae', 'algae', 'algae', 'algae'], ['on', 'on', 'on', 'on'], ['rest', 'rest', 'rest', 'rest'], ['of', 'of', 'of', 'of'], ['area.', 'area.', 'area.', 'area.']]",4,3.91304347826087,"(cont'd) good now but could suffer setback. Weeds already problem in lower end. Sand and rocks are developing algae on rest of area."
58642445,"T7","[['Distributed', 'Distributed', 'Distributed'], ['throughout', 'throughout', 'throughout'], ['lake.', 'lake.', 'lake.']]",3,3,"Distributed throughout lake."
58642445,"T11","[['LSI']]",1,1,"LSI"
58642445,"T12","[['No', 'No', 'No', 'No'], ['fish', 'fish', 'fish', 'fish'], ['taken', 'taken', 'taken', 'taken'], ['in', 'in', 'in', 'in'], ['5', '5', '5', ''], ['gill', 'gill', 'gill', 'gill'], ['nets', 'nets', 'nets', 'nets'], ['set', '', 'set', 'set'], ['for', 'for', 'for', 'for'], ['one', 'one', 'one', 'one'], ['overnight', 'overnight', 'overnight', 'overnight'], ['period.', 'period', 'period.', 'period.']]",4,3.75,"No fish taken in 5 gill nets set for one overnight period."
58642445,"T18","[['5', '5', '5', '5'], ['gill', 'gill', 'gill', 'gill'], ['nets', 'nets', 'nets', 'nets']]",4,4,"5 gill nets"
58642446,"T5","[['125', '125', '125', '125'], ['feet', 'feet', 'feet', 'feet'], ['each', 'each', 'each', 'each']]",4,4,"125 feet each"
58642446,"T7","[['One', 'One'], ['set', 'set'], ['of', 'of'], ['each', 'each'], ['net', 'net.']]",2,1.8,"One set of each net"
58642446,"T8","[['78', '78', '78', '78'], ['F', 'F', 'F', 'F']]",4,4,"78 F"
58642446,"T9","[[""3-10'"", ""3-10'"", ""3-10'"", ""3-10'.""]]",4,3,"3-10'"
58642446,"T10","[['Three', 'Three', 'Three', 'Three'], ['nets', 'nets', 'nets', 'nets'], ['set', 'set', 'set', 'set'], ['pretty', 'pretty', 'pretty', 'pretty'], ['well', 'well', 'well', 'well'], ['covered', 'covered', 'covered', 'covered'], ['lake,', 'lake,', 'lake,', 'lake,'], ['which', 'which', 'which', 'which'], ['is', 'is', 'is', 'is'], ['about', 'about', 'about', 'about'], ['two', 'two', 'two', 'two'], ['acres', 'acres', 'acres', 'acres'], ['in', 'in', 'in', 'in'], ['size.', 'size.', 'size.', 'size.']]",4,4,"Three nets set pretty well covered lake, which is about two acres in size."
58642446,"T12","[['Turtles,', 'Turtles,', 'Turtles,', 'Turtles,'], ['one', 'one', 'one', 'one'], ['grebe,', 'grebe', 'grebe,', 'grebe,'], ['and', 'and', 'and', 'and'], ['numerous', 'numerous', 'numerous', 'numerous'], ['frogs', 'frogs', 'frogs', 'frogs'], ['observed.', 'observed.', 'observed.', 'observed.'], ['No', 'No', 'No', 'No'], ['fish', 'fish', 'fish', 'fish'], ['taken.', 'taken.', 'taken.', 'taken.'], ['Lake', 'Lak', 'Lake', 'Lake'], ['probably', 'probably', 'probably', 'probably'], ['subject', 'subject', 'subject', 'subject'], ['to', 'to', 'to', 'to'], ['winterkill.', 'winterkill.', 'winterkill.', 'winterkill.'], ['Water', 'Water', 'Water', 'Water'], ['high', 'high', 'high', 'high'], ['in', 'in', 'in', 'in'], ['bog.', 'bog.', 'bog.', 'bog.']]",4,3.89473684210526,"Turtles, one grebe, and numerous frogs observed. No fish taken. Lake probably subject to winterkill. Water high in bog."
58642446,"T17","[['4:30', '4:30', '4:30', '4:30'], ['pm', 'p.m.', 'p.m.', 'p.m.'], ['-', '-', '-', '-'], ['9:30', '9:30', '9:30', '9:30'], ['am', 'a.m.', 'a.m.', 'a.m.']]",4,3.6,"4:30 p.m. - 9:30 a.m."
58642446,"T18","[['2', '2', '2', '2'], ['exper.', 'exper.', 'exp.', 'exper.'], ['gill', 'gill', 'gill', 'gill'], ['nets,', 'nets,', 'nets,', 'nets,'], ['and', 'and', 'and', 'and'], ['one', 'one', 'one', 'one'], ['1""', '1""', '1""', '1""'], ['bar', 'bar', 'bar', 'bar'], ['net', 'net.', 'net.', ''], ['', 'One', 'One', ''], ['', 'set', 'set', ''], ['', 'of', 'of', ''], ['', 'each', 'each', ''], ['', 'net.', 'net.', 'net.']]",4,3.14285714285714,"2 exper. gill nets, and one 1"" bar net. One set of each net."
58642447,"T5","[['125', '125', '125', '125'], ['feet', 'feet', 'feet', 'feet'], ['each', 'each', 'each', 'each']]",4,4,"125 feet each"
58642447,"T8","[['56', '56', '56', '56F'], ['F', 'F', 'F', '']]",4,3,"56 F"
58642447,"T9","[['3', '3', '3', '3'], ['to', 'to', 'to', 'to'], ['8', '8', '8', '8'], ['ft', 'ft', 'ft', 'ft']]",4,4,"3 to 8 ft"
58642447,"T10","[['Off', 'Off', 'Off', 'Off'], ['of', 'of', 'of', 'of'], ['south,', 'south,', 'south,', 'south,'], ['east', 'east', 'east', 'east'], ['and', 'and', 'and', 'end'], ['west', 'west', 'west', 'west'], ['shores', 'shores', 'shore', 'shores']]",4,3.71428571428571,"Off of south, east and west shores"
58642447,"T17","[['12', '12', '12', '12'], ['Noon', 'Noon', 'Noon', 'Noon'], ['to', 'to', 'to', 'to'], ['11:00', '11:00', '11:00', '11:00'], ['A.M.', 'A.M.', 'A.M.', 'A.M.']]",4,4,"12 Noon to 11:00 A.M."
58642447,"T18","[['3', '3', '3', '3'], ['gillnets', 'gillnets', 'gillnets', 'gillnets']]",4,4,"3 gillnets"
58642447,"T19","[['2', '2', '2', '2'], ['experimental,', 'experimental,', 'experimental,', 'experimental,'], ['1', '1', '1', ''], ['-', '-', '-', ''], ['11/2""', '1', '1/2""', '1-½""'], ['', '1/2', '', ''], ['', 'inch', '', ''], ['bar', 'bar', 'bar', 'bar']]",4,2.625,"2 experimental, 1 - 11/2"" 1/2 inch bar"
58642448,"T5","[['125', ""12'"", '125', '125'], ['feet', '', 'feet', 'feet'], ['', 'each', 'each', 'each']]",4,3,"125 feet each"
58642448,"T7","[['wooded,'], ['hardwood'], ['and'], ['hemlook']]",1,1,"wooded, hardwood and hemlook"
58642448,"T8","[['51', '51', '51', '51'], ['F', 'F', '', '']]",4,3,"51 F"
58642448,"T9","[['5-', ""5-38'"", '5', '5'], ['', '', 'to', 'to'], ['38', '', '38', '38'], ['ft', '', 'ft', 'ft']]",4,2.5,"5 to 38 ft"
58642448,"T10","[['Off', 'Off', 'Off', 'Off'], ['shore', 'shore', 'shore', 'shore'], ['of', 'of', 'of', 'of'], ['west', 'west', 'west', 'west'], ['end', 'end', 'end', 'end'], ['and', 'and', 'and', 'and'], ['points', 'points', 'points', 'points'], ['on', 'on', 'on', 'on'], ['north', 'orth', 'north', 'north'], ['and', 'and', 'and', 'and'], ['south', 'south', 'south', 'south'], ['side', 'side', 'side', 'side'], ['of', 'of', 'of', 'of'], ['west', 'west', 'west', 'west'], ['bay', 'bay.', 'bay.', 'bay.']]",4,3.86666666666667,"Off shore of west end and points on north and south side of west bay."
58642448,"T12","[['No', 'No', 'No'], ['fish', 'fish', 'fish'], ['taken.', 'taken.', 'taken.']]",3,3,"No fish taken."
58642448,"T17","[['10:30', '10:30', '10:30'], ['am', 'AM', 'AM']]",3,2.5,"10:30 AM"
58642448,"T18","[['3', '3', '3', '3'], ['gill', 'gill', 'gill', 'gill'], ['nets', 'nets', 'nets', 'nets']]",4,4,"3 gill nets"
58642448,"T19","[['experimental', 'experimental', 'experimental', 'experimental']]",4,4,"experimental"
58642449,"T5","[[""125'"", ""125'"", ""125'"", ""125'""]]",4,4,"125'"
58642449,"T8","[['70', '70', '70', '70'], ['F', 'F', 'F', 'F']]",4,4,"70 F"
58642449,"T9","[[""3'"", ""3'-5'"", ""3'"", ""3'""], ['-', '', '-', '-'], [""5'"", '', ""5'"", ""5'""]]",4,3,"3' - 5'"
58642449,"T10","[['west', 'west', 'west', 'west'], ['end', 'end', 'end', 'end'], ['of', 'of', 'of', 'of'], ['north', 'north', 'north', 'north'], ['shore', 'shore', 'shore', 'shore']]",4,4,"west end of north shore"
58642449,"T11","[['D-60-92', 'D-60-92', 'D-60-92', 'D-60-92']]",4,4,"D-60-92"
58642449,"T17","[['3', '', '', ''], ['pm', '3pm-9am', '3pm', '3pm'], ['-', '', '-', '-'], ['9', '', '9', '9'], ['am', '', 'am', 'am']]",4,2.4,"3 3pm - 9 am"
58642449,"T18","[['1', '1', '1', '1'], ['nylon', 'nylon', 'nylon', 'nylon'], ['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"1 nylon gill net"
58642449,"T19","[['Exp', 'Exp', 'Exp', 'Exp']]",4,4,"Exp"
58642450,"T5","[[""125'"", ""125'"", ""125'"", ""125'""]]",4,4,"125'"
58642450,"T8","[['70', '70', '70', '70'], ['F', 'F', 'F', 'F']]",4,4,"70 F"
58642450,"T9","[[""3'"", ""3'"", ""3'-5'"", ""3'""], ['-', '-', '', '-'], [""5'"", ""5'"", '', ""5'""]]",4,3,"3' - 5'"
58642450,"T10","[['middle', 'middle', 'middle', 'middle'], ['of', 'of', 'of', 'of'], ['south', 'south', 'south', 'south'], ['side', 'side', 'side', 'side'], ['of', 'of', 'of', 'of'], ['island', 'island', 'island', 'island']]",4,4,"middle of south side of island"
58642450,"T11","[['D-60-93', 'D-60-93', 'D-60-93', 'D-60-93']]",4,4,"D-60-93"
58642450,"T17","[['3', '3', '3', '3'], ['pm', 'pm', 'pm', 'pm'], ['-', '-', '-', '-'], ['9', '9', '9', '9'], ['am', 'am', 'am', 'am']]",4,4,"3 pm - 9 am"
58642450,"T18","[['1', '1', '1', '1'], ['nylon', 'nylon', 'nylon', 'nylon'], ['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"1 nylon gill net"
58642450,"T19","[['Exp', 'Exp', 'Exp', 'Exp']]",4,4,"Exp"
58642451,"T5","[[""125'"", ""125'"", ""125'"", ""125'""]]",4,4,"125'"
58642451,"T8","[['70', '70', '70', '70'], ['F', 'F', 'F', 'F']]",4,4,"70 F"
58642451,"T9","[[""3'"", ""3'"", ""3'"", ""3'""], ['-', '-', '-', '-'], ['4', '', '4', '4'], [""1/2'"", ""41/2'"", ""1/2'"", ""1/2'""]]",4,3.5,"3' - 4 1/2'"
58642451,"T10","[['middle', 'middle', 'middle', 'middle'], ['of', 'of', 'of', 'of'], ['north', 'north', 'north', 'north'], ['shore,', 'shore,', 'shore,', 'shore,'], ['off', 'off', 'off', 'off'], ['of', 'of', 'of', 'of'], ['island', 'island', 'island', 'island']]",4,4,"middle of north shore, off of island"
58642451,"T11","[['D-60-94', 'D-60-94', 'D-60-94', 'D-60-94']]",4,4,"D-60-94"
58642451,"T17","[['3', '3', '3', ''], ['pm', 'pm', 'pm', '3pm'], ['-', '-', '-', '-'], ['9', '9', '9', ''], ['am', 'am', 'am', '9am']]",4,3.2,"3 pm - 9 am"
58642451,"T18","[['1', '1', '1', '1'], ['nylon', 'nylon', 'nylon', 'nylon'], ['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"1 nylon gill net"
58642451,"T19","[['Exp', 'Exp', 'Exp', 'Exp']]",4,4,"Exp"
58642452,"T5","[[""125'"", ""125'"", ""125'"", ""125'""]]",4,4,"125'"
58642452,"T8","[['70', '70', '70', '70'], ['F', 'F', 'F', 'F']]",4,4,"70 F"
58642452,"T9","[[""3-9'"", ""3'"", ""3'"", ""3'""], ['', '-', '-', '-'], ['', ""9'"", ""9'"", ""9'""]]",4,3,"3' - 9'"
58642452,"T10","[['South', 'South', 'south', 'south'], ['shore', 'shore', 'shore', 'shore'], ['near', 'near', 'near', 'near'], ['west', 'west', 'west', 'west'], ['end', 'end', 'end', 'end'], ['of', 'of', 'of', 'of'], ['island', 'island', 'island', 'island']]",4,3.71428571428571,"South shore near west end of island"
58642452,"T11","[['D-60-97', 'D-60-97', 'D-60-97', 'D-60-97']]",4,4,"D-60-97"
58642452,"T17","[['3:00', '', '8', ''], ['pm', '3pm', 'pm', '3pm'], ['-', '-', '-', '-'], ['9:00', '', '', ''], ['am', '9am', '9am', '9am']]",4,2.2,"3:00 pm - 9:00 9am"
58642452,"T18","[['1', '1', '1', '1'], ['nylon', 'nylon', 'nylon', 'nylon'], ['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"1 nylon gill net"
58642452,"T19","[['experimental', 'Exp', 'Exp', 'Exp']]",4,3,"Exp"
58642453,"T5","[['125’', ""125'`"", ""125'"", ""125'""]]",4,2,"125'"
58642453,"T8","[['70', '70', '70', '70'], ['F', 'F', 'F', 'F']]",4,4,"70 F"
58642453,"T9","[['3’', ""3'"", ""3'"", ""3'-9'""], ['-', '-', '-', ''], ['9’', ""9'"", ""9'"", '']]",4,2.33333333333333,"3' - 9'"
58642453,"T10","[['off', 'off', 'off', 'off'], ['southeast', 'southeast', 'southeast', 'southeast'], ['shore', 'shore', 'shore', 'shore'], ['of', 'of', 'of', 'of'], ['island', 'island', 'island', 'island']]",4,4,"off southeast shore of island"
58642453,"T11","[['D-60-95', 'D-60-95', 'D-60-95', 'D-60-95']]",4,4,"D-60-95"
58642453,"T17","[['', '3', '3', '3'], ['3pm', 'pm', 'pm', 'pm'], ['-', '-', '-', '-'], ['9pm', '9', '9', '9'], ['', 'am', 'am', 'am']]",4,3.2,"3 pm - 9 am"
58642453,"T18","[['1', '1', '1', '1'], ['nylon', 'nylon', 'nylon', 'nylon'], ['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"1 nylon gill net"
58642453,"T19","[['Exp', 'Exp', 'Exp', 'Exp']]",4,4,"Exp"
58642454,"T5","[[""125'"", ""125'"", '125', ""125'""], ['', '', 'feet', '']]",4,2,"125' feet"
58642454,"T8","[['70', '70', '70', '70'], ['F', 'F', 'F', 'F']]",4,4,"70 F"
58642454,"T9","[[""3'-9'"", ""3'-9'"", '3', ""3'-9'""], ['', '', 'ft', ''], ['', '', '-', ''], ['', '', '9', ''], ['', '', 'ft', '']]",4,1.4,"3'-9' ft - 9 ft"
58642454,"T10","[['east', 'east', 'east', 'east'], ['end', 'end', 'end', 'end'], ['of', 'of', 'of', 'of'], ['south', 'south', 'south', 'south'], ['shore', 'shore', 'shore', 'shore']]",4,4,"east end of south shore"
58642454,"T11","[['D-60-96', 'D-60-96', 'D-60-96', 'D-60-96']]",4,4,"D-60-96"
58642454,"T17","[['3pm-9am', '3', '3', 'pm-9'], ['', 'pm', 'pm', ''], ['', '-', '-', ''], ['', '9', '9', ''], ['', 'am', 'am', 'am']]",4,2.2,"3 pm - 9 am"
58642454,"T18","[['1', '1', '1', '1'], ['nylon', 'nylon', 'nylon', 'nylon'], ['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"1 nylon gill net"
58642454,"T19","[['Exp', 'Exp', 'Exp', 'Exp']]",4,4,"Exp"
58642455,"T5","[[""125'"", ""125'"", ""125'"", ""125'""]]",4,4,"125'"
58642455,"T8","[['70', '59', '70', '70'], ['F', 'F', 'F', 'F']]",4,3.5,"70 F"
58642455,"T9","[[""3'"", ""3'"", ""3-9'"", ""3'""], ['-', '-', '', '-'], [""9'"", ""9'"", '', ""9'""]]",4,3,"3' - 9'"
58642455,"T10","[['South', 'south', 'South', 'south'], ['shore', 'shore', 'shore', 'shore'], ['near', 'near', 'near', 'near'], ['east', 'east', 'east', 'east'], ['end', 'end', 'end', 'end'], ['of', 'of', 'of', 'of'], ['island', 'island', 'island', 'island']]",4,3.71428571428571,"South shore near east end of island"
58642455,"T11","[['D-60-98', 'D-60-98', 'D-60-98', 'D-60-98']]",4,4,"D-60-98"
58642455,"T17","[['3', '3', '3:00', '3'], ['pm', 'pm', 'pm', 'pm'], ['-', '-', '-', '-'], ['9', '9', '9:00', '9'], ['sm', 'am', 'am', 'am']]",4,3.4,"3 pm - 9 am"
58642455,"T18","[['1', '1', '1', '1'], ['nylon', 'nylon', 'nylon', 'nylon'], ['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"1 nylon gill net"
58642455,"T19","[['Exp', 'Exp', 'experimental', 'Exp']]",4,3,"Exp"
58642457,"T5","[[""125'"", '125', '125', '125'], ['', 'feet', 'feet', 'feet']]",4,3,"125 feet"
58642457,"T8","[['72', '72', '72', '72'], ['F', 'F', 'F', 'F']]",4,4,"72 F"
58642457,"T9","[[""4-5'"", '4-5', '4-5', '4-5'], ['', 'feet', 'feet', 'feet']]",4,3,"4-5 feet"
58642457,"T10","[['Mid', 'Mid', 'Mid', 'Mid'], ['bay,', 'bay,', 'bay,', 'bay,'], ['1/3', '1/3', '1/3', '1/3'], ['way', 'way', 'way', 'way'], ['west', 'west', 'west', 'west'], ['of', 'of', 'of', 'of'], ['island', 'island', 'island,', 'island'], ['Station', 'Station', 'Station', ''], ['1', '1', '1', '']]",4,3.66666666666667,"Mid bay, 1/3 way west of island Station 1"
58642457,"T12","[['All', 'All', 'All', 'All'], ['fish', 'fish', 'fish', 'fish'], ['discarded', 'discarded', 'discarded', 'discarded']]",4,4,"All fish discarded"
58642457,"T18","[['gill', 'gill', 'gill', 'gill'], ['net', 'net', 'net', 'net']]",4,4,"gill net"
58642457,"T19","[['1.5', '1', '1', '1'], ['', '1/2-4', '1/2', '1/2'], ['-', '', '-', '-'], ['4""', '', '4', ''], ['', 'in', 'in', '4in']]",4,2.2,"1 1/2 - 4"" in"
58642458,"T5","[['125', '125', ""125'"", '125'], ['feet', 'feet', '', 'feet']]",4,3,"125 feet"
58642458,"T7","[['-']]",1,1,"-"
58642458,"T8","[['72F', '72', '72', '72'], ['', 'F', 'F', 'F']]",4,3,"72 F"
58642458,"T9","[['8-9', '8-9', ""8-9'"", '8-9'], ['ft', 'ft', '', 'ft']]",4,3,"8-9 ft"
