subject_id,workflow_id,task,reducer,data.aggregation_version,no_data, yellow_perch, largemouth_bass, bluntnose_minnow, iowa_darter, blacknose_shiner, golden_shiner, white_sucker, bullhead_not_specified,yes_data, none_listed, northern_pike, brook_trout, rock_bass, smallmouth_bass, bluegill, walleye, banded_killifish, common_carp, pumpkinseed, johnny_darter, common_shiner, blackchin_shiner, brown_trout, blacknose_minnow, cisco_herring_whitefish, black_crappie, lake_chubsucker, brown_bullhead, black_bullhead, rainbow_trout, brook_silverside, mimic_shiner, yellow_bullhead, bowfin_dogfish, longnose_gar, spotted_gar, grass_pickerel
58643109,17911,T25,question_reducer,3.4.5,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643110,17911,T12,question_reducer,3.4.5,,1,2,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
58643110,17911,T15,question_reducer,3.4.5,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643110,17911,T18,question_reducer,3.4.5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643110,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643110,17911,T25,question_reducer,3.4.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643111,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643111,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643111,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643111,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643111,17911,T25,question_reducer,3.4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643112,17911,T12,question_reducer,3.4.5,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
58643112,17911,T15,question_reducer,3.4.5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643112,17911,T18,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643112,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643112,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643113,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643113,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643113,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643113,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643113,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643114,17911,T12,question_reducer,3.4.5,,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
58643114,17911,T15,question_reducer,3.4.5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643114,17911,T18,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643114,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643114,17911,T25,question_reducer,3.4.5,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643117,17911,T12,question_reducer,3.4.5,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
58643117,17911,T15,question_reducer,3.4.5,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
58643117,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643117,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643117,17911,T25,question_reducer,3.4.5,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643118,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643118,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643118,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643118,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643118,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643119,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
58643119,17911,T15,question_reducer,3.4.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643119,17911,T18,question_reducer,3.4.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643119,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
58643119,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643122,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
58643122,17911,T15,question_reducer,3.4.5,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643122,17911,T18,question_reducer,3.4.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643122,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643122,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643123,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
58643123,17911,T15,question_reducer,3.4.5,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
58643123,17911,T18,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643123,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643123,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643124,17911,T12,question_reducer,3.4.5,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
58643124,17911,T15,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643124,17911,T18,question_reducer,3.4.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643124,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643124,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643126,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643126,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643126,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643126,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643126,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643128,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643128,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643128,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643128,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643128,17911,T25,question_reducer,3.4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643129,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
58643129,17911,T15,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643129,17911,T18,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643129,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643129,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643130,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643130,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643130,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643130,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643130,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643131,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
58643131,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643131,17911,T18,question_reducer,3.4.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643131,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643131,17911,T25,question_reducer,3.4.5,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643133,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643133,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643133,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643133,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643133,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643134,17911,T12,question_reducer,3.4.5,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
58643134,17911,T15,question_reducer,3.4.5,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
58643134,17911,T18,question_reducer,3.4.5,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643134,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643134,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643135,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643135,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643135,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643135,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643135,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643138,17911,T12,question_reducer,3.4.5,,2,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
58643138,17911,T15,question_reducer,3.4.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643138,17911,T18,question_reducer,3.4.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643138,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643138,17911,T25,question_reducer,3.4.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643140,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643140,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643140,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643140,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643140,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643141,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643141,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643141,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643141,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643141,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643142,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643142,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643142,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643142,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643142,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643143,17911,T12,question_reducer,3.4.5,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
58643143,17911,T15,question_reducer,3.4.5,,,,,,2,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
58643143,17911,T18,question_reducer,3.4.5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643143,17911,T21,question_reducer,3.4.5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643143,17911,T25,question_reducer,3.4.5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643145,17911,T12,question_reducer,3.4.5,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
58643145,17911,T15,question_reducer,3.4.5,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643145,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643145,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643145,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643146,17911,T12,question_reducer,3.4.5,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
58643146,17911,T15,question_reducer,3.4.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643146,17911,T18,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643146,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643146,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643147,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
58643147,17911,T15,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643147,17911,T18,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643147,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643147,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643149,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643149,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643149,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643149,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643149,17911,T25,question_reducer,3.4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643150,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643150,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643150,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643150,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643150,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643151,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643151,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643151,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643151,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643151,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643152,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
58643152,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643152,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643152,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643152,17911,T25,question_reducer,3.4.5,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643154,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643154,17911,T15,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643154,17911,T18,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643154,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643154,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643156,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643156,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643156,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643156,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643156,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643158,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643158,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643158,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643158,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643158,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643160,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
58643160,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
58643160,17911,T18,question_reducer,3.4.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643160,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643160,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643161,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643161,17911,T15,question_reducer,3.4.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643161,17911,T18,question_reducer,3.4.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643161,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643161,17911,T25,question_reducer,3.4.5,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643162,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643162,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643162,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643162,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643162,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643163,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643163,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643163,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643163,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
