subject_id,URL 4,URL 8,task,Full Task Text,data.value
58642820,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg,,T1,First row age group [Dropdown],[{'III / 3': 3}]
58642820,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg,,T7,Second row age group [Dropdown],[{'IV / 4': 3}]
58642848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_DutchFred_GROW_26.jpeg,,T1,First row age group [Dropdown],[{'0 / 0': 3}]
58642848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_DutchFred_GROW_26.jpeg,,T7,Second row age group [Dropdown],[{'I / 1': 3}]
58642848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_DutchFred_GROW_26.jpeg,,T13,Third row age group [Dropdown],[{'II / 2': 3}]
58746201,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_015.jpeg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58746201,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_015.jpeg,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58746201,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_015.jpeg,T13,Third row age group [Dropdown],[{'IV / 4': 3}]
58746202,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_013.jpeg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58746202,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_013.jpeg,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58746204,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_011.jpeg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58746204,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_011.jpeg,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58746204,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_011.jpeg,T13,Third row age group [Dropdown],[{'IV / 4': 3}]
58746204,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_011.jpeg,T19,Fourth row age group [Dropdown],"[{'V / 5': 2, 'VIII / 8': 1}]"
58746214,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_011.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746214,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_011.jpeg,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58746214,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_011.jpeg,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58746214,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_011.jpeg,T19,Fourth row age group [Dropdown],[{'IV / 4': 3}]
58746214,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Lost_GROW_011.jpeg,T25,5th row age group [Dropdown],"[{'VII / 7': 1, 'V / 5': 2}]"
58746226,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_015.jpeg,T1,First row age group [Dropdown],[{'0 / 0': 3}]
58746226,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_015.jpeg,T7,Second row age group [Dropdown],[{'I / 1': 3}]
58746226,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_015.jpeg,T13,Third row age group [Dropdown],"[{'II / 2': 1, 'I / 1': 2}]"
58746226,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_015.jpeg,T19,Fourth row age group [Dropdown],[{'II / 2': 2}]
58746226,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_015.jpeg,T25,5th row age group [Dropdown],[{'II / 2': 2}]
58746231,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_013.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746231,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_013.jpeg,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58746231,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_013.jpeg,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58746231,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_013.jpeg,T19,Fourth row age group [Dropdown],[{'IV / 4': 3}]
58746231,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_King_GROW_013.jpeg,T25,5th row age group [Dropdown],[{'V / 5': 3}]
58746277,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_036.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_035.jpeg,T1,First row age group [Dropdown],[{'III / 3': 3}]
58746278,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_052.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_051.jpeg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58746278,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_052.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_051.jpeg,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58746279,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_023.jpeg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58746279,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_023.jpeg,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58746279,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_023.jpeg,T13,Third row age group [Dropdown],[{'IV / 4': 3}]
58746279,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_DutchFred_GROW_023.jpeg,T19,Fourth row age group [Dropdown],"[{'IV / 4': 1, 'VI / 6': 2}]"
58746369,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Dunham_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Dunham_GROW_003.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746369,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Dunham_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Dunham_GROW_003.jpeg,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58746375,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_023.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746375,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_023.jpeg,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58746375,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_023.jpeg,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58746376,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_005.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746379,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Shoepac_GROW_003.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746497,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_024.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_023.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_011.jpeg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58746591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_011.jpeg,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58746591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_011.jpeg,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58753899,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix72_GROW.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix72p2_GROW.jpg,T1,First row age group [Dropdown],[{'III / 3': 3}]
58753908,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix92_GROW.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix92p2_GROW.jpg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58753924,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0002.jpg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58753924,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0002.jpg,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58753924,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0002.jpg,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58753934,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_051_GROW_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_051_GROW_0002.jpg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58753944,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_097.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_098.jpg,T1,First row age group [Dropdown],[{'III / 3': 3}]
58753944,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_097.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_098.jpg,T7,Second row age group [Dropdown],[{'IV / 4': 3}]
58753948,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_105.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_106.jpg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58753949,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_107.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Black_GROW_108.jpg,T1,First row age group [Dropdown],[{'IV / 4': 3}]
58753966,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_243.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_244.jpg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58753966,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_243.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_244.jpg,T7,Second row age group [Dropdown],[{'III / 3': 2}]
58753966,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_243.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_244.jpg,T13,Third row age group [Dropdown],[{'IV / 4': 2}]
58754014,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_011.jpg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58754014,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_011.jpg,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58754014,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_011.jpg,T13,Third row age group [Dropdown],[{'IV / 4': 3}]
58754014,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_011.jpg,T19,Fourth row age group [Dropdown],[{'V / 5': 3}]
58754016,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_013.jpg,T1,First row age group [Dropdown],[{'III / 3': 3}]
58754019,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Twins_GROW_025.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Twins_GROW_026.jpg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58754024,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Twins_GROW_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Twins_GROW_032.jpg,T1,First row age group [Dropdown],"[{'I / 1': 2, 'III / 3': 1}]"
58754034,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_036.jpg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58754034,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_036.jpg,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58754036,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_038.jpg,T1,First row age group [Dropdown],[{'II / 2': 3}]
58754037,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_071.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_072.jpg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58754038,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_073.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_074.jpg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T1,First row age group [Dropdown],[{'I / 1': 3}]
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T19,Fourth row age group [Dropdown],[{'V / 5': 3}]
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T25,5th row age group [Dropdown],"[{'IV / 4': 1, 'VI / 6': 2}]"
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T31,6th row age group [Dropdown],[{'I / 1': 1}]
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T37,7th row age group [Dropdown],[{'II / 2': 1}]
58754043,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Weber_GROW_076.jpg,T43,8th row age group [Dropdown],[{'III / 3': 1}]
