subject_id,URL 4,URL 8,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text
80048592,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_DUCK_GROW_0001_5.jpeg,,T,"[['47N', '47N', '47N']]",3.0,3.0,47N
80048592,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_DUCK_GROW_0001_5.jpeg,,R,"[['19W', '19W', '19W']]",3.0,3.0,19W
80048592,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_DUCK_GROW_0001_5.jpeg,,S,"[['11,14', '11,14', '11,14']]",3.0,3.0,"11,14"
80048592,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_DUCK_GROW_0001_5.jpeg,,Collector,"[['Ammerman,', 'Ammerman,', 'Ammerman,'], ['Stark,', 'Stark,', 'Stark,'], ['Reilly', 'Reilly', 'Reilly']]",3.0,3.0,"Ammerman, Stark, Reilly"
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,Other Dates,,,,
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,T,"[['47,', '47,', '47N,48N'], ['48N', '48N', '']]",3.0,2.0,"47, 48N"
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,R,"[['19W', '19W', '19W']]",3.0,3.0,19W
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,S,"[['3,', '3,', '3,'], ['34', '34', '34']]",3.0,3.0,"3, 34"
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,Collector,"[['Ammerman,', 'Ammerman,', 'Ammerman,'], ['Stark,', 'Stark,', 'Stark,'], ['Reilly', 'Reilly', 'Reilly']]",3.0,3.0,"Ammerman, Stark, Reilly"
80048594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_10.jpeg,,Other Dates,,,,
80048594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_10.jpeg,,T,"[['44N', '44N', '44N']]",3.0,3.0,44N
80048594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_10.jpeg,,R,"[['19W', '19W', '19W']]",3.0,3.0,19W
80048594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_10.jpeg,,S,"[['11,', '11,', '11,'], ['12', '12', '12']]",3.0,3.0,"11, 12"
80048594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_10.jpeg,,Collector,"[['V.', 'V.', 'M.'], ['St.', 'St.', ''], ['John', 'John', 'Ammerman']]",3.0,2.0,V. St. John
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,Other Dates,,,,
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,T,"[['44N', '44N', '44N']]",3.0,3.0,44N
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,R,"[['19W', '19W', '19W']]",3.0,3.0,19W
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,S,"[['11,', '11,', '11,'], ['12', '12', '12']]",3.0,3.0,"11, 12"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,Collector,"[['Ammerman,', 'Ammerman,', 'Ammerman,'], ['Reilly,', 'Stark,', 'Reilly,'], ['Stark', 'Reilly', 'Stark']]",3.0,2.3333333333333335,"Ammerman, Stark, Reilly"
80048596,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_9.jpeg,,Other Dates,,,,
80048596,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_9.jpeg,,T,"[['44N', '44N', '44N']]",3.0,3.0,44N
80048596,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_9.jpeg,,R,"[['19W', '19W', '19W']]",3.0,3.0,19W
80048596,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_9.jpeg,,S,"[['11', '11', '11']]",3.0,3.0,11
80048596,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_9.jpeg,,Collector,"[['Ammerman,', 'Ammerman,', 'Ammerman,'], ['Stark,', 'Stark,', 'Stark,'], ['Reilly', 'Reilly', 'Reilly']]",3.0,3.0,"Ammerman, Stark, Reilly"
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,Other Dates,,,,
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,T,"[['48N', '48N', '48N']]",3.0,3.0,48N
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,R,"[['13W', '13W', '13W']]",3.0,3.0,13W
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,S,"[['Many', 'Many', 'Many']]",3.0,3.0,Many
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,Collector,"[['Kolson,', 'Kolson,', 'Kolson,'], ['Delong', 'Delong', 'Delong']]",3.0,3.0,"Kolson, Delong"
80048598,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_PETES_GROW_0001_5.jpeg,,Other Dates,,,,
80048598,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_PETES_GROW_0001_5.jpeg,,T,"[['44N', '44N', '44N']]",3.0,3.0,44N
80048598,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_PETES_GROW_0001_5.jpeg,,R,"[['18W', '18W', '18W']]",3.0,3.0,18W
80048598,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_PETES_GROW_0001_5.jpeg,,S,"[['7', '7', '7']]",3.0,3.0,7
80048598,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_PETES_GROW_0001_5.jpeg,,Collector,"[['Aho,', 'Aho,', 'Aho,'], ['Ammerman', 'Ammerman', 'Ammerman']]",3.0,3.0,"Aho, Ammerman"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,Other Dates,,,,
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,T,"[['15', '15', '15', '15']]",4.0,4.0,15
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,R,"[['8W', '8W', '8W', '8W']]",4.0,4.0,8W
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,S,"[['2,', '2,', '2,', '2,'], ['3', '3', '3', '3']]",4.0,4.0,"2, 3"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,Collector,"[['District', 'District', 'District', 'District'], ['13', '13', '13', '13'], ['Fisheries', 'Fisheries', 'Fisheries', 'Fisheries']]",4.0,4.0,District 13 Fisheries
80048600,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Jackpine_GROW_048.jpeg,,Other Dates,,,,
80048600,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Jackpine_GROW_048.jpeg,,T,"[['43N', '43N', '43N']]",3.0,3.0,43N
80048600,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Jackpine_GROW_048.jpeg,,R,"[['18W', '18W', '18W']]",3.0,3.0,18W
80048600,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Jackpine_GROW_048.jpeg,,S,"[['14,', '14,', '14,'], ['23', '23', '23']]",3.0,3.0,"14, 23"
80048600,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Jackpine_GROW_048.jpeg,,Collector,"[['Prout,', 'Prout,', 'Prout,'], ['P.', 'P.', 'P.'], ['Sweeney,', 'Sweeney,', 'Sweeney,'], ['St.', 'St.', 'St.'], ['John', 'John', 'John']]",3.0,3.0,"Prout, P. Sweeney, St. John"
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,Other Dates,,,,
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,T,"[['43N', '43N', '43N']]",3.0,3.0,43N
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,R,"[['18W', '18W', '18W']]",3.0,3.0,18W
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,S,"[['5,', '5,', '5,'], ['8', '8', '8']]",3.0,3.0,"5, 8"
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,Collector,"[['Prout,', 'Prout,', 'Prout,'], ['St.', 'St.', 'St.'], ['John', 'John', 'John']]",3.0,3.0,"Prout, St. John"
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,Other Dates,,,,
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,T,"[['3N', '3N', '3N']]",3.0,3.0,3N
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,R,"[['3W', '3W', '3W']]",3.0,3.0,3W
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,S,"[['4', '4', '4']]",3.0,3.0,4
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,Collector,"[['D.', 'D.', 'D.'], ['Barnard,', 'Barnard,', 'Barnard,'], ['M.', 'M.', 'M.'], ['Gerlach,', 'Gerlach,', 'Gerlach,'], ['W.', 'W.', 'W.'], ['Bryant', 'Bryant', 'Bryant']]",3.0,3.0,"D. Barnard, M. Gerlach, W. Bryant"
80048603,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Byram_GROW_031.jpeg,,Other Dates,"[['9/3'], ['-'], ['-'], ['10/1/91']]",1.0,1.0,9/3 - - 10/1/91
80048603,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Byram_GROW_031.jpeg,,T,"[['5N', '5N', '5N']]",3.0,3.0,5N
80048603,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Byram_GROW_031.jpeg,,R,"[['6E', '6E', '6E']]",3.0,3.0,6E
80048603,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Byram_GROW_031.jpeg,,S,"[['29,', '29,', '29,'], ['30', '30', '30']]",3.0,3.0,"29, 30"
80048603,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Byram_GROW_031.jpeg,,Collector,"[['W.', 'W.', 'W.'], ['Bryant,', 'Bryant,', 'Bryant,'], ['J.', 'J.', 'J.'], ['Drew', 'Drew', 'Drew']]",3.0,3.0,"W. Bryant, J. Drew"
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,Other Dates,,,,
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,T,"[['8N', '8N', '8N']]",3.0,3.0,8N
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,R,"[['6E', '6E', '6E']]",3.0,3.0,6E
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,S,"[['35', '35', '35']]",3.0,3.0,35
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,Collector,"[['D.', 'D.', 'D.'], ['Barnard,', 'Barnard,', 'Barnard,'], ['A.', 'A.', 'A.'], ['Hanna', 'Hanna', 'Hanna']]",3.0,3.0,"D. Barnard, A. Hanna"
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,Other Dates,,,,
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,T,"[['8N', '8N', 'BN']]",3.0,2.0,8N
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,R,"[['8E', '8E', 'BE']]",3.0,2.0,8E
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,S,"[['7', '7', '7']]",3.0,3.0,7
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,Collector,"[['D.', 'D.', 'D.'], ['Barnard', 'Barnard', 'Barnard']]",3.0,3.0,D. Barnard
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,Other Dates,,,,
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,T,"[['8N', '8N', '8N']]",3.0,3.0,8N
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,R,"[['8E', '8E', '8E']]",3.0,3.0,8E
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,S,"[['7', '7', '7']]",3.0,3.0,7
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,Collector,"[['D.', 'D.', 'D.'], ['Barnard', 'Barnard', 'Barnard']]",3.0,3.0,D. Barnard
80048607,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_003.jpeg,,Other Dates,,,,
80048607,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_003.jpeg,,T,"[['8N', '8N', '8N']]",3.0,3.0,8N
80048607,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_003.jpeg,,R,"[['8E', '8E', '8E']]",3.0,3.0,8E
80048607,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_003.jpeg,,S,"[['18', '18', '18']]",3.0,3.0,18
80048607,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_003.jpeg,,Collector,"[['D.', 'D.', 'D.'], ['Barnard', 'Barnard', 'Barnard']]",3.0,3.0,D. Barnard
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,Other Dates,,,,
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,T,"[['8N', '08N', '8N']]",3.0,2.0,8N
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,R,"[['7E', '07E', '7E']]",3.0,2.0,7E
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,S,"[['Many', 'Many', 'Many']]",3.0,3.0,Many
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,Collector,"[['D.', 'D.', 'D.'], ['Nelson,', 'Nelson,', 'Nelson,'], ['M.', 'M.', 'M.'], ['Gerlach', 'Gerlach', 'Gerlach']]",3.0,3.0,"D. Nelson, M. Gerlach"
80048609,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_ReedParkPond_GROW_003.jpeg,,Other Dates,,,,
80048609,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_ReedParkPond_GROW_003.jpeg,,T,"[['10N', '10N', '10N']]",3.0,3.0,10N
80048609,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_ReedParkPond_GROW_003.jpeg,,R,"[['2W', '2W', '2W']]",3.0,3.0,2W
80048609,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_ReedParkPond_GROW_003.jpeg,,S,"[['22', '22', '22']]",3.0,3.0,22
80048609,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_ReedParkPond_GROW_003.jpeg,,Collector,"[['W.', 'W.', 'W.'], ['Bryant,', 'Bryant,', 'Bryant,'], ['J.', 'J.', 'J.'], ['Drew', 'Drew', 'Drew']]",3.0,3.0,"W. Bryant, J. Drew"
80048610,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_WestCountyParkPond_GROW_003.jpeg,,Other Dates,,,,
80048610,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_WestCountyParkPond_GROW_003.jpeg,,T,"[['11N', '11N', '11N']]",3.0,3.0,11N
80048610,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_WestCountyParkPond_GROW_003.jpeg,,R,"[['4W', '4W', '4W']]",3.0,3.0,4W
80048610,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_WestCountyParkPond_GROW_003.jpeg,,S,"[['34', '34', '34']]",3.0,3.0,34
80048610,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_WestCountyParkPond_GROW_003.jpeg,,Collector,"[['W.', 'W.', 'W.'], ['Bryant,', 'Bryant,', 'Bryant,'], ['J.', 'J.', 'J.'], ['Drew', 'Drew', 'Drew']]",3.0,3.0,"W. Bryant, J. Drew"
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,Other Dates,,,,
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,T,"[['6S', '6S', '6S']]",3.0,3.0,6S
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,R,"[['4W', '4W', '4W']]",3.0,3.0,4W
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,S,"[['8', '8', '8']]",3.0,3.0,8
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,Collector,"[['Jackson', 'Jackson', 'Jackson'], ['S.', '', 'S.'], ['Crew', '', 'Crew'], ['1994', '', '1994']]",3.0,2.25,Jackson S. Crew 1994
80048612,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Jones_GROW_010.jpeg,,Other Dates,,,,
80048612,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Jones_GROW_010.jpeg,,T,"[['4N', '4N', '4N']]",3.0,3.0,4N
80048612,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Jones_GROW_010.jpeg,,R,"[['2W', '2W', '2W']]",3.0,3.0,2W
80048612,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Jones_GROW_010.jpeg,,S,"[['4', '4', '4']]",3.0,3.0,4
80048612,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Jones_GROW_010.jpeg,,Collector,"[['T.', 'T.', 'T.'], ['Anderson,', 'Anderson,', 'Anderson,'], ['P.', 'P.', 'P.'], ['Mendenall', 'Mendenall', 'Mendenall']]",3.0,3.0,"T. Anderson, P. Mendenall"
80048613,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Lansing_GROW_112.jpeg,,Other Dates,,,,
80048613,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Lansing_GROW_112.jpeg,,T,"[['4N', '4N', '4N']]",3.0,3.0,4N
80048613,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Lansing_GROW_112.jpeg,,R,"[['1W', '1W', '1W']]",3.0,3.0,1W
80048613,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Lansing_GROW_112.jpeg,,S,"[['2,', '2,', '2,'], ['3,', '3,', '3,'], ['11,', '11,', '11,'], ['12', '12', '12']]",3.0,3.0,"2, 3, 11, 12"
80048613,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Lansing_GROW_112.jpeg,,Collector,"[['T.', 'T.', 'T.'], ['Anderson,', 'Anderson,', 'Anderson,'], ['J.', 'J.', 'J.'], ['Drew,', 'Drew,', 'Drew,'], ['M.', 'M.', 'M.'], ['Gerlach,', 'Gerlach,', 'Gerlach,'], ['D.', 'D.', 'D.'], ['Barnard,', 'Barnard,', 'Barnard,'], ['W.', 'W.', 'W.'], ['Bryant', 'Bryant', 'Bryant']]",3.0,3.0,"T. Anderson, J. Drew, M. Gerlach, D. Barnard, W. Bryant"
80048614,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Iosco_Cedar_GROW_006.jpeg,,Other Dates,,,,
80048614,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Iosco_Cedar_GROW_006.jpeg,,T,"[['24,', '24,', '24,'], ['25N', '25N', '25N']]",3.0,3.0,"24, 25N"
80048614,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Iosco_Cedar_GROW_006.jpeg,,R,"[['9E', '9E', '9E']]",3.0,3.0,9E
80048614,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Iosco_Cedar_GROW_006.jpeg,,S,"[['3,', '3,', '3,'], ['34', '34', '34']]",3.0,3.0,"3, 34"
80048614,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Iosco_Cedar_GROW_006.jpeg,,Collector,"[['ESS,', 'ESS,', 'ESS,'], ['MDP', 'MDP', 'MDP']]",3.0,3.0,"ESS, MDP"
80048615,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Iosco_CookeImpoundment_GROW_025.jpeg,,Other Dates,,,,
80048615,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Iosco_CookeImpoundment_GROW_025.jpeg,,T,"[['24N', '24N', '24N']]",3.0,3.0,24N
