"subject_id","workflow_id","task","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text","data.user_ids","original_id"
83381090,18906,"T5","[['about', 'about', 'about'], ['1/4', '¼', '1/4'], ['acre', 'acre', 'acre']]",3,2.666666667,"about 1/4 acre","[1325481, 1894841, 2376369]",82940968
83381090,18906,"T11","[['no', 'no', 'no']]",3,3,"no","[1325481, 1894841, 2376369]",82940968
83381090,18906,"T15","[['none', 'none', 'none']]",3,3,"none","[1325481, 1894841, 2376369]",82940968
83381091,18906,"T0","[['Yes', 'Yes', 'Yes']]",3,3,"Yes","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T1","[['70*F', '70', '70*F'], ['', 'F', ''], ['average', 'average', 'average']]",3,2,"70*F F average","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T2","[[""25'-13*C."", '25’', ""25'-13*C""], [""30'-10.2°C."", '-', ""30'-10.2*C""], ['', '13', ''], ['', 'C.', ''], ['', '30’', ''], ['', '-', ''], ['', '10.2', ''], ['', 'C', '']]",3,1,"25'-13*C. 30'-10.2°C. 13 C. 30’ - 10.2 C","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T3","[[""56'-8.3°C."", '56’', ""56'-8.3*C""], ['', '8.3', ''], ['', 'C', '']]",3,1,"56'-8.3°C. 8.3 C","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T4","[['Surface', 'Surface', 'Surface'], ['5.0', '5.0', '5.0'], ['ppm.', 'ppm.', 'ppm']]",3,2.666666667,"Surface 5.0 ppm.","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T5","[['160', '160', '160'], ['', 'A.', 'A.']]",3,2.5,"160 A.","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T6","[[""57'"", '57’', ""57'""]]",3,2,"57'","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T7","[['Secchi', 'Secchi', 'Secchi'], ['disc', 'disc', 'disc'], ['13.5', '13.5', '13.5']]",3,3,"Secchi disc 13.5","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T10","[['Surf.', 'Surf.', 'Surf.'], ['8.4', '8.4', '8.4'], ['pH', 'pH', 'pH'], ['B.', 'B.', 'B.'], ['8.3', '8.3', '8.3']]",3,3,"Surf. 8.4 pH B. 8.3","[1894841, 1325481, 2376369]",82940999
83381091,18906,"T15","[['Dance', 'Dance', 'Dance'], ['hall', 'hall', 'hall'], ['and', 'and', 'and'], ['confectionary', 'confectionary', 'confectionary'], ['-', '-', '-'], ['Felix', 'Felix', 'Felix'], ['Lepinski', 'Lepinsky', 'Lepinski'], ['Prop.', 'Prop.', 'Prop.']]",3,2.875,"Dance hall and confectionary - Felix Lepinski Prop.","[1894841, 1325481, 2376369]",82940999
83381092,18906,"T0","[['Not', 'Not', 'Not'], ['permitted', 'permitted.', 'permitted']]",3,2.5,"Not permitted","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T1","[['High', 'High', 'High']]",3,3,"High","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T2","[['10', '10', '10'], ['to', 'to', 'to'], ['25', '25', '25'], ['feet', 'feet', 'feet']]",3,3,"10 to 25 feet","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T3","[['Cold', 'Cold', 'Cold']]",3,3,"Cold","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T4","[['', 'Abundant', 'Abundant'], ['', 'exept', 'except'], ['', 'near', 'near'], ['', 'bottom.', 'bottom.'], ['None', 'None', 'None'], ['in', 'present', 'present'], ['upper', 'at', 'at'], ['half', 'bottom.', 'bottom.']]",3,2,"Abundant exept near bottom. None present at bottom.","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T5","[['124.7', '124.7', '124.7']]",3,3,"124.7","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T6","[['About', 'About', 'About'], [""52'"", ""52'"", '52’']]",3,2.5,"About 52'","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T7","[['very', 'very', 'very'], ['clear', 'clear', 'clear']]",3,3,"very clear","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T10","[['Moderate', 'Moderate', 'Moderate']]",3,3,"Moderate","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T11","[['Yes', 'Yes', 'Yes']]",3,3,"Yes","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T12","[['-']]",1,1,"-","[1484814]",82941004
83381092,18906,"T13","[['No', 'No', 'No']]",3,3,"No","[1484814, 1894841, 1325481]",82941004
83381092,18906,"T15","[['On', 'On', 'On'], ['private', 'private', 'private'], ['estate.', 'estate.', 'estate.'], ['Cabin', 'Cabin', 'Cabin'], ['near', 'near', 'near'], ['outlet.', 'outlet.', 'outlet.']]",3,3,"On private estate. Cabin near outlet.","[1484814, 1894841, 1325481]",82941004
83381093,18906,"T0","[['Not', 'Not', 'Not'], ['permitted.', 'permitted', 'permitted.']]",3,2.5,"Not permitted.","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T1","[['High', 'High', 'High']]",3,3,"High","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T2","[['None', 'None', 'None']]",3,3,"None","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T3","[['High', 'High', 'High']]",3,3,"High","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T4","[['High', 'High', 'High'], ['at', 'at', 'at'], ['all', 'all', 'all'], ['depths.', 'depths', 'depths']]",3,2.75,"High at all depths","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T5","[['580.2', '58.2', '58.2']]",3,2,"58.2","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T6","[['About', 'About', 'About'], ['20', '20', '20'], ['ft.', 'ft.', 'ft.']]",3,3,"About 20 ft.","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T7","[['Slightly', 'Slightly', 'Slightly'], ['silty', 'silty', 'silty']]",3,3,"Slightly silty","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T10","[['Quite', 'Quite', 'Quite'], ['alkaline', 'alkaline', 'alkaline']]",3,3,"Quite alkaline","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T11","[['Former', 'Former', 'Former'], ['outlet', 'outlet', 'outlet'], ['completely', 'completely', 'completely'], ['closed', 'closed', 'closed']]",3,3,"Former outlet completely closed","[1894841, 1325481, 2376369]",82941006
83381093,18906,"T12","[['-']]",1,1,"-","[2376369]",82941006
83381093,18906,"T13","[['-']]",1,1,"-","[2376369]",82941006
83381093,18906,"T15","[['On', 'On', 'On'], ['private', 'private', 'private'], ['estate.', 'estate.', 'estate.'], ['Lodge', 'Lodge', 'Lodge'], ['at', 'at', 'at'], ['north', 'north', 'north'], ['end.', 'end', 'end.']]",3,2.857142857,"On private estate. Lodge at north end.","[1894841, 1325481, 2376369]",82941006
