subject_id,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82940967,17911,T16,"[['guat,', '', ''], ['fat-head', 'fat-head', 'fat-head'], ['minnow,', 'minnow,', ''], ['mud', '', ''], ['minnow', 'mudminnows', 'minnow']]",3,1.8,"guat, fat-head minnow, mud minnow","[1312868, 1484814, 1691537]"
82940967,17911,T19,[['pickerel']],1,1,pickerel,[1312868]
82940967,17911,T22,"[['mud-minnow', 'mudminnows', 'mudminnows']]",3,2,mudminnows,"[1312868, 1484814, 1691537]"
82940968,17911,T13,"[['Trout,', 'trout,', 'trout,'], ['Sunfish,', 'sunfish', 'sunfish'], ['Perch', 'common', '']]",3,1.66666666666667,"trout, sunfish Perch","[2244584, 1312868, 1484814]"
82940968,17911,T16,"[['Mud', 'chub,', 'chub,'], ['Minnow,', 'mud', ''], ['Chub', 'minnow', 'mudminnow']]",3,1.33333333333333,"chub, Minnow, Chub","[2244584, 1312868, 1484814]"
82940969,17911,T13,"[['NORMAL', 'Normal', 'Normal'], ['GRAND', 'Grand', 'Grand'], ['RIVER', 'River', 'River'], ['DRAINAGE', 'Drainage', 'Drainage'], ['SPECIES', 'Species', 'Species']]",3,2,Normal Grand River Drainage Species,"[1312868, 1484814, 1691537]"
82940969,17911,T19,"[['CARP', 'Carp']]",2,1,CARP,"[1312868, 1691537]"
82940970,17911,T13,"[['Warmouth', 'Warmouth', 'Warmouth']]",3,3,Warmouth,"[1691537, 1312868, 1484814]"
82940970,17911,T16,"[['Spottail', 'spottail', 'Spottail'], ['and', 'shiner,', 'shiner,'], ['spotfin', 'spotfin', 'spotfin'], ['shiners', 'shiner', 'shiner']]",3,2.25,"Spottail shiner, spotfin shiner","[1691537, 1312868, 1484814]"
82940971,17911,T13,"[['Sunfish', 'sunfish', 'Sunfish']]",3,2,Sunfish,"[2155858, 1312868, 1484814]"
82940971,17911,T19,"[['Goldfish', 'Goldfish', 'Goldfish']]",3,3,Goldfish,"[2155858, 1312868, 1484814]"
82940972,17911,T13,"[['Green', 'Green', 'Green'], ['sunfish,', 'sunfish,', 'sunfish,'], ['mud', 'Mud', 'Mud'], ['pickerel', 'pickerel', 'pickerel']]",3,2.75,"Green sunfish, Mud pickerel","[1691537, 1312868, 1484814]"
82940972,17911,T16,"[['Spot-tail', 'Spot-tail', 'spot-tail'], ['shiner', 'shiner', 'shiner']]",3,2.5,Spot-tail shiner,"[1691537, 1312868, 1484814]"
82940973,17911,T13,"[['Grass', 'Grass', 'Grass'], ['pickerel', 'pickerel', 'pickerel']]",3,3,Grass pickerel,"[1691537, 1312868, 1484814]"
82940974,17911,T16,"[['Logperch,', 'Logperch,', 'logperch,'], ['madtom,', 'Madtom,', 'madtom,'], ['mudminnow', 'Mudminnow', 'mudminnow']]",3,2,"Logperch, madtom, mudminnow","[2455277, 1691537, 1312868]"
82940978,17911,T13,"[['L.', 'L.', 'L.'], ['E.', 'E.', 'E.'], ['sunfish', 'sunfish', 'Sunfish']]",3,2.66666666666667,L. E. sunfish,"[1691537, 1312868, 1484814]"
82940978,17911,T16,"[['All'], ['specimens'], ['preserved.']]",1,1,All specimens preserved.,[1691537]
82940978,17911,T19,"[['Suckers', 'Suckers'], ['and', ''], ['yellow', ''], ['bullheads', ''], ['reported', ''], ['but', ''], ['not', ''], ['common', '']]",2,1.125,Suckers and yellow bullheads reported but not common,"[1691537, 1484814]"
82940980,17911,T16,"[['Black-banded', 'Black-banded', 'Black-banded'], ['top', 'Top', 'Top'], ['minnow,', 'Minnow,', 'minnow,'], ['Spot-tail', 'Spot-tail', 'Spot-tail'], ['shiner', 'Shiner', 'shiner']]",3,2.4,"Black-banded Top minnow, Spot-tail shiner","[1691537, 2244584, 1312868]"
82940980,17911,T19,"[['Warmouth', 'Warmouth', 'Warmouth'], ['bass', 'Bass', 'Bass']]",3,2.5,Warmouth Bass,"[1691537, 2244584, 1312868]"
82940980,17911,T22,"[['Short-nose', 'Shortnose', 'Short-nose'], ['gar', 'Gar', 'gar']]",3,2,Short-nose gar,"[1691537, 2244584, 1312868]"
82940982,17911,T13,"[['Grass', 'Grass', 'Grass'], ['Pickerel,', 'pickerel,', 'pickerel,'], ['Warmouth,', 'Warmouth,', 'warmouth,'], ['Longear', 'Longear', 'longear'], ['Sunfish', 'sunfish', 'sunfish']]",3,2.2,"Grass pickerel, Warmouth, Longear sunfish","[2155858, 1312868, 1484814]"
82940984,17911,T13,"[['Bgill-P.seed', 'B.gill-P.seed']]",2,1,Bgill-P.seed,"[1312868, 1691537]"
82940984,17911,T16,"[['Black-banded', 'Black-banded', 'Black-banded'], ['Top', 'Top', 'Top'], ['Minnow', 'Minnow', 'Minnow']]",3,3,Black-banded Top Minnow,"[1312868, 1484814, 1691537]"
82940984,17911,T19,"[['Warmouth', 'Warmouth', 'Warmouth'], ['bass', 'bass', 'bass']]",3,3,Warmouth bass,"[1312868, 1484814, 1691537]"
82940986,17911,T13,"[['Sunfish,', 'black', 'sunfish,'], ['Miskie', 'bass,', 'muskie'], ['', 'sunfish', '']]",3,1,"Sunfish, Miskie sunfish","[2244584, 1312868, 1484814]"
82940986,17911,T16,"[['Sand', 'sand', 'sand'], ['Shiner', 'shiner', 'shiners']]",3,1.5,sand Shiner,"[2244584, 1312868, 1484814]"
82940986,17911,T22,"[['Carp,', '', ''], ['Gar', 'gar', 'Gar']]",3,1.5,"Carp, Gar","[2244584, 1312868, 1484814]"
82940988,17911,T19,"[['common'], ['sucker']]",1,1,common sucker,[2123072]
82940989,17911,T16,"[['Logperch,', '', 'logperch,'], ['Least', '', 'least'], ['Darter,', '', 'darter,'], ['Stoneroller', 'Blackroller', 'stoneroller'], ['Minnow,', 'minnow,', 'minnow,'], ['Hornyhead', 'hornyhead', 'hornyhead'], ['Chub,', 'chub,', 'chub,'], ['Creek', 'creek', 'creek'], ['Chub', 'chub', 'chub']]",3,1.55555555555556,"Logperch, Least Darter, Stoneroller minnow, hornyhead chub, creek chub","[2244584, 1312868, 1484814]"
82940993,17911,T13,"[['green', 'Green', 'green'], ['sunfish,', 'sunfish', 'sunfish'], ['golden', '', ''], ['shiner', '', '']]",3,1.5,green sunfish golden shiner,"[2123072, 1691537, 1312868]"
82940994,17911,T13,"[['yellow'], ['bullhead,'], ['golden'], ['shiner,'], ['white'], ['sucker']]",1,1,"yellow bullhead, golden shiner, white sucker",[2123072]
82940996,17911,T19,"[['Redhorse', 'Redhorse', 'Redhorse']]",3,3,Redhorse,"[1312868, 1484814, 1691537]"
82940999,17911,T13,"[['Green', 'Green', 'Green'], ['Sunfish', 'Sunfish', 'sunfish']]",3,2.5,Green Sunfish,"[1312868, 1484814, 1691537]"
82941001,17911,T13,"[['Green', 'Green'], ['Sunfish', 'sunfish']]",2,1.5,Green Sunfish,"[1312868, 1484814]"
82941001,17911,T16,"[['Shiner', 'Shiners,'], ['', 'Dace']]",2,1,Shiner Dace,"[1312868, 1484814]"
82941001,17911,T19,[['Dace']],1,1,Dace,[1312868]
82941002,17911,T13,"[['GREEN', 'Green', 'Green'], ['SUNFISH', 'sunfish', 'sunfish']]",3,2,Green sunfish,"[1312868, 1484814, 1691537]"
82941004,17911,T16,"[['Minnows,', 'Minnow,', 'Minnows,'], ['', 'Log', 'Log'], ['Logperch,', 'perch,', 'perch,'], ['Black', 'Black', 'Black'], ['striped', 'striped', 'striped'], ['shiner,', 'shiner,', 'shiner,'], ['least', 'least', 'least'], ['darter,', 'darter,', 'darter,'], ['Hog', 'Hog', 'hog'], ['sucker,', 'sucker,', 'sucker,'], ['creek', 'creek', 'creek'], ['chub', 'chub', 'chub']]",3,2.66666666666667,"Minnows, Log perch, Black striped shiner, least darter, Hog sucker, creek chub","[1691537, 1312868, 1484814]"
82941008,17911,T13,"[['Green', 'Green', 'Green'], ['sunfish', 'sunfish', 'sunfish']]",3,3,Green sunfish,"[1312868, 1484814, 1691537]"
