"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","lake_area_ha","max_depth_min_m","max_depth_max_m","secchi_min_m","secchi_max_m","development","alkalinity_min_ppm","alkalinity_max_ppm","dam_outlet_text","dam_passable_for_fish_text","dam_outlet","dam_passable_for_fish","dam_height_min_m","dam_height_max_m","do_surface_ppm","do_thermo_ppm","do_below_thermo_ppm","temp_bottom_max_c","temp_bottom_min_c","temp_surface_max_c","temp_surface_min_c","public_fishing_text","public_fishing","front","back"
58687314,"16-14","SILVER","Cheboygan",15,"August",1931,16,"August",1931,61.109,NA,NA,3.1,NA,"on ranch. ranch buildings on shore of lake.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not permitted","not permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_1E_S33_SUMM_014.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_1E_S33_SUMM_015.jpg"
58687379,"20-75","HOWE","Crawford",4,"August",1937,4,"August",1937,5.585,7.315,NA,3.81,NA,NA,51,NA,"no outlet",NA,"no",NA,NA,NA,8.3,NA,6,NA,21.4,NA,23.5,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howe_SUMM_20191125112930134_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howe_SUMM_20191125112930134_0002.jpg"
58687380,"20-75","HOWES","Crawford",4,"August",1937,NA,NA,NA,5.585,7.315,NA,3.81,NA,NA,51,NA,"no outlet",NA,"no",NA,NA,NA,8.3,NA,6,NA,21.4,NA,23.5,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howes_SUMM_018.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howes_SUMM_019.jpg"
58687407,"27-520","BASSMARENISCOTWP","Gogebic",3,"September",1937,3,"September",1937,77.297,3.962,NA,1.372,NA,"camp bonifos c.c.c. camp, 7 cottages on lake",36,39,"no",NA,"no",NA,NA,NA,7.4,NA,7,NA,21.9,NA,23.333,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_BassMareniscoTwp_SUMM_004.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_BassMareniscoTwp_SUMM_005.jpg"
58687409,"27-622","BEATONS","Gogebic",7,"September",1937,NA,"September",NA,133.549,28.955,NA,5.486,4.115,"two lodges (caseda and stickley) private, 45 boats for rent.",23,NA,NA,NA,NA,NA,NA,NA,8.8,NA,0.4,NA,6.6,NA,21.8,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Beatons_SUMM_030.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Beatons_SUMM_031.jpg"
58687458,"27-81","JENNINGS","Gogebic",11,"September",1937,NA,"September",NA,9.308,15.239,NA,6.4,NA,"one flatbottomed boat on lake. no oars.",14,9,NA,NA,NA,NA,NA,NA,8.8,NA,0.3,NA,7.2,NA,20,"partly yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_010.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_011.jpg"
58687518,"28-84","ARBUTUS","GrandTraverse",4,"August",1936,NA,"August",NA,159.854,13.411,NA,3.8,5,"boys and girls camps. numerous cottages. camping",61,143,NA,NA,NA,NA,NA,NA,9.8,NA,0,NA,NA,23.2,25,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Arbutus_SUMM_017.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Arbutus_SUMM_018.jpg"
58687579,"30-255","BANKERS","Hillsdale",5,"July",1931,5,"July",1931,29.947,13.715,NA,NA,NA,"boat livery. several cottages.",NA,NA,"no.","yes","no","yes",NA,NA,NA,NA,NA,NA,7.778,NA,25,"permitted.","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Bankers_SUMM_005.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Bankers_SUMM_006.jpg"
58687580,"30-184-GRP","BAWBEESE","Hillsdale",29,"June",1931,29,"June",1931,127.883,21.64,NA,NA,NA,"extensive. many cottages, a country club, a hotel and a dance hall along lake.",NA,NA,"yes","no","yes","no",NA,NA,NA,NA,NA,NA,9.444,NA,24.444,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_BawBeese_SUMM_015.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_BawBeese_SUMM_016.jpg"
58687581,"30-259","BEAR","Hillsdale",10,"July",1931,NA,NA,NA,42.088,16.154,NA,NA,NA,"little. one or two cottages.",NA,NA,"at cambria - 3 mi. below lake",NA,"no",NA,NA,NA,NA,NA,NA,NA,10,NA,23.889,"permitted.","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Bear_SUMM_033.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Bear_SUMM_034.jpg"
58687582,"30-295","BERRY","Hillsdale",17,"July",1931,17,"July",1931,8.903,8.534,NA,NA,NA,"one cottage",NA,NA,"no","in high water.","no","yes",NA,NA,NA,NA,NA,NA,12.222,NA,24.444,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Berry_SUMM_003.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Berry_SUMM_004.jpg"
58687583,"30-251","BOOT","Hillsdale",3,"July",1931,3,"July",1931,25.9,12.191,NA,NA,NA,"none.",NA,NA,"none above baw beese outlet","between boot & fourth","no","yes",NA,NA,NA,NA,NA,NA,10,NA,25.556,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Boot_SUMM_004.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Boot_SUMM_005.jpg"
58687584,"30-277","CARPENTER","Hillsdale",11,"July",1931,11,"July",1931,13.557,12.191,NA,NA,NA,"little. several cottages.",NA,NA,"none near lake. stream not examined.",NA,"none near lake stream not examined",NA,NA,NA,NA,NA,NA,NA,8.333,NA,23.889,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Carpenter_SUMM_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Carpenter_SUMM_010.jpg"
58687585,"30-72","COBB","Hillsdale",24,"June",1937,24,"June",1937,14.65,9.144,NA,NA,NA,"none",180,NA,"no",NA,"no",NA,NA,NA,6.4,NA,0.3,NA,12.2,NA,23,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Cobb_SUMM_004.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Cobb_SUMM_005.jpg"
58687586,"30-78","HASTINGSLITTLE","Hillsdale",29,"June",1937,NA,"June",1937,15.217,12.191,NA,4.267,NA,"no",110,NA,"none",NA,"no",NA,NA,NA,7.6,NA,1.5,NA,10.5,NA,25.2,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_HastingsLittle_SUMM_005.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_HastingsLittle_SUMM_006.jpg"
58687587,"30-222","FOURTH","Hillsdale",2,"July",1931,2,"July",1931,17.807,15.544,NA,NA,NA,"none",NA,NA,"none above baw beese outlet","between 4th & 3rd","no","yes",NA,NA,NA,NA,NA,NA,8.333,NA,26.667,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Fourth_SUMM_004.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Fourth_SUMM_005.jpg"
58687588,"30-194","HEMLOCK","Hillsdale",15,"July",1931,NA,"July",NA,59.085,19.811,NA,NA,NA,"fairly extensive. dance hall and about a dozen cottages.",NA,NA,"(not investigated).","-",NA,NA,NA,NA,NA,NA,NA,NA,7.778,NA,25.556,"permitted.","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Hemlock_SUMM_017.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Hemlock_SUMM_018.jpg"
58687589,"30-278","LONG","Hillsdale",10,"July",1931,10,"July",1931,86.2,13.715,NA,NA,NA,"a dozen or more cottages along southern 1/3 of lake. very little development along upper 2/3",NA,NA,"no","yes","no","yes",NA,NA,NA,NA,NA,NA,11.111,NA,24.444,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Long7S_4W_S8-17_SUMM_011.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Long7S_4W_S8-17_SUMM_012.jpg"
58687591,"30-67","MOSHERVILLEBIG","Hillsdale",2,"July",1937,2,"July",1937,10.846,12.191,NA,NA,NA,NA,187,NA,"yes","no","yes","no",NA,NA,6.4,NA,0,NA,10,NA,22,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_MoshervilleBig_SUMM_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_MoshervilleBig_SUMM_008.jpg"
58687592,"30-2","PERCH","Hillsdale",19,"June",1931,NA,"June",NA,15.176,3.048,NA,NA,NA,"three cottages on northeast side",NA,NA,"no",NA,"no",NA,NA,NA,NA,NA,NA,NA,24.444,NA,25.556,"permitted.","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Perch_SUMM_006.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Perch_SUMM_007.jpg"
58687593,NA,"SECOND","Hillsdale",30,"June",1931,30,"June",1931,14.569,18.897,NA,NA,NA,"one cottage",NA,NA,"none between second & baw beese","yes","no","yes",NA,NA,NA,NA,NA,NA,8.889,NA,26.667,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Second_SUMM_004.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Second_SUMM_005.jpg"
58687594,NA,"THIRD","Hillsdale",1,"July",1931,NA,"July",NA,14.164,4.115,NA,NA,NA,"one or two cottages",NA,NA,"none above baw beese outlet","between 3rd and baw beese","no","yes",NA,NA,NA,NA,NA,NA,17.778,NA,28.333,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Third_SUMM_005.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Third_SUMM_006.jpg"
58687595,"30-22","MOON","Hillsdale",22,"June",1931,NA,NA,NA,12.829,10.972,NA,NA,NA,"none.",NA,NA,"not examined by survey party","-",NA,NA,NA,NA,NA,NA,NA,NA,10,NA,23.889,"permitted (except temporarily)","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Moon7S_1W_S27_SUMM_002.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Moon7S_1W_S27_SUMM_003.jpg"
58687596,"30-256","WILSON","Hillsdale",6,"July",1931,NA,"July",NA,37.232,18.287,NA,NA,NA,"seven cottages on east side",NA,NA,"no","yes","no","yes",NA,NA,NA,NA,NA,NA,7.778,NA,26.667,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Wilson_SUMM_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Wilson_SUMM_008.jpg"
58687598,"31-585","BOB","Houghton",20,"August",1937,NA,"August",NA,48.563,4.572,NA,1.524,NA,NA,13,NA,"none","0","no",NA,NA,NA,NA,NA,5.8,NA,22.2,NA,23.8,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Bob_SUMM_019.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Bob_SUMM_020.jpg"
58687599,"31-585","BOB","Houghton",20,"August",1937,20,"August",1937,48.563,4.572,NA,1.524,NA,NA,13,NA,"none",NA,"no",NA,NA,NA,NA,NA,5.8,NA,22.2,NA,23.8,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Bob_SUMM_001_01.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Bob_SUMM_001_02.jpg"
58687607,"31-909","GERALD","Houghton",2,"September",1937,2,"September",1937,103.197,12.496,NA,2.895,NA,"no.",13,31,"no. (see roland lake)","-","no",NA,NA,NA,7.2,NA,1.4,NA,12,NA,22.1,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_020.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_021.jpg"
58687615,"31-226","MARKEY","Houghton",18,"August",1937,NA,NA,NA,19.514,21.03,NA,5.181,NA,NA,7,20,"-","-",NA,NA,NA,NA,7.2,NA,3.6,NA,5.3,NA,24.5,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Markey_SUMM_011.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Markey_SUMM_012.jpg"
58687623,"31-915","ROLAND","Houghton",3,"September",1937,3,"September",1937,118.171,12.496,NA,2.591,NA,"houghton co. park",11,31,"yes","no","yes","no",0.61,NA,6.9,NA,NA,NA,11.5,NA,21.2,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_026.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_027.jpg"
58687656,"35-219","VANETTEN","Iosco",26,"August",1937,NA,"August",NA,534.197,10.058,NA,1.829,NA,NA,136,NA,"yes","no. according to chandelor crow and [...] note that [...] has seen fish [...] over this dam and has also [...] h. langlois","yes","no",NA,NA,8.6,NA,7.7,NA,21.2,NA,22,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_VanEtten_SUMM_029.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_VanEtten_SUMM_030.jpg"
58687692,"36-2047","HARDING","Iron",30,"August",1937,30,"August",1937,14.569,4.572,NA,2.743,NA,"one private cottage on lake. 1/4 mi. to silk's serv. sta. candy, gas, oil, etc sold",39,NA,"no",NA,"no",NA,NA,NA,8.2,NA,4.9,NA,20,NA,22.9,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Harding_SUMM_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Harding_SUMM_010.jpg"
58687697,"36-2067","PAINT","Iron",1,"September",1937,NA,NA,NA,92.675,4.572,NA,2.286,NA,"no cottages. 3 boats for rent. silk's service sta. 1/4 mi. candy, gas, oil, etc.",63,NA,"no",NA,"no",NA,NA,NA,8.9,NA,8,NA,22.5,NA,23.333,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Paint_36-2067_1937_SUMM_001_01.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Paint_36-2067_1937_SUMM_001_02.jpg"
58687866,NA,"MILL","Lake",20,"July",1931,20,"July",1931,22.339,11.887,NA,NA,NA,"on kinne creek club estate",NA,NA,"(outlet not examined by party)","--",NA,NA,NA,NA,NA,NA,NA,NA,11.667,NA,26.667,"not permitted","not permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Mill_SUMM_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Mill_SUMM_010.jpg"
58687875,"43-142","RAILROD","Lake",22,"July",1931,NA,NA,NA,9.672,10.667,NA,NA,NA,"on kinne creek club estate.",NA,NA,"no outlet",NA,"no",NA,NA,NA,NA,NA,NA,NA,12.222,NA,25.556,"not permitted","not permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Railrod_SUMM_006.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Railrod_SUMM_007.jpg"
58687883,"43-127","SPRING","Lake",22,"July",1931,22,"July",1931,3.035,NA,NA,NA,NA,"on kinne creek club estate",NA,NA,"outlet not examined by party",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not permitted","not permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Spring_SUMM_005.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Spring_SUMM_006.jpg"
58687906,"44-201","HALFDOLLAR","Lapeer",12,"November",1931,12,"November",1931,0.405,3.657,NA,NA,NA,"on property of d. d. douglas.",NA,NA,"no.","--","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not permitted","not permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_HalfDollarPond_SUMM_002.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_HalfDollarPond_SUMM_003.jpg"
58687909,"44-199","MISCH","Lapeer",12,"November",1931,12,"November",1931,20.073,NA,NA,NA,NA,"on estate. summer home of d. d. douglas is on lake.",NA,NA,"yes.","no.","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not permitted.","not permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Misch_SUMM_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Misch_SUMM_008.jpg"
58687939,"48-566","MUSKALLONGE","Luce",27,"August",1936,NA,NA,NA,317.685,6.096,NA,4,NA,"state forest camp grounds. boat landings  cottages",NA,NA,"-","-",NA,NA,NA,NA,9.8,NA,NA,NA,16.8,NA,17.3,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_A.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_B.jpg"
58687962,"52-1412","INDIAN","Marquette",12,"August",1937,NA,"August",NA,34.804,5.791,NA,1.829,NA,NA,1,30,"none","-","no",NA,NA,NA,6.3,NA,0,NA,12.4,NA,26.1,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Indian_SUMM_20191202095715411_0003.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Indian_SUMM_20191202095715411_0004.jpg"
58687964,"52-1607","WHITEGOAT LITTLE","Marquette",12,"August",1937,12,"August",1937,43.707,4.267,NA,2.438,NA,NA,10,17,"yes","?","yes",NA,NA,NA,6.9,NA,3.8,NA,21.1,NA,24.4,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_LittleWhiteGoat_SUMM_20191202102826217_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_LittleWhiteGoat_SUMM_20191202102826217_0002.jpg"
58687978,"60-134","JACKSON","Montmorency",4,"September",1937,4,"September",1937,10.239,7.924,NA,5.334,NA,NA,95,NA,"no outlet",NA,"no",NA,NA,NA,7.5,NA,6.4,NA,20.9,NA,25.3,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Jackson_SUMM_20191204131712124_0005.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Jackson_SUMM_20191204131712124_0006.jpg"
