"subject_id","lake_area_min_ha","max_depth_m","secchi_min_m","secchi_max_m","development","public_fishing_text","public_fishing","methylorange_alk_min_ppm","methylorange_alk_max_ppm","dam_outlet_text","dam_passable_for_fish_text","dam_outlet","dam_passable_for_fish","dam_height_min_m","dam_height_max_m","temp_surface_min_c","temp_bottom_min_c","do_above_thermo_min_ppm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back","lake_area_max_ha","shore_dev_index","min_shoal_pct","max_shoal_pct","fishing_intensity_summer_text","fishing_intensity_winter_text","fishing_intensity_summer","fishing_intensity_winter","cottages_min_n","resorts_min_n","liveries_min_n","hotels_homes_min_n","cottages_max_n","resorts_max_n","liveries_max_n","hotels_homes_max_n","dam_effect_fish_text","dam_effect_fish","do_below_thermo_min_ppm","do_in_thermo_min_ppm","do_above_thermo_max_ppm","do_below_thermo_max_ppm","do_in_thermo_max_ppm","temp_surface_max_c","temp_bottom_max_c","thermocline_present","thermocline_loc_min_m","thermocline_loc_max_m","filename","county","lakename","new_key"
82940952,98.341,21.335,NA,NA,NA,NA,NA,NA,NA,"no",NA,"no",NA,NA,NA,20,7.222,NA,8,"August",1977,8,"September",1977,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_2.jpeg",NA,NA,10,15,"light","light","light","light",2,0,0,0,NA,NA,NA,NA,"none","no",NA,NA,NA,NA,NA,NA,NA,NA,4.572,8.839,"ALGER_DEER_SUMM_0001_1.jpeg","ALGER","DEER","2-461"
82940953,17.078,3.353,NA,NA,NA,NA,NA,51,NA,"none",NA,"no",NA,NA,NA,11.667,NA,NA,14,"October",1982,15,"October",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_2.jpeg",NA,NA,100,NA,"medium","light","medium","light",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_DEERFOOT_SUMM_0001_1.jpeg","ALGER","DEERFOOT","2-612"
82940954,25.658,3.962,NA,NA,NA,NA,NA,43,NA,"beaver dam",NA,"yes",NA,"0.914",NA,11.667,NA,NA,14,"October",1982,14,"October",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRASS_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRASS_SUMM_0002_2.jpeg",NA,NA,100,NA,"medium","light","medium","light",1,0,0,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_GRASS_SUMM_0002_1.jpeg","ALGER","GRASS","2-589"
82940955,12.546,3.048,NA,NA,NA,NA,NA,NA,NA,"yes - man made",NA,"yes",NA,"3.657","4.572",18.889,NA,NA,6,"June",1989,15,"June",1989,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRIMES_SUMM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRIMES_SUMM_0003_2.jpeg",NA,NA,100,NA,"light","light","light","light",5,NA,NA,NA,NA,NA,NA,NA,"barrier to upstream movement","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_GRIMES_SUMM_0003_1.jpeg","ALGER","GRIMES","2-190"
82940956,13.962,8.839,NA,NA,NA,NA,NA,68,NA,"none",NA,"no",NA,NA,NA,12.222,NA,NA,12,"October",1982,14,"October",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HEMLOCK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HEMLOCK_SUMM_0001_2.jpeg",NA,NA,66,NA,"medium","light","medium","light",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_HEMLOCK_SUMM_0001_1.jpeg","ALGER","HEMLOCK","2-613"
82940957,40.065,3.353,NA,NA,NA,NA,NA,NA,NA,"beaver dam",NA,"yes",NA,"0.914",NA,18.333,NA,NA,22,"May",1989,26,"May",1989,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HOVEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HOVEY_SUMM_0001_2.jpeg",NA,2.1,100,NA,"light","none","light","none",6,NA,NA,NA,NA,NA,NA,NA,"barrier","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_HOVEY_SUMM_0001_1.jpeg","ALGER","HOVEY","2-181"
82940958,13.153,6.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.222,NA,NA,30,"May",1989,1,"June",1989,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_ISLAND_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_ISLAND_SUMM_0001_2.jpeg",NA,1.8,85,NA,"lighttomedium","lighttonone","medium","light",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_ISLAND_SUMM_0001_1.jpeg","ALGER","ISLAND","2-206"
82940959,13.679,9.448,10,NA,NA,NA,NA,0,17,"none",NA,"no",NA,NA,NA,10.556,NA,NA,14,"October",1982,15,"October",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_LAMBERT_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_LAMBERT_SUMM_0001_2.jpeg",NA,NA,85,NA,"light","light","light","light",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_LAMBERT_SUMM_0001_1.jpeg","ALGER","LAMBERT","2-622"
82940960,4.452,3.048,NA,NA,NA,NA,NA,0,5,"none",NA,"no",NA,NA,NA,12.222,NA,NA,13,"October",1982,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_MARSHMAN_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_MARSHMAN_SUMM_0001_2.jpeg",NA,NA,100,NA,"light","light","light","light",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_MARSHMAN_SUMM_0001_1.jpeg","ALGER","MARSHMAN","2-611"
82940961,14.164,3.657,NA,NA,NA,NA,NA,17,NA,"beaver dam",NA,"yes",NA,"0.152",NA,NA,NA,NA,14,"October",1982,15,"October",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_OWL_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_OWL_SUMM_0001_2.jpeg",NA,NA,NA,NA,"light","none","light","none",NA,0,0,NA,NA,NA,NA,NA,"effective barrier","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_OWL_SUMM_0001_1.jpeg","ALGER","OWL","2-621"
82940962,20.599,6.096,NA,NA,NA,NA,NA,0,10,"none",NA,"no",NA,NA,NA,12.778,NA,NA,12,"October",1982,13,"October",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_SAND48NR14W20_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_SAND48NR14W20_SUMM_0001_2.jpeg",NA,NA,70,NA,"medium","light","medium","light",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_SAND48NR14W20_SUMM_0001_1.jpeg","ALGER","SAND","2-592"
82940963,12.141,4.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.111,NA,NA,13,"June",1989,21,"June",1989,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_THORNTON_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_THORNTON_SUMM_0002_2.jpeg",NA,1.3,100,NA,"mediumtoheavy","","heavy",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_THORNTON_SUMM_0002_1.jpeg","ALGER","THORNTON","2-1"
82940964,17.968,8.229,NA,NA,NA,NA,NA,0,10,"none",NA,"no",NA,NA,NA,8.889,NA,NA,11,"October",1982,12,"October",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_TRIANGLE_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_TRIANGLE_SUMM_0001_2.jpeg",NA,NA,80,NA,"medium","light","medium","light",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_TRIANGLE_SUMM_0001_1.jpeg","ALGER","TRIANGLE","2-614"
82940966,48.563,5.6,0.671,NA,NA,NA,NA,13.6,27.2,"none",NA,"no",NA,NA,NA,21,18,7.2,24,"July",1981,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/BARAGA_STJOHNS_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/BARAGA_STJOHNS_SUMM_0001_2.jpeg",NA,NA,95,NA,"lighttomoderate","light","medium","light",3,0,0,1,NA,NA,NA,NA,NA,NA,0.8,4.4,6,NA,1.2,NA,NA,NA,2,4,"BARAGA_STJOHNS_SUMM_0001_1.jpeg","BARAGA","STJOHNS","7-57"
82940969,60.704,NA,5.486,NA,NA,NA,NA,200,1161,"none",NA,"no",NA,NA,NA,21.1,11,7.7,29,"August",1946,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BROWNS_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BROWNS_SUMM_0001_2.jpeg",NA,NA,85,NA,"light","light","light","light",0,0,0,0,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,"no",NA,NA,"JACKSON_BROWNS_SUMM_0001_1.jpeg","JACKSON","BROWNS","38-397"
82940970,234.723,15.239,2.794,NA,NA,NA,NA,141,NA,"yes",NA,"yes",NA,"1.067",NA,26.667,11.667,7.5,11,"August",1953,14,"August",1953,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLARK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLARK_SUMM_0001_2.jpeg",NA,NA,60,NA,"heavy","medium","heavy","medium",375,3,4,2,NA,NA,NA,NA,"stops fish movement, except during high water.","yes",0,5.2,6.4,NA,0.4,NA,NA,NA,7.62,10.667,"JACKSON_CLARK_SUMM_0001_1.jpeg","JACKSON","CLARK","38-518"
82940972,55.443,10.058,3.353,NA,NA,NA,NA,129,170,NA,NA,NA,NA,NA,NA,26,14.4,5,15,"July",1936,22,"July",1936,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLEAR_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLEAR_SUMM_0001_2.jpeg",NA,1.4,75,NA,"heavy","medium","heavy","medium",NA,NA,1,0,NA,NA,2,NA,NA,NA,0.3,NA,8,NA,NA,28.3,NA,"yes",6.4,9.144,"JACKSON_CLEAR_SUMM_0001_1.jpeg","JACKSON","CLEAR","38-32"
82940973,33.387,7.62,2.133,NA,NA,NA,NA,100,NA,"no",NA,"no",NA,NA,NA,26.111,16.667,6.2,23,"June",1953,12,"August",1953,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CRISPELL_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CRISPELL_SUMM_0001_2.jpeg",NA,NA,85,NA,"heavy","light","heavy","light",20,1,0,0,NA,NA,NA,NA,NA,NA,NA,4.2,6,NA,0.4,NA,NA,NA,4.572,6.096,"JACKSON_CRISPELL_SUMM_0001_1.jpeg","JACKSON","CRISPELL","38-559"
82940974,86.2,13.106,1.829,NA,NA,NA,NA,153,NA,"no",NA,"no",NA,NA,NA,23.889,15,7.5,19,"June",1953,25,"June",1953,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FARWELL_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FARWELL_SUMM_0001_2.jpeg",NA,NA,50,NA,"medium","medium","medium","medium",14,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,8.3,NA,NA,NA,7.62,9.144,"JACKSON_FARWELL_SUMM_0001_1.jpeg","JACKSON","FARWELL","38-601"
82940976,4.533,3.962,1.346,NA,NA,NA,NA,220,222,NA,NA,NA,NA,NA,NA,26.8,22,2.23,13,"July",1944,15,"July",1944,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FREYMUTH_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FREYMUTH_SUMM_0001_2.jpeg",NA,NA,80,NA,"light","light","light","light",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5.63,NA,NA,NA,NA,"no",NA,NA,"JACKSON_FREYMUTH_SUMM_0001_1.jpeg","JACKSON","FREYMUTH",NA
82940978,4.047,2.743,1.372,NA,NA,NA,NA,155,177,"none, becomes a drainage ditch",NA,"no",NA,NA,NA,20,18.889,5.24,23,"June",1944,26,"June",1944,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HEYDLAUFF_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HEYDLAUFF_SUMM_0001_2.jpeg",NA,NA,100,NA,"littleornone","light","light","light",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,"no",NA,NA,"JACKSON_HEYDLAUFF_SUMM_0001_1.jpeg","JACKSON","HEYDLAUFF",NA
82940980,21.246,3.657,1.219,NA,NA,NA,NA,230,238,"none",NA,"no",NA,NA,NA,22.7,18.5,4.46,19,"July",1944,21,"July",1944,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HOFFMAN_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HOFFMAN_SUMM_0001_2.jpeg",NA,NA,90,NA,"light","light","light","light",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6.21,NA,NA,NA,NA,"no",NA,NA,"JACKSON_HOFFMAN_SUMM_0001_1.jpeg","JACKSON","HOFFMAN",NA
82940982,38.851,8.229,3.048,NA,NA,NA,NA,154,NA,"no",NA,"no",NA,NA,NA,25.556,18.889,7.3,5,"August",1953,11,"August",1953,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_LIME_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_LIME_SUMM_0001_2.jpeg",NA,NA,80,NA,"medium","light","medium","light",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,0.8,NA,NA,NA,4.572,6.705,"JACKSON_LIME_SUMM_0001_1.jpeg","JACKSON","LIME","38-425"
82940984,35.815,3.657,1.448,NA,NA,NA,NA,135,137,NA,NA,NA,NA,NA,NA,23.15,19.3,7.18,28,"July",1944,29,"July",1944,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_MERKLE_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_MERKLE_SUMM_0001_2.jpeg",NA,NA,100,NA,"medium","light","medium","light",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8.63,NA,NA,NA,NA,"no",NA,NA,"JACKSON_MERKLE_SUMM_0001_1.jpeg","JACKSON","MERKLE","38-8"
82940986,1711.858,9.144,1.829,3.048,NA,NA,NA,78,87,"yes",NA,"yes",NA,"1.219",NA,21,20.8,7.1,27,"July",1942,10,"August",1942,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/Mackinac_Brevort_SUMM_055.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/Mackinac_Brevort_SUMM_056.jpg",NA,1.5,NA,NA,"medium","notopen","medium","none",110,9,9,1,NA,NA,NA,NA,"prevents movement of fish to and from the lake","yes",7,NA,7.8,7.1,NA,23.3,21.7,"no",NA,NA,"Mackinac_Brevort_SUMM_055.jpg","MACKINAC","BREVORT","49-97"
82940988,402.671,5.486,NA,NA,NA,NA,NA,NA,NA,"no",NA,"no",NA,NA,NA,NA,NA,NA,27,"July",1948,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/Mackinac_East_SUMM_016.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/Mackinac_East_SUMM_017.jpg",NA,NA,95,NA,"medium","none","medium","none",6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mackinac_East_SUMM_016.jpg","MACKINAC","EAST","49-166"
82940989,95.103,15.239,3.048,3.353,NA,NA,NA,113,145,"yes.",NA,"yes",NA,"0.914",NA,NA,12,8,25,"August",1946,27,"August",1946,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/Mecosta_Blue_SUMM_012.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/Mecosta_Blue_SUMM_013.jpg",NA,1.33,NA,NA,"medium","medium","medium","medium",75,1,2,0,NA,NA,NA,NA,"no fish barrier in spring - 15feet cement apron with 6"" head above.","yes",0,NA,4,NA,NA,NA,14.1,"yes",7.62,10.667,"Mecosta_Blue_SUMM_012.jpg","MECOSTA","BLUE","54-53"
82940991,14.65,6.5,NA,NA,NA,NA,NA,29,NA,"none",NA,"no",NA,NA,NA,22.5,12,8.2,17,"June",1985,20,"June",1985,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/NEWAYGO_BITLEY_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/NEWAYGO_BITLEY_SUMM_0002_2.jpeg",NA,NA,55,NA,"lighttomedium","none","medium","none",83,0,NA,3,NA,NA,NA,NA,NA,NA,1,6,6,NA,NA,NA,NA,NA,4,5,"NEWAYGO_BITLEY_SUMM_0002_1.jpeg","NEWAYGO","BITELY","62-451"
