"subject_id","age_group","fish_count","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back","comment","county","lakename","new_key","length_min_mm","length_max_mm","length_mean_mm"
58746370,1,1,7,"November",1985,7,"November",1985,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Trout_GROW_006.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Trout_GROW_005.jpeg",NA,"PresqueIsle","TROUT","71-119",190.5,NA,190.5
58746435,4,1,28,"April",1970,NA,"April",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_028.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_027.jpeg",NA,"PresqueIsle","ESAU","71-127",426.72,NA,426.72
58746441,1,3,30,"October",1990,31,"October",1990,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_006.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Esau_GROW_005.jpeg",NA,"PresqueIsle","ESAU","71-127",297.18,320.04,304.8
58746466,3,7,18,"October",1977,19,"October",1977,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_Macatawa_GROW_212.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_Macatawa_GROW_211.jpeg",NA,"Ottawa","MACATAWA","70-36",510.54,607.06,546.1
58746474,2,1,4,"October",1989,NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_Macatawa_GROW_038.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_Macatawa_GROW_036.jpeg",NA,"Ottawa","MACATAWA","70-36",457.2,NA,457.2
58746497,3,1,6,"November",1981,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_024.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_023.jpeg",NA,"Otsego","PICKEREL","69-318",416.56,NA,416.56
58746499,4,1,26,"October",1983,NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_026.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_025.jpeg",NA,"Otsego","PICKEREL","69-318",363.22,NA,363.22
58746500,3,1,8,"November",1985,NA,"November",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_020.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Pickerel_GROW_019.jpeg",NA,"Otsego","PICKEREL","69-318",269.24,NA,269.24
58746536,3,3,8,"April",1975,8,"April",1975,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LowerChub_GROW_012.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LowerChub_GROW_011.jpeg",NA,"Otsego","LOWERCHUB","69-51",284.48,327.66,307.34
58746540,4,1,5,"October",1992,6,"October",1992,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LowerChub_GROW_004.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_LowerChub_GROW_003.jpeg",NA,"Otsego","LOWERCHUB","69-51",508,NA,508
58746567,2,1,28,"June",1968,NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Emerald_GROW_004.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Emerald_GROW_003.jpeg",NA,"Otsego","EMERALD","69-46",363.22,NA,363.22
58746590,3,3,31,"October",1981,31,"October",1981,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_014.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_013.jpeg",NA,"Otsego","CHUB","69-66",419.1,474.98,454.66
58746591,2,13,2,"May",1973,2,"May",1973,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_012.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Chub_GROW_011.jpeg",NA,"Otsego","CHUB","69-66",289.56,350.52,327.66
58746594,3,3,27,"October",1981,NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_016.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_015.jpeg",NA,"Otsego","BRIDGE","69-78",495.3,525.78,513.08
58746596,3,3,27,"October",1981,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_012.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bridge_GROW_011.jpeg",NA,"Otsego","BRIDGE","69-78",495.3,525.78,513.08
58746600,5,1,11,"October",1979,11,"October",1979,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_006.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_005.jpeg",NA,"Otsego","BRADFORD","69-86",610,NA,610
58746606,4,5,5,"November",1970,5,"November",1970,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_032.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Big_GROW_031.jpeg",NA,"Otsego","BIG","69-157",401.32,561.34,472.44
58746608,2,3,28,"June",1968,28,"June",1968,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_BellMarie_GROW_004.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_BellMarie_GROW_003.jpeg",NA,"Otsego","BELLMARIE","69-56",335.28,360.68,350.52
58753884,1,3,29,"October",1985,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Boyne Falls Pond2.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Boyne Falls Pond2p2.jpg",NA,"Charlevoix","BOYNEFALLS","15-14",241.3,254,248.92
58753885,1,1,29,"October",1981,NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Boyne Falls Pond3.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Boyne Falls Pond3p2.jpg",NA,"Charlevoix","BOYNEFALLS","15-14",165.1,NA,165.1
58753887,1,3,29,"October",1985,29,"October",1985,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_BoyneFallsPond_GROW_01.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_BoyneFallsPond_GROW_01p2.jpg",NA,"Charlevoix","BOYNEFALLS","15-14",241.3,254,248.92
58753888,1,1,29,"October",1981,29,"October",1981,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_BoyneFallsPond_GROW_3.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_BoyneFallsPond_GROW_3p2.jpg",NA,"Charlevoix","BOYNEFALLS","15-14",165.1,NA,165.1
58753889,2,42,12,"June",1992,14,"June",1992,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix4_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix4p2_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",355.6,533.4,441.96
58753891,1,2,29,"October",1990,2,"November",1990,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix44_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix44p2_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",320.04,327.66,325.12
58753894,1,9,24,"July",1985,27,"July",1985,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix49_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix49p2_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",193.04,233.68,210.82
58753898,2,1,12,"May",1992,21,"May",1992,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix5p4_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix5p5_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",408.94,NA,408.94
58753899,2,1,12,"July",1979,NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix72_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix72p2_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",295,NA,295
58753901,1,1,25,"August",1978,29,"August",1978,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix71p4_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix71p5_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",205.74,NA,205.74
58753903,2,1,22,"September",1976,22,"September",1976,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix78_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix78p2_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",259.08,NA,259.08
58753908,2,2,18,"July",1968,18,"July",1968,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix92_GROW.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Charlevoix92p2_GROW.jpg",NA,"Charlevoix","CHARLEVOIX","15-21",332.74,345.44,337.82
58753924,1,13,14,"June",1977,14,"June",1977,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0002.jpg",NA,NA,NA,NA,127,193.04,157.48
58753937,3,2,21,"October",1986,29,"October",1986,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_052_GROW_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_052_GROW_0002.jpg",NA,"Charlevoix","WALLOON","15-25",337.82,391.16,365.76
58753940,4,3,5,"October",1977,5,"October",1977,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_053_GROW_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_053_GROW_0002.jpg",NA,"Charlevoix","WALLOON","15-25",444.5,500.38,469.9
58753942,4,2,14,"October",1976,14,"October",1976,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_135_GROW_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Walloon_135_GROW_0002.jpg",NA,"Charlevoix","WALLOON","15-25",601.98,619.76,609.6
58753957,2,4,18,"June",1975,25,"June",1975,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_227.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_228.jpg",NA,"Cheboygan","BURT","16-193",297.18,309.88,302.26
58753958,2,4,18,"June",1975,24,"June",1975,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_229.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_230.jpg",NA,"Cheboygan","BURT","16-193",297.18,309.88,302.26
58753959,3,1,6,"May",1975,15,"May",1975,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_233.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_234.jpg",NA,"Cheboygan","BURT","16-193",297.18,NA,297.18
58754201,1,3,3,"May",1993,6,"May",1993,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_Hoister_GROW_006.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_Hoister_GROW_007.jpg",NA,"Clare","HOISTER","26-33",180.34,233.68,210.82
58754206,1,9,27,"September",1988,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_039.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_040.jpg",NA,"Clare","LONG LITTLE","18-215",241.3,287.02,264.16
58754207,2,3,21,"July",1971,22,"July",1971,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_061.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_062.jpg",NA,"Clare","LONG LITTLE","18-215",363.22,457.2,398.78
58754208,1,1,28,"August",1985,28,"August",1985,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_041.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_042.jpg",NA,"Clare","LONG LITTLE","18-215",269.24,NA,269.24
58754209,3,13,1,"September",1966,1,"September",1966,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_063.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_064.jpg",NA,"Clare","LONG LITTLE","18-215",322.58,421.64,365.76
58754210,2,1,21,"April",1992,23,"April",1992,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_164.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_LittleLong_GROW_165.jpg",NA,"Clare","LONG LITTLE","18-215",358.14,NA,358.14
58754303,2,3,28,"April",1969,NA,"April",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Jones_GROW_028.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Jones_GROW_029.jpg",NA,"Crawford","JONES","20-96",NA,NA,243.84
58754327,7,3,30,"April",1982,5,"May",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_048.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_049.jpg",NA,"Crawford","SHUPAC","20-76",614.68,673.1,647.7
58754331,5,3,12,"September",1975,12,"September",1975,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_054.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_055.jpg",NA,"Crawford","SHUPAC","20-76",604.52,690.88,670.56
58754382,4,1,20,"May",1991,22,"May",1991,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Smallwood_GROW_175.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Smallwood_GROW_176.jpg",NA,"Gladwin","WOOD SMALL","26-12",604.52,NA,604.52
58754388,1,1,8,"September",1986,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Streaked_GROW_045.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Streaked_GROW_046.jpg",NA,"Gladwin","STREAKED","26-35",154.94,NA,154.94
58754513,4,1,16,"June",1987,20,"June",1987,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_Boardman_GROW_019.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_Boardman_GROW_020.jpg",NA,"GrandTraverse","BOARDMAN","28-187",513.08,NA,513.08
58754522,3,1,23,"June",1986,27,"June",1986,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_BrownBridgePond_GROW_010.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_BrownBridgePond_GROW_011.jpg",NA,"GrandTraverse","BROWNBRIDGE","28-95",317.5,NA,317.5
58754535,4,1,10,"June",1991,14,"June",1991,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_Duck_GROW_072.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_Duck_GROW_073.jpg",NA,"GrandTraverse","DUCK","28-124",NA,NA,391.16
58754542,3,7,4,"May",1981,8,"May",1981,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_Green_GROW_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_Green_GROW_008.jpg",NA,"GrandTraverse","GREEN","28-56",307.34,375.92,342.9
58754559,3,1,9,"June",1986,12,"June",1986,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_SabinPond_GROW_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/GrandTraverse_SabinPond_GROW_010.jpg",NA,NA,NA,NA,368.3,NA,368.3
58754689,0,1,27,"September",1993,28,"September",1993,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iosco_Tawas_GROW_015.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iosco_Tawas_GROW_016.jpg",NA,"Iosco","TAWAS","35-54",116.84,NA,116.84
58754723,1,27,28,"July",1983,28,"July",1983,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_CooksRunPond_GROW_003.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_CooksRunPond_GROW_004.jpg",NA,NA,NA,NA,129.54,276.86,167.64
58754727,2,1,21,"May",1987,22,"May",1987,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_CrystalFallsPond_GROW_006.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_CrystalFallsPond_GROW_007.jpg",NA,NA,NA,NA,NA,NA,215.9
58754733,4,1,21,"October",1993,26,"October",1993,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Ellen_GROW_075.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Ellen_GROW_076.jpg",NA,"Iron","ELLEN","36-553",533.4,NA,533.4
