subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments
58749861,"[['Fairly'], ['abundant'], ['in'], ['the'], ['shallower'], ['water']]",1,Fairly abundant in the shallower water,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Howes_FISHc_056.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Howes_FISHc_057.jpg,
58749943,"[['Large'], ['numbers'], ['of'], ['minnows'], ['observed.']]",1,Large numbers of minnows observed.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_House_FISHc_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_House_FISHc_054.jpg,
58749965,"[['Set'], ['2:15;'], ['lift'], ['10:15']]",1,Set 2:15; lift 10:15,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Peach_FISHc_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Peach_FISHc_004.jpg,
58750004,"[['No'], ['fish'], ['?'], ['crossed'], ['through']]",1,No fish ? crossed through,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_049.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Ross_FISHc_050.jpg,
58750275,"[['3'], ['p.m.'], ['8-3'], ['9'], ['a.m.'], ['8-4']]",1,3 p.m. 8-3 9 a.m. 8-4,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Albino_FISHc_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Albino_FISHc_014.jpg,
58750334,[['21']],1,21,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cloverleaf_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cloverleaf_FISHc_019.jpg,
58750371,"[['Approv.'], ['by'], ['T.'], ['B.'], ['Durling,'], ['District'], ['Fisheries'], ['Supervisor']]",1,"Approv. by T. B. Durling, District Fisheries Supervisor","Approv. by T. B. Durling, District Fisheries Supervisor",remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cyrus_FISHc_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cyrus_FISHc_015.jpg,
58750426,[['r3ffr']],1,r3ffr,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Elbow_FISHc_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Elbow_FISHc_033.jpg,
58750440,"[['Insect'], ['nymphs'], ['abundant'], ['and'], ['found'], ['predominant'], ['in'], ['stomachs'], ['of'], ['large'], ['trout.']]",1,Insect nymphs abundant and found predominant in stomachs of large trout.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_FingerBig_FISHc_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_FingerBig_FISHc_033.jpg,
58750521,"[['5'], ['crayfish'], ['taken'], ['in'], ['net'], ['-'], ['2'], ['were'], ['soft'], ['shelled'], ['and'], ['2'], ['were'], ['only'], ['partly'], ['hardened;'], ['1'], ['was'], ['1""'], ['long'], ['from'], ['rosturm'], ['to'], ['end'], ['of'], ['tail.'], ['They'], ['were'], ['eating'], ['fish.']]",1,"5 crayfish taken in net - 2 were soft shelled and 2 were only partly hardened; 1 was 1"" long from rosturm to end of tail. They were eating fish.",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_218.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_219.jpg,
58750628,"[['Lake'], ['trout'], ['stomach'], ['full'], ['of'], ['smelt.']]",1,Lake trout stomach full of smelt.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_072.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_073.jpg,
58750640,"[['Leeches'], ['and'], ['insect'], ['larvae']]",1,Leeches and insect larvae,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_102.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Imp_FISHc_103.jpg,
58750714,"[['The', '', 'The'], ['survery', '', 'survey'], ['was', '', 'was'], ['conducted', '', 'conducted'], ['to', '', 'to'], ['evaluate', '', 'evaluate'], ['the', '', 'the'], ['walleys', '', 'walleye'], ['fry', '', 'fry'], ['introductions', '', 'introductions'], ['of', '', 'of'], ['1968', '1968', '1968'], ['&', '', '&'], ['1969', '', '1969'], ['and', '', 'and'], ['muskellunge', 'muskellunge', 'muskellunge'], ['plantings', '', 'plantings'], ['of', '', 'of'], ['1968', '', '1968'], ['and', '', 'and'], ['1969', '', '1969.'], ['', '', 'Results'], ['', '', 'are'], ['', '', 'as'], ['', '', 'follows:'], ['', '', '(data'], ['', '', 'table)']]",1.740740741,The survery was conducted to evaluate the walleys fry introductions of 1968 & 1969 and muskellunge plantings of 1968 and 1969 Results are as follows: (data table),The survery was conducted to evaluate the walleys fry introductions of 1968 & 1969 and muskellunge plantings of 1968 and 1969 Results are as follows: (data table),remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_043.jpg,
58750883,"[['[[signature]]'], ['Approved'], ['By'], ['T.'], ['S.'], ['Darling,'], ['Dist.'], ['Fisheries'], ['Supervisor']]",1,"[[signature]] Approved By T. S. Darling, Dist. Fisheries Supervisor","Approv. by T. B. Durling, District Fisheries Supervisor",remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Redboat_FISHc_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Redboat_FISHc_034.jpg,
58750900,"[['Leeches'], ['abundant']]",1,Leeches abundant,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Sucker_FISHc_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Sucker_FISHc_021.jpg,
58750980,"[['None'], ['observed'], ['particularly']]",1,None observed particularly,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Arbutus_FISHc_093.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Arbutus_FISHc_094.jpg,
58751053,"[['May'], ['flies'], ['abundant']]",1,May flies abundant,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Fife_FISHc_136.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Fife_FISHc_137.jpg,
58751065,"[['West'], ['side'], ['of'], ['peninsula'], ['near'], ['base,'], ['450'], ['feet'], ['from'], ['shore.']]",1,"West side of peninsula near base, 450 feet from shore.",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Green_FISHc_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Green_FISHc_034.jpg,
58751125,"[['Bottom', 'Bottom'], ['pilphy', '[illegible]'], ['Peat', 'peat'], ['and', 'and'], ['organic', 'organic'], ['materials', '[illegible]'], ['decaying', 'decaying'], ['plants', 'plants']]",1.625,Bottom pilphy Peat and organic materials decaying plants,Bottom pilphy Peat and organic materials decaying plants,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Rennie_FISHc_044.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Rennie_FISHc_045.jpg,
58751574,[['d']],1,d,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_BassBig_FISHc_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_BassBig_FISHc_028.jpg,
58751670,"[['NET', 'Net'], ['STOLEN', 'net'], ['', 'stolen']]",1,NET STOLEN stolen,Net stolen,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Brule_FISHc_058.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Brule_FISHc_059.jpg,
58751683,"[['Abundant'], ['-'], ['midges'], ['larvae'], ['very'], ['abundant']]",1,Abundant - midges larvae very abundant,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Camp_FISHc_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Camp_FISHc_022.jpg,
58751712,"[['Grayfish'], ['in'], ['net.']]",1,Grayfish in net.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Chicagon_FISHc_093.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Chicagon_FISHc_094.jpg,
58751738,"[['Orig:File'], ['CC:'], ['Region'], ['Institute'], ['Sept.'], ['11-12,'], ['1957']]",1,"Orig:File CC: Region Institute Sept. 11-12, 1957",Orig:File CC: Region Institute,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Deadmans_FISHc_028.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Deadmans_FISHc_029.jpg,
58751849,"[['Y.'], ['perch,'], ['C.W.'], ['suckers']]",1,"Y. perch, C.W. suckers",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Gibson_FISHc_043.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Gibson_FISHc_044.jpg,
58751941,"[['Lake', 'Lake'], ['with', 'with'], ['abnormal', 'abnormal'], ['', 'amounts'], ['of', 'of'], ['plankton.', 'plankton.'], ['Farms', 'Farms'], ['around', 'around'], ['shore', 'shore'], ['(4).', '(4).'], ['Land', 'Land'], ['on', 'on'], ['north', 'north'], ['shore', 'shore'], ['mostly', 'mostly'], ['owned', 'owned'], ['by', 'by'], ['Angeli', 'Angeli'], ['of', 'of'], ['Iron', 'Iron'], ['River.', 'River.']]",1.952380952,Lake with abnormal amounts of plankton. Farms around shore (4). Land on north shore mostly owned by Angeli of Iron River.,Lake with abnormal amounts of plankton. Farms around shore (4). Land on north shore mostly owned by Angeli of Iron River.,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Iron_FISHc_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Iron_FISHc_033.jpg,
58751951,"[['not'], ['mentioned']]",1,not mentioned,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Iron_FISHc_052.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Iron_FISHc_053.jpg,
58752061,"[['Orig:File'], ['CC:Region'], ['Institute']]",1,Orig:File CC:Region Institute,Orig:File CC: Region Institute,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Nesbit_FISHc_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Nesbit_FISHc_009.jpg,
58752067,"[['Some'], ['insect'], ['larvae']]",1,Some insect larvae,Orig:File CC: Region Institute,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Norway_36-1488_1960_FISHc_002_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Norway_36-1488_1960_FISHc_002_02.jpg,
58752420,"[['Dragonfly,'], ['crayfish,'], ['mayfly,'], ['minnows']]",1,"Dragonfly, crayfish, mayfly, minnows",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Clark_FISHc_043.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Clark_FISHc_044.jpg,
58752435,"[['Crayfish,', 'Crayfish,'], ['Leeches,', 'Leeches,'], ['a', 'a'], ['very', 'very'], ['few', 'few'], ['minnows', 'minnows'], ['and', 'and'], ['aquatic', 'aquatic'], ['insects', 'insects'], ['in', 'in'], ['the', 'the'], ['vegetation.', 'vegetation.'], ['On', ''], ['the', ''], ['whole', ''], ['the', ''], ['food', ''], ['is', ''], ['scarce.', '']]",1.631578947,"Crayfish, Leeches, a very few minnows and aquatic insects in the vegetation. On the whole the food is scarce.",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Clear_FISHc_078.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Clear_FISHc_079.jpg,
58752444,"[['Crayfish,'], ['Minnows']]",1,"Crayfish, Minnows",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Farwell_FISHc_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Farwell_FISHc_034.jpg,
58752499,"[['Minnows,'], ['Crayfish,'], ['Dragonfly'], ['mymphs']]",1,"Minnows, Crayfish, Dragonfly mymphs",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_LimeNorth_FISHc_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_LimeNorth_FISHc_014.jpg,
58752501,"[['Crayfish,'], ['minnows']]",1,"Crayfish, minnows",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_LimeNorth_FISHc_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_LimeNorth_FISHc_018.jpg,
58752580,"[['Northeast'], ['of'], ['dam'], ['about'], [""600'.""]]",1,Northeast of dam about 600'.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Sweezy_FISHc_038.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Sweezy_FISHc_039.jpg,
58752966,"[['(see', '(See'], ['note', 'note'], ['and', 'and'], ['reference', 'reference'], ['sheet', 'sheet'], ['for', 'for'], ['length', 'length'], ['frequencies)', 'frequencies.)'], ['Where?', '']]",1.666666667,(see note and reference sheet for length frequencies) Where?,(see note and reference sheet for length frequencies) where?,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_PineIslandBig_FISHc_081.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_PineIslandBig_FISHc_082.jpg,
58753041,"[['Overcast'], ['and'], ['warm.'], ['Warm'], ['and'], ['cloudy.']]",1,Overcast and warm. Warm and cloudy.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_WabasisBig_FISHc_057.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_WabasisBig_FISHc_058.jpg,
58753173,"[['Not'], ['noted.']]",1,Not noted.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Manganese_FISHc_106.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Manganese_FISHc_107.jpg,
58753429,[['Crayfish']],1,Crayfish,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Wolf_FISHc_191.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Wolf_FISHc_192.jpg,
58753546,"[['A'], ['few'], ['gizzard'], ['shad'], ['and'], ['alewives.']]",1,A few gizzard shad and alewives.,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ottawa_Macatawa_FISHc_174.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ottawa_Macatawa_FISHc_175.jpeg,
58753683,"[['Parasitized', 'Parasited', 'Parasitism'], ['with', 'with', 'with'], ['tapeworm', 'tapeworm', 'tapeworm'], ['cysts', 'cysts', '[unclear'], ['', '', '(eggs?)]'], ['in', 'in', 'in'], ['mussels', 'mussels', 'muscle'], ['(40', '(40%)', '(4070)'], ['70)', '', '']]",1.888888889,Parasitized with tapeworm cysts (eggs?)] in mussels (40 70),Parasitized with tapeworm cysts in muscel (40 %),remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Blind_81-5_1946_FISHc_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Blind_81-5_1946_FISHc_001_02.jpg,
58753832,"[['ALONG'], ['EMERGENT'], ['MARSH'], ['GRASS'], ['&'], ['RUSHES']]",1,ALONG EMERGENT MARSH GRASS & RUSHES,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Green_FISHc_20200224123234844_0088.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Green_FISHc_20200224123234844_0089.jpg,
59105514,"[['Golden'], ['Shiners,'], ['Minnows,'], ['Chironomid'], ['larva']]",1,"Golden Shiners, Minnows, Chironomid larva",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Kaiser_FISHc_018.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Kaiser_FISHc_017.jpeg,
59105547,"[['Chironomid'], ['larva,'], ['dragonfly'], ['nymphs,'], ['small'], ['game'], ['fish,'], ['crayfish,'], ['minnows.']]",1,"Chironomid larva, dragonfly nymphs, small game fish, crayfish, minnows.",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Corey_FISHc_076.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Corey_FISHc_075.jpeg,
59105548,"[['No', 'Chironomid', 'No', 'No'], ['', 'larvae,', '', ''], ['', 'small', '', ''], ['', 'game', '', ''], ['fish', 'fish', 'Fish', 'Fish']]",1.6,"No larvae, small game fish",No Fish.,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Corey_FISHc_078.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Corey_FISHc_077.jpeg,
59105549,"[['Crayfish'], ['&'], ['Minnows']]",1,Crayfish & Minnows,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Corey_FISHc_058.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/StJoseph_Corey_FISHc_057.jpeg,
59105613,[['1']],1,1,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Petes_FISHc_080.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Petes_FISHc_079.jpeg,
59105775,"[['Small'], ['fish']]",1,Small fish,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Indian_FISHc_040.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Indian_FISHc_039.jpeg,
