subject_id,gear_used_kind,gear_used_mesh,gear_used_length,gear,gear2,number,gear_mesh,mesh_units,gear_length,length_units,gear_effort,gear_effort_units,front,back,comments
58642494,"2 - 2-125feet gill nets (1-125feet x graded exp., 1-125feet x 1inches bar) 200 sq. feet coverage, common sense minnow seine, 0.25inches.",common sense minnow seine 0.25 inches ,200 square feet ,gill,bar,1,1,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Glasson_FISHc_20200313160700287_0007.jpeg,NA,
58642507,"2 - 125feet x graded exp. gill net, 1-125feet - 125feet x 1 0.25inches bar gill net.",NA,125 feet,gill,exp,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,NA,
58642507,"2 - 125feet x graded exp. gill net, 1-125feet - 125feet x 1 0.25inches bar gill net.",NA,125 feet,gill,bar,1,1.25,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,NA,
58642508,"2 - 125feet feet x graded exp. gill net, 1 - 125 feet x 1 0.25 in bar gill net",NA,125 feet,gill,exp,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0003.jpeg,NA,
58642508,"2 - 125feet feet x graded exp. gill net, 1 - 125 feet x 1 0.25 in bar gill net",NA,125 feet,gill,bar,1,1.25,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0003.jpeg,NA,
58642533,"2-125feet experimental gill nets, 1-1inches bar, 1-1.5feet bar",NA,125 feet,gill,experimental,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0010.jpeg,NA,
58642533,"2-125feet experimental gill nets, 1-1inches bar, 1-1.5feet bar",NA,125 feet,gill,bar,1,1,inches,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0010.jpeg,NA,
58642533,"2-125feet experimental gill nets, 1-1inches bar, 1-1.5feet bar",,125 feet,gill,bar,1,1.5,inches,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0010.jpeg,NA,
58642553,"2 2-linen, 4 nylon gill nets",exp. & 1-1/8 bar,125-250 feet,gill,exp,5,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164026272_0007.jpeg,NA,
58642553,"2 2-linen, 4 nylon gill nets",exp. & 1-1/8 bar,125-250 feet,gill,bar,1,1-0.125,inches,250,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164026272_0007.jpeg,NA,
58642557,"2 - linen, 4 nylon gill nets",exp. & 1-1/8inches.5inches bar,125-250 feet,gill,exp,5,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164026272_0008.jpeg,NA,
58642557,"2 - linen, 4 nylon gill nets",exp. & 1-1/8inches.5inches bar,125-250 feet,gill,bar,1,1-0.125,inches,250,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164026272_0008.jpeg,NA,
58642567,gill nets,1.5 bar experimental inches ,125 feet,gill,experimental,1,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0006.jpeg,NA,
58642567,gill nets,1.5 bar experimental inches ,125 feet,gill,bar,2,1.5,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0006.jpeg,NA,
58642570,"2-125feet gill nets, (1-125feet x graded exp., 1-125feet x 1inches bar)",NA,NA,gill,exp,1,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0008.jpeg,NA,
58642570,"2-125feet gill nets, (1-125feet x graded exp., 1-125feet x 1inches bar)",NA,NA,gill,bar,1,1,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0008.jpeg,NA,
58642588,"2 fyke, 2 trap, and 2 gill nets",NA,NA,gill,gill,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ottawa_Crockery_FISHc_30.jpeg,NA,
58642588,"2 fyke, 2 trap, and 2 gill nets",NA,NA,fyke,fyke,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ottawa_Crockery_FISHc_30.jpeg,NA,
58642588,"2 fyke, 2 trap, and 2 gill nets",NA,NA,trap,trap,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ottawa_Crockery_FISHc_30.jpeg,NA,
58642590,1 experimental gill net 1 trap net - 24 hour set,NA,NA,gill,experimental,1,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ottawa_Macatawa_FISHc_158.jpeg,NA,
58642590,1 experimental gill net 1 trap net - 24 hour set,NA,NA,trap,trap,1,,,,,24,hours,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ottawa_Macatawa_FISHc_158.jpeg,NA,
58748589,"seine, dip net","0.25 inches, , common",8 feet & 3 feet sq.,seine,common,1,0.25,inches,8,feet,8 to 10,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31p2.jpg,
58748589,"seine, dip net","0.25 inches, , common",8 feet & 3 feet sq.,dipnet,dip,1,,,3,sqfeet,8 to 10,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31p2.jpg,
58748598,bag seine and common sense seine,0.75-1 inches and 0.25 inches,125feet  and 15feet ,seine,bag,1,0.75-1,inches,125,feet,6,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix129_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix129p2_FISHc.jpg,
58748598,bag seine and common sense seine,0.75-1 inches and 0.25 inches,125feet  and 15feet ,seine,common,1,0.25,inches,15,feet,12,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix129_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix129p2_FISHc.jpg,
58748600,common sense and bag seines,common. s. & 0.25 inches in bag,15 feet and 125 feet,seine,bag,1,0.25,inches,125,feet,1,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix130_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix130p2_FISHc.jpg,
58748600,common sense and bag seines,common. s. & 0.25 inches in bag,15 feet and 125 feet,seine,common,1,,,15,feet,5,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix130_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix130p2_FISHc.jpg,
58748674,bag and common sense seine,0.25inches and common sense,125feet and 20 feet,seine,bag,1,0.25,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Deer_038_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Deer_038_FISHc_0002.jpg,
58748674,bag and common sense seine,0.25inches and common sense,125feet and 20 feet,seine,common,1,,,20,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Deer_038_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Deer_038_FISHc_0002.jpg,
58748820,bag seine & common sense seine,0.25inches inch and common.,30 feet & 15 feet,seine,bag,1,0.25,inches,30,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_146_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_146_FISHc_0002.jpg,
58748820,bag seine & common sense seine,0.25inches inch and common.,30 feet & 15 feet,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_146_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_146_FISHc_0002.jpg,
58748835,common sense seine - bag seine,"common sense, .25 inches bag",15-25 feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_191.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_192.jpg,
58748835,common sense seine - bag seine,"common sense, .25 inches bag",15-25 feet,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_191.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_192.jpg,
58748836,common sense seine - bag seine,common. & and 0.25inches,15feet and 25feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_189.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_190.jpg,
58748836,common sense seine - bag seine,common. & and 0.25inches,15feet and 25feet,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_189.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_190.jpg,
58748881,gill nets,"experimental, 2.5 inch bar",125feet feet (4) - 300feet feet (1),gill,experimental,4,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_255.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_256.jpg,
58748881,gill nets,"experimental, 2.5 inch bar",125feet feet (4) - 300feet feet (1),gill,bar,1,2.5,inches,300,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_255.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_256.jpg,
58748896,common sense seine + bag seine,NA,10 feet + 100 feet,seine,bag,1,,,100,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_285.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_286.jpg,
58748896,common sense seine + bag seine,NA,10 feet + 100 feet,seine,common,1,,,10,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_285.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_286.jpg,
58749039,common sense seine - bag seine,common. & 0.25 0.25inches,15feet feet and 25feet feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_189.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_190.jpg,
58749039,common sense seine - bag seine,common. & 0.25 0.25inches,15feet feet and 25feet feet,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_189.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_190.jpg,
58749040,common sense seine - bag seine,common. & and 0.25inches in bag,15 feet & 25 feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_191.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_192.jpg,
58749040,common sense seine - bag seine,common. & and 0.25inches in bag,15 feet & 25 feet,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_191.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_192.jpg,
58749041,common sense seine + bag seine,common. + 0.25inches in bag,15 feet + 25 feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_193.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_194.jpg,
58749041,common sense seine + bag seine,common. + 0.25inches in bag,15 feet + 25 feet,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_193.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_194.jpg,
58749043,common sense seins--bag seins - bag seine,common. & 0.25 inch in bag,8 to 15 feet + 25 feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_195.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_196.jpg,
58749043,common sense seins--bag seins - bag seine,common. & 0.25 inch in bag,8 to 15 feet + 25 feet,seine,common,1,,,8 to 15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_195.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Mullett_FISHc_196.jpg,
58749046,common sense seine and bag seine,common. and 0.25inches inch in bag,25-75 feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_193.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_194.jpg,
58749046,common sense seine and bag seine,common. and 0.25inches inch in bag,25-75 feet,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_193.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_194.jpg,
58749048,common sense seine - bag seine,0.5 and 0.25 in bag,8 to 15 feet and 25 feet,seine,bag,1,0.25,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_195.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_196.jpg,
58749048,common sense seine - bag seine,0.5 and 0.25 in bag,8 to 15 feet and 25 feet,seine,common,1,,,8 to 15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_195.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_MullettLake_FISHc_196.jpg,
58749069,2 experimental gill nets,0.75inches to 2inches bar measure,250 feet,gill,experimental,2,0.75-2,inches,250,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Roberts_FISHc_069.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Roberts_FISHc_070.jpg,
58749084,2 experimental gill nets,0.75 bar-2 bar inches ,250 feet,gill,experimental,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_RobertsLake_FISHc_069.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_RobertsLake_FISHc_070.jpg,duplicate of card above
58749233,gill net,1inches bar and exp.,250,gill,exp,1,,,250,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Dukes_FISHc_065.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Dukes_FISHc_066.jpg,
58749233,gill net,1inches bar and exp.,250,gill,bar,1,1,inches,250,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Dukes_FISHc_065.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Dukes_FISHc_066.jpg,
58749238,"2 traps, 6 fykes",NA,NA,fyke,fykes,6,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Frenchmans_FISHc_057.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Frenchmans_FISHc_058.jpg,
58749238,"2 traps, 6 fykes",NA,NA,trap,traps,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Frenchmans_FISHc_057.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Frenchmans_FISHc_058.jpg,
58749249,gill net,2 exp. and 1in bar,375,gill,exp,2,,,375,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Highbanks_FISHc_059.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Highbanks_FISHc_060.jpg,
58749249,gill net,2 exp. and 1in bar,375,gill,bar,1,1,inches,375,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Highbanks_FISHc_059.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Highbanks_FISHc_060.jpg,
58749262,hook and line and spear gun,NA,NA,rod,hook,NA,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_051.jpg,
58749262,hook and line and spear gun,NA,NA,spear,spear,NA,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_051.jpg,
58749287,fyke nets (5); 2 gill nets,experimental,gill - 125 gill,gill,experimental,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Soldier_FISHc_025.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Soldier_FISHc_026.jpg,
58749287,fyke nets (5); 2 gill nets,experimental,gill - 125 gill,fyke,fyke,5,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Soldier_FISHc_025.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Soldier_FISHc_026.jpg,
58749288,4 gill nets,"2 exp, 2 bar mesh",125feet,gill,exp,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_012.jpg,
58749288,4 gill nets,"2 exp, 2 bar mesh",125feet,gill,bar,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_012.jpg,
58749459,30-feet bag seine and common sense seine,0.25inches in bag & common. s.,NA,seine,bag,1,0.25,inches,30,feet,10,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_028.jpg,
58749459,30-feet bag seine and common sense seine,0.25inches in bag & common. s.,NA,seine,common,1,,,30,feet,10,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_028.jpg,
58749621,seine,0.25inches inch bar,20feet feet,seine,seine,1,0.25,inches bar,20,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_047.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_048.jpg,
58749649,"bag seine, common. sense seine",0.25inches & common. sense,30 feet & 20 feet,seine,bag,1,0.25,inches,30,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_133.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_134.jpg,
58749649,"bag seine, common. sense seine",0.25inches & common. sense,30 feet & 20 feet,seine,common,1,,,20,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_133.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_134.jpg,
58749650,(2) experimental gill nets ; (2) 2inches; (3) 1.5inches; (3) 1.25inches; (2) 1inches seine ,NA,NA,seine,seine,2,1,inches,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_135.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_136.jpg,
