subject_id,gear_used_kind,gear_used_length,gear_used_mesh,gear,gear2,number,gear_mesh,mesh_units,gear_length,length_units,gear_set,gear_set_units,front,back,comments
59963578,10 feet common. s. seine; 25 feet bag seine,NA,NA,seine,common,1,,,10,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0030_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0030_2.jpeg,
59963605,10 feet common. seine; 25 feet bag seine,NA,NA,seine,bag,1,,,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0041_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0041_2.jpeg,
59963605,10 feet common. seine; 25 feet bag seine,NA,NA,seine,common,1,,,10,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0041_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0041_2.jpeg,
59963606,10 feet common. seine; 25 feet bag seine,NA,NA,seine,bag,1,,,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0042_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0043_2.jpeg,
59963606,10 feet common. seine; 25 feet bag seine,NA,NA,seine,common,1,,,10,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0042_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0043_2.jpeg,
59963609,10 feet common. seine; 25 feet bag seine,NA,NA,seine,bag,1,,,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0045_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0045_2.jpeg,
59963609,10 feet common. seine; 25 feet bag seine,NA,NA,seine,common,1,,,10,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0045_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_HUBBARD_FISHc_0045_2.jpeg,
59963675,3 experimental and 1 straight meshed gill net of 2inches bar,NA,NA,gillnet,experimental,3,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0010_2.jpeg,
59963675,3 experimental and 1 straight meshed gill net of 2inches bar,NA,NA,gillnet,bar,1,2,inches,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0010_2.jpeg,
59963678,6 exp. gills and 1 small fyke,6 x 125 = 250 feet,exp,gillnet,exp,6,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0012_2.jpeg,
59963678,6 exp. gills and 1 small fyke,6 x 125 = 250 feet,exp,fyke net,fyke,1,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0012_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_OBRIEN_FISHc_0012_2.jpeg,
59963716,bag seine & common. s. seine,30 feet & 15 feet,.25inches & common sense,seine,bag,1,0.25,inches,30,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0019_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0019_2.jpeg,
59963716,bag seine & common. s. seine,30 feet & 15 feet,.25inches & common sense,seine,common,1,,,15,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0019_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0019_2.jpeg,
59963733,seines,20 feet bag and 10feet feet,.25inches inch bag & common sense,seine,bag,1,0.25,inches,20,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0022_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0022_2.jpeg,ask Kevin
59963733,seines,20 feet bag and 10feet feet,.25inches inch bag & common sense,seine,common,1,,,10,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0022_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALCONA_VAUGHN_FISHc_0022_2.jpeg,ask Kevin
59963945,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0002_2.jpeg,
59963948,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0003_2.jpeg,
59963967,fyke net,100 feet lead,1 inch bar,fyke net,fyke,1,1,inches,100,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0014_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0014_2.jpeg,
59963973,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0015_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0015_2.jpeg,
59963976,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0017_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0017_2.jpeg,
59963978,fyke net,150 feet lead,1 inch bar,fyke net,fyke,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0018_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0018_2.jpeg,
59963979,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0019_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0019_2.jpeg,
59963981,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0016_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0016_2.jpeg,
59963982,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0020_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_COOK_FISHc_0020_2.jpeg,
59964022,exp. gill (4); fyke (2); trap (2); 50feet bag seine (2 hauls),NA,NA,seine,bag,1,,,50,feet,2,hauls,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_2.jpeg,
59964022,exp. gill (4); fyke (2); trap (2); 50feet bag seine (2 hauls),NA,NA,gillnet,exp,4,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_2.jpeg,
59964022,exp. gill (4); fyke (2); trap (2); 50feet bag seine (2 hauls),NA,NA,fyke net,fyke,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_2.jpeg,
59964022,exp. gill (4); fyke (2); trap (2); 50feet bag seine (2 hauls),NA,NA,trap net,trap,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_FISH_FISHc_0003_2.jpeg,
59964055,gill net,250feet,125feet exp. 125feet 1inches bar,gillnet,exp,1,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_GRANDSABLE_FISHc_0016_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_GRANDSABLE_FISHc_0016_2.jpeg,
59964055,gill net,250feet,125feet exp. 125feet 1inches bar,gillnet,bar,1,1,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_GRANDSABLE_FISHc_0016_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_GRANDSABLE_FISHc_0016_2.jpeg,
59964142,exp. gill (2) fyke (2) trap (1),gill 125 feet,exp,gillnet,exp,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ISLAND_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ISLAND_FISHc_0002_2.jpeg,
59964142,exp. gill (2) fyke (2) trap (1),gill 125 feet,exp,fyke net,fyke,2,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ISLAND_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ISLAND_FISHc_0002_2.jpeg,
59964142,exp. gill (2) fyke (2) trap (1),gill 125 feet,exp,trap net,trap,1,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ISLAND_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ISLAND_FISHc_0002_2.jpeg,
59964219,"experimental gill (4), trap (1), fyke (1) s.d. fyke (2), 50feet bag seine",NA,variable,seine,bag,1,,,50,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_2.jpeg,
59964219,"experimental gill (4), trap (1), fyke (1) s.d. fyke (2), 50feet bag seine",NA,variable,gillnet,experimental,4,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_2.jpeg,
59964219,"experimental gill (4), trap (1), fyke (1) s.d. fyke (2), 50feet bag seine",NA,variable,fyke net,fyke,3,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_2.jpeg,
59964219,"experimental gill (4), trap (1), fyke (1) s.d. fyke (2), 50feet bag seine",NA,variable,trap net,trap,1,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_McCOMB_FISHc_0001_2.jpeg,
59964258,exp. gill nets; s. dakota fykes; 50feet bag seine,NA,NA,seine,bag,unknown,,,50,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_MOCCASIN_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_MOCCASIN_FISHc_0002_2.jpeg,
59964258,exp. gill nets; s. dakota fykes; 50feet bag seine,NA,NA,gillnet,exp,unknown,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_MOCCASIN_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_MOCCASIN_FISHc_0002_2.jpeg,
59964258,exp. gill nets; s. dakota fykes; 50feet bag seine,NA,NA,fyke net,fykes,unknown,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_MOCCASIN_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_MOCCASIN_FISHc_0002_2.jpeg,
59964324,"20 feet bag seine, 6 feet common seine",NA,NA,seine,bag,1,,,20,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ROUND_FISHc_0008_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ROUND_FISHc_0008_2.jpeg,
59964324,"20 feet bag seine, 6 feet common seine",NA,NA,seine,common,1,,,6,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ROUND_FISHc_0008_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ROUND_FISHc_0008_2.jpeg,
59964346,trap net,150 feet lead,1 inch bar in pot,trap net,trap,1,1,inches,150,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ROUNDLITTLE_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ROUNDLITTLE_FISHc_0003_2.jpeg,
