subject_id,gear_used_kind,gear_used_length,gear_used_mesh,gear,gear2,number,gear_effort,gear_effort_units,front,back,
58642454,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0006.jpeg,NA,
58642455,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0008.jpeg,NA,
58642457,gill net,125 feet,1.5 - 4inches in,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152044534_0010.jpeg,NA,
58642458,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152044534_0011.jpeg,NA,
58642459,gill net,125 feet,1.5-4 inches,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0001.jpeg,NA,
58642460,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0009.jpeg,NA,
58642461,gill net,125 feet,1.5-4 in - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0002.jpeg,NA,
58642462,seine,10 feet,common common.,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0004.jpeg,NA,
58642463,gill net,125feet,experimental,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0004.jpeg,NA,
58642464,seine,10 feet,common.,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0003.jpeg,NA,
58642465,gill net,125feet,1 .25inches inch bar,gillnet,bar,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0006.jpeg,NA,
58642466,gill net,125feet,experimental,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0005.jpeg,NA,
58642467,gill net,125feet,experimental,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0008.jpeg,NA,
58642468,exp. gill net,125 feet,graded,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0001.jpeg,NA,
58642469,gill net,125feet,.75inches bar,gillnet,bar,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Clear_FISHc_20200313152838133_0007.jpeg,NA,
58642470,1 experimental gill net,NA,NA,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154525513_0001.jpeg,NA,
58642472,"9 exp. gill nets, 1-5 3/8inches gill net",125feet and 500feet,variable and 5 3/8inches,gillnet,exp,9,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0014.jpeg,NA,
58642474,gill net,125feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0003.jpeg,NA,
58642475,3 3-125feet experimental graded gill nets,NA,NA,gillnet,experimental,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0012.jpeg,NA,
58642476,"9 exp. gill nets, 1-5 - 5 3/8inches gill net",125feet and 500feet,variable and 5 3/8inches,gillnet,exp,9,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0013.jpeg,NA,
58642477,exper. gill net,125feet,.5inches - 2inches,gillnet,exper,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0005.jpeg,NA,
58642478,exper. gill net,125feet,.5inches - 2inches,gillnet,exper,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0007.jpeg,NA,
58642479,gill net,125feet,1 inch bar,gillnet,bar,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0006.jpeg,NA,
58642480,exp. gill net,125 feet,1.5 - 4 inches,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0008.jpeg,NA,
58642481,exp. gill net,125 feet,1.5-4 - 4 in,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0009.jpeg,NA,
58642482,experimental gill net,125 feet,1.5 - 4 in.,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0010.jpeg,NA,
58642483,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0011.jpeg,NA,
58642484,seines,10-30 - 30 feet,common. - 3/8 in. stretch,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0013.jpeg,NA,
58642485,gill net,125 feet,1.5 - 4 in,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0016.jpeg,NA,
58642486,gill net,125 feet,1.5-4 4 in,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0015.jpeg,NA,
58642487,seine,10-30 feet,common. s. - 3/8 in. stre,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0012.jpeg,NA,
58642488,seine,10 feet,common.,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0014.jpeg,NA,
58642489,gill net,125 feet,1.5-4 in 4inches,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0017.jpeg,NA,
58642490,gill net,250 feet,1.5 - 4 in. .,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0019.jpeg,NA,
58642491,bag seine,100 feet,.5inches stretch,seine,bag,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0020.jpeg,NA,
58642492,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0018.jpeg,NA,
58642495,2 gill nets,125 feet each,experimental,gillnet,experimental,2,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Glasson_FISHc_20200313160700287_0008.jpeg,NA,
58642496,1 nylon gill net,125feet,1inches,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0001.jpeg,NA,
58642498,1 nylon gill net,250feet,2 .25 in. bar,gillnet,bar,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0002.jpeg,NA,
58642499,1 nylon gill net,250feet,2 .25inches inches bar,gillnet,bar,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0004.jpeg,NA,
58642500,1 linen gill net,125feet,1 .25inches inches bar,gillnet,bar,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0005.jpeg,NA,
58642501,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0006.jpeg,NA,
58642503,3 nylon gill nets,125 feet each,exp,gillnet,exp,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0003.jpeg,NA,
58642504,1 nylon gill nets,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0007.jpeg,NA,
58642505,fyke net,standard,standard,fyke net,fyke,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0008.jpeg,NA,
58642506,fyke net,standard,standard,fyke net,fyke,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161522664_0001.jpeg,NA,
58642509,seines,10 and 30 feet,common and 3/8 stretch,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0004.jpeg,NA,
58642513,exp. gill net,125 feet,1.5 - 4 in.,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0013.jpeg,NA,
58642514,seine,30 feet,3/8 in. stretch,seine,seine,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0005.jpeg,NA,
58642515,exp. gill net,125 feet,1.5 - 4 in.,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0012.jpeg,NA,
58642516,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0010.jpeg,NA,
58642517,rod and line,rod and line,NA,rod,rod,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0011.jpeg,NA,
58642518,seine,10 feet,common.,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0016.jpeg,NA,
58642519,exp. gill net,125 feet,1.5 - 4 in.,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0014.jpeg,NA,
58642520,gill net,125 feet,1.5-4 - 4 in,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0015.jpeg,NA,
58642521,seine,10 feet,common common.,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0017.jpeg,NA,
58642522,gill net,125 feet,1.5 - 4 in,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0018.jpeg,NA,
58642523,3 nylon gill nets,125 feet,exp,gillnet,exp,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0001.jpeg,NA,
58642524,9 nylon gill nets,125feet,exp,gillnet,exp,9,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0002.jpeg,NA,
58642525,gill net,125 feet,1.5-4 4 in,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0019.jpeg,NA,
58642526,1 nylon gill net,500 feet,5.5inches inch,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0003.jpeg,NA,
58642528,4 - 4feet trap nets,NA,NA,trap net,trap,4,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0004.jpeg,NA,
58642529,1-4feet - 4 feet trap net,4 feet,NA,trap net,trap,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0007.jpeg,NA,
58642530,1x4 trap net,NA,NA,trap net,trap,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0005.jpeg,NA,
58642531,1 - 4feet trap net,4 feet,NA,trap net,trap,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0006.jpeg,NA,
58642532,3 phase ac v.v. boom shocker,NA,NA,shock,boom,NA,100,minutes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0008.jpeg,NA,
58642535,bag seine,25 feet,NA,seine,bag,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163055696_0003.jpeg,NA,
58642536,bag seine,25 feet,NA,seine,bag,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163055696_0002.jpeg,NA,
58642537,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163055696_0004.jpeg,NA,
58642538,2-125feet 125feet experimental gill nets,NA,NA,gillnet,experimental,2,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0011.jpeg,NA,
58642539,bag seine,25 feet,.25 and 3/8,seine,bag,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163055696_0001.jpeg,NA,
58642540,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163055696_0005.jpeg,NA,
58642541,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163055696_0006.jpeg,NA,
58642542,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0003.jpeg,NA,
58642543,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0001.jpeg,NA,
58642544,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0002.jpeg,NA,
58642546,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0007.jpeg,NA,
58642547,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0005.jpeg,NA,
58642548,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0006.jpeg,NA,
58642549,gill net,125 feet,graded,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0004.jpeg,NA,
58642551,8 - 4feet wisc. type fyke nets,NA,1inches inch,fyke net,fyke,8,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164026272_0006.jpeg,NA,
58642554,4 nylon gill nets,125feet,exp,gillnet,exp,4,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164143945_0001.jpeg,NA,
58642555,8 - 4feet wisc. type fyke nets,NA,1inches,fyke net,fyke,8,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164026272_0009.jpeg,NA,
58642556,4 nylon gill nets,125 feet,exp,gillnet,exp,4,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164143945_0002.jpeg,NA,
58642558,3 3-wisconsin fyke nets,100feet,1inches,fyke net,fyke,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164452735_0001.jpeg,NA,
58642559,3 wisconsin fyke nets,100 feet leads,1inches,fyke net,fyke,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164452735_0003.jpeg,NA,
58642560,3 wisconsin fyke nets,100 feet leads,1inches,fyke net,fyke,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164452735_0004.jpeg,NA,
58642561,3 wisconsin fyke nets,100 feet leads,1inches,fyke net,fyke,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164452735_0002.jpeg,NA,
58642562,gill net,125feet,1inchesb,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0001.jpeg,NA,
58642563,exper. gill net,125feet,.5inches inch - 2inches inch.,gillnet,exper,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,NA,
58642564,gill net,125feet,experimental,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0002.jpeg,NA,
58642565,gill net,125feet,experimental,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0004.jpeg,NA,
58642566,fly rod,NA,NA,rod,rod,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0005.jpeg,NA,
58642568,gill net,150 feet,.75inches inch,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0002.jpeg,NA,
58642569,bag seine,50feet,.5inches x 1/8inches ba,seine,bag,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0007.jpeg,NA,
58642575,seine,10-30 feet,common. s. - 3/8 stretch,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0005.jpeg,NA,
58642576,bar gill net,125feet.,1 inch bar,gillnet,bar,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,NA,
58642577,gill nets,2 - 125 feet,.75inches; and 1inches,gillnet,gill,2,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0004.jpeg,NA,
58642578,gill net,150 feet,1 inch,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0003.jpeg,NA,
58642579,exper. gill net,125feet,.5inches inch - 2inches inch.,gillnet,exper,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0006.jpeg,NA,
58642580,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0007.jpeg,NA,
58642581,seine,10-30 - 30 feet,common. 3/8 stretch,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0006.jpeg,NA,
58642582,gill net,125 feet,1.5 - 4 in,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0010.jpeg,NA,
58642583,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0008.jpeg,NA,
58642584,exp. gill net,125 feet,1.5-4 - 4 in,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0009.jpeg,NA,
58642585,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0011.jpeg,NA,
58642586,gill net,125 feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/OGEMAW_CEDAR_ FISHc_0002_1.jpeg,NA,
58642587,gill net,125 feet,1.5 - 4 in.,gillnet,gill,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0012.jpeg,NA,
58642589,rod and line,NA,NA,rod,rod,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164925647_0013.jpeg,NA,
58642591,230 v dc boomshocker,10 minutes,NA,shock,boomshocker,NA,10,minutes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ottawa_Macatawa_FISHc_126.jpeg,NA,
58748576,exp. gill net,125 feet,1.5 - 4 in,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_12.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_12p2.jpg,
58748577,exp. gill net,125 feet,1.5 - 4 in,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_14.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_14p2.jpg,
58748578,exp. gill net,125 feet,1.5 - 4in 4in,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_15.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_15p2.jpg,
58748579,common sense seine,10 feet,common.,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18p2.jpg,
58748580,gill net,250 feet,experimental,gillnet,experimental,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_25.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_25p2.jpg,
